w	x	y	z
33663667	9433	16	9
4942735	10370	816	11
40423552	2922	619	16
23762449	11006	361	31
42248893	12	377	31
36853584	8443	402	38
42143449	2906	398	42
36337524	8534	474	46
40498299	633	619	46
37221473	6972	653	46
30026639	4781	823	46
10620879	11916	244	53
17790232	10466	748	55
42328609	1822	57	60
39712352	7133	123	60
41563643	4030	502	61
27296839	10590	78	63
22833056	11109	319	65
37605489	6795	648	71
18666459	10854	688	71
37525102	4467	711	71
32167238	4242	803	79
41739336	4960	141	81
25671143	10359	633	83
36086175	6090	719	83
7261575	11933	516	85
33139040	7803	722	100
40483315	6549	186	103
42330195	195	222	103
26225713	436	860	104
22492979	1593	882	105
38213228	7929	309	112
42298754	2316	153	113
19412325	11416	192	113
21700159	11216	311	116
41904905	3264	461	117
37919149	5609	681	117
42311605	534	82	125
7649276	11997	364	126
41906186	4483	208	127
41645868	2672	515	132
26552087	10677	261	135
42175373	812	390	135
30737359	10028	134	139
16349905	10086	789	140
18006727	8987	834	143
36481376	8133	567	144
13535894	11108	705	144
40790769	6120	314	148
19268463	11359	458	149
15446996	11355	622	153
13017934	10084	806	156
37468703	8183	175	157
10942003	9873	826	157
42009068	2775	95	165
2158140	12064	257	165
41953260	1041	214	172
41116974	5186	348	175
698519	10937	769	175
237599	10208	823	177
21122370	11144	332	185
25312514	10573	519	185
740687	11673	634	189
12844516	6859	890	194
31408139	3569	788	206
26620768	801	829	215
35741659	7618	409	218
37120521	6488	46	223
23511001	10160	522	226
31418809	7786	636	228
35626818	949	643	229
37716255	1525	416	231
37560630	1302	94	233
37003453	391	10	236
25945376	9510	189	237
35865228	2681	176	241
6980899	11012	161	242
34104129	3766	527	244
30375749	5639	619	248
27116927	2882	9	264
27177821	1382	305	264
7381142	9151	294	267
21610648	3186	430	271
18973536	3270	294	274
13720724	2934	606	275
11787978	1151	378	279
294283	5856	240	280
9110321	3035	383	280
6151368	845	400	281
