w	x	y	z
40920205	6138	22	13
24123607	4979	867	13
40763394	3948	587	20
11453245	9585	840	20
39567642	5497	618	25
37972632	6998	618	25
26986093	10596	419	42
31655883	4210	809	43
41348421	5618	135	45
1004218	1298	932	46
40031128	3047	638	49
39194437	7404	364	56
25212672	2844	866	61
10215845	11931	240	71
37505781	8250	199	73
41505956	5233	375	78
27062889	8808	768	82
26089124	10237	646	86
22081781	9670	772	88
4114841	11948	554	90
21751581	9657	776	97
32720671	9648	135	100
41299395	5679	93	101
35252893	9012	198	101
38292183	7551	523	101
41864616	2520	487	108
28230093	4062	842	108
39481545	4142	652	110
16356435	8427	860	110
7814328	12004	224	121
41728297	1516	512	125
38403546	7834	15	134
29825889	10189	192	138
33700234	9401	187	141
38617140	5495	657	143
31706867	8999	664	146
42204829	145	301	148
42218180	338	221	149
4601715	7740	901	151
33062064	9525	293	153
31758318	8232	723	154
40692722	6047	187	167
41769315	3952	310	167
39967075	6294	434	180
24051892	5401	859	180
29084524	9108	693	190
40611547	4467	18	200
3161176	11462	665	200
15108298	10351	741	209
8993522	5441	887	227
32460664	7871	491	233
34773900	5859	146	240
2230021	11170	360	240
34713240	1450	579	240
32158338	5941	238	249
32448164	2749	489	251
24727050	8362	354	254
5782341	10370	310	255
11568265	9887	503	256
29350996	5640	280	257
28034938	3831	173	262
24610957	1870	646	262
2522855	5369	784	265
10683010	1955	630	276
9000898	3797	573	278
9778370	1680	575	278
9460887	243	387	280
