random-address model: p = P(v=1); drift per odd step = log_2 3 - (3 - 2p) bits; 20 trajectories of 100000 T-steps each
 p     drift   L    D   mean tot<=L  mean ND  mean multiplicity  max multiplicity (over trajectories)  mean landing pts
0.72  +0.025   32   6      5082.3    4018.4     3.01              13                             342.9
0.72  +0.025   64   7      6906.5    4935.6     4.53              21                             441.1
0.72  +0.025  128   8     10456.7    6554.6     6.53              37                             597.6
0.72  +0.025  256   9     14957.7    8639.9     8.76              56                             717.0
0.75  +0.085   32   6       720.5     600.6     2.86              14                              38.8
0.75  +0.085   64   7      1532.3    1186.2     4.63              22                              74.8
0.75  +0.085  128   8      2080.9    1621.7     5.81              28                              76.3
0.75  +0.085  256   9      4970.1    3621.5     8.05              47                             165.2
0.80  +0.185   32   6       216.4     199.5     2.07              10                               5.6
0.80  +0.185   64   7       491.6     443.4     3.49              15                              12.3
0.80  +0.185  128   8       948.2     869.8     4.78              26                              16.4
0.80  +0.185  256   9      1894.6    1754.3     5.20              33                              24.6
0.90  +0.385   32   6       103.9     101.5     1.11               5                               0.9
0.90  +0.385   64   7       196.1     194.7     0.59               6                               0.6
0.90  +0.385  128   8       411.9     407.5     1.03              12                               1.4
0.90  +0.385  256   9       780.7     774.1     1.22               6                               2.4
