L    D  segment                       total   ND     D  landing  mean  heaviest (mult, shell runs)   N(X)/N(X 2^-D)
24   5  3n+1 record 63728127           150    97    53      22   2.41  (6,5) (6,4) (6,4)              1.39
24   5  3n+1 from 2^L-1                142    97    45      16   2.81  (7,5) (6,5) (5,3)              1.21
24   5  3n+1 random odd ~2^L            43     4    39      17   2.29  (6,4) (5,3) (4,3)              1.43
24   5  5n+1 from 7                     80    77     3       2   1.50  (2,2) (1,1)                    1.70
24   5  5n+1 random odd ~2^(L/2)       241   201    40      14   2.86  (6,6) (5,5) (4,4)              2.43
32   6  3n+1 record 63728127           304   195   109      33   3.30  (8,5) (7,5) (7,5)              1.91
32   6  3n+1 from 2^L-1                146    65    81      27   3.00  (8,7) (7,5) (7,5)              1.35
32   6  3n+1 random odd ~2^L            97    28    69      24   2.88  (11,8) (6,6) (6,6)             1.64
32   6  5n+1 from 7                    142   140     2       2   1.00  (1,1) (1,1)                    1.43
32   6  5n+1 random odd ~2^(L/2)       106   100     6       4   1.50  (2,2) (2,2) (1,3)              1.28
48   6  3n+1 record 63728127           545   370   175      34   5.15  (12,8) (12,8) (12,10)          1.00
48   6  3n+1 from 2^L-1                165    39   126      40   3.15  (10,7) (10,8) (8,7)            1.67
48   6  3n+1 random odd ~2^L           334   187   147      43   3.42  (11,7) (8,6) (8,6)             1.04
48   6  5n+1 from 7                    293   267    26      10   2.60  (6,6) (5,5) (4,4)              1.47
48   6  5n+1 random odd ~2^(L/2)       131   110    21       8   2.62  (4,5) (3,3) (3,3)              1.18
64   7  3n+1 record 63728127           529   356   173      30   5.77  (15,10) (13,9) (12,8)          1.00
64   7  3n+1 from 2^L-1                290    51   239      65   3.68  (18,12) (16,13) (14,10)        1.05
64   7  3n+1 random odd ~2^L           240    13   227      63   3.60  (10,7) (9,7) (8,9)             1.12
64   7  5n+1 from 7                    530   460    70      20   3.50  (7,7) (6,6) (6,6)              1.09
64   7  5n+1 random odd ~2^(L/2)       169   165     4       1   4.00  (4,4)                          1.09
