A008406: Triangle T(n,k) = graphs on n nodes with k edges
Computing rows 1..50

n= 1: 1 terms, T(n,0)=1  [0.000s, 1 parts]
n= 2: 2 terms, T(n,0)=1, T(n,1)=1  [0.000s, 2 parts]
n= 3: 4 terms, T(n,0)=1, T(n,1)=1  [0.000s, 3 parts]
n= 4: 7 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 5 parts]
n= 5: 11 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 7 parts]
n= 6: 16 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 11 parts]
n= 7: 22 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 15 parts]
n= 8: 29 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 22 parts]
n= 9: 37 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 30 parts]
n=10: 46 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 42 parts]
n=11: 56 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.000s, 56 parts]
n=12: 67 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.001s, 77 parts]
n=13: 79 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.001s, 101 parts]
n=14: 92 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.002s, 135 parts]
n=15: 106 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.003s, 176 parts]
n=16: 121 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.005s, 231 parts]
n=17: 137 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.008s, 297 parts]
n=18: 154 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.010s, 385 parts]
n=19: 172 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.019s, 490 parts]
n=20: 191 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.032s, 627 parts]
n=21: 211 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.039s, 792 parts]
n=22: 232 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.061s, 1002 parts]
n=23: 254 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.086s, 1255 parts]
n=24: 277 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.140s, 1575 parts]
n=25: 301 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.195s, 1958 parts]
n=26: 326 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.266s, 2436 parts]
n=27: 352 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.356s, 3010 parts]
n=28: 379 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.536s, 3718 parts]
n=29: 407 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [0.744s, 4565 parts]
n=30: 436 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [1.017s, 5604 parts]
n=31: 466 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [1.347s, 6842 parts]
n=32: 497 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [1.809s, 8349 parts]
n=33: 529 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [2.465s, 10143 parts]
n=34: 562 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [3.279s, 12310 parts]
n=35: 596 terms, T(n,0)=1, T(n,1)=1, ..., T(n,C(n,2))=1  [4.434s, 14883 parts]
