======================================================================
CONFLICT-GRAPH ALCUIN ANALYSIS (per iso class, n=3..6; + special)
======================================================================

--- n=3: 2 iso classes ---
  T: |Ω|=0 (odd cycles), α(Ω)=ν_odd=0 (#maxpackings=1), τ(Ω)=0, H=1 | Alcuin=0 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  SUMMARY n=3: large-boat(+1)=1/2, Ω-nonplanar=0, Ω-HamCycle=1

--- n=4: 4 iso classes ---
  T: |Ω|=0 (odd cycles), α(Ω)=ν_odd=0 (#maxpackings=1), τ(Ω)=0, H=1 | Alcuin=0 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=2 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=2), τ(Ω)=1, H=5 | Alcuin=1 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  SUMMARY n=4: large-boat(+1)=2/4, Ω-nonplanar=0, Ω-HamCycle=2

--- n=5: 12 iso classes ---
  T: |Ω|=0 (odd cycles), α(Ω)=ν_odd=0 (#maxpackings=1), τ(Ω)=0, H=1 | Alcuin=0 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=2 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=2), τ(Ω)=1, H=5 | Alcuin=1 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=4 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=4), τ(Ω)=3, H=9 | Alcuin=3 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=2 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=2), τ(Ω)=1, H=5 | Alcuin=1 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=4 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=4), τ(Ω)=3, H=9 | Alcuin=3 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=5 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=5), τ(Ω)=4, H=11 | Alcuin=4 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=6 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=6), τ(Ω)=5, H=13 | Alcuin=5 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  SUMMARY n=5: large-boat(+1)=3/12, Ω-nonplanar=4, Ω-HamCycle=9

--- n=6: 56 iso classes ---
  T: |Ω|=0 (odd cycles), α(Ω)=ν_odd=0 (#maxpackings=1), τ(Ω)=0, H=1 | Alcuin=0 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=2 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=2), τ(Ω)=1, H=5 | Alcuin=1 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=4 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=4), τ(Ω)=3, H=9 | Alcuin=3 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=2 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=2), τ(Ω)=1, H=5 | Alcuin=1 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=4 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=4), τ(Ω)=3, H=9 | Alcuin=3 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=5 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=5), τ(Ω)=4, H=11 | Alcuin=4 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=8 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=8), τ(Ω)=7, H=17 | Alcuin=7 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=4 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=4), τ(Ω)=3, H=9 | Alcuin=3 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=2 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=2), τ(Ω)=1, H=5 | Alcuin=1 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=9 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=9), τ(Ω)=8, H=19 | Alcuin=8 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=4 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=4), τ(Ω)=3, H=9 | Alcuin=3 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=True
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=1 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=1), τ(Ω)=0, H=3 | Alcuin=1 (large-boat) | Ω: connected=True, HamPath=True, HamCycle=False, planar=True
  T: |Ω|=11 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=11), τ(Ω)=10, H=23 | Alcuin=10 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=5 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=5), τ(Ω)=4, H=11 | Alcuin=4 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=9 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=9), τ(Ω)=8, H=19 | Alcuin=8 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=11 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=11), τ(Ω)=10, H=23 | Alcuin=10 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=6 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=6), τ(Ω)=5, H=13 | Alcuin=5 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=11 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=9, H=27 | Alcuin=9 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=9 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=7, H=23 | Alcuin=7 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=6 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=4, H=17 | Alcuin=4 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=2 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=0, H=9 | Alcuin=1 (large-boat) | Ω: connected=False, HamPath=False, HamCycle=False, planar=True
  T: |Ω|=16 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=16), τ(Ω)=15, H=33 | Alcuin=15 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=12 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=12), τ(Ω)=11, H=25 | Alcuin=11 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=14 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=2), τ(Ω)=12, H=37 | Alcuin=12 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=12 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=2), τ(Ω)=10, H=33 | Alcuin=10 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=13 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=11, H=31 | Alcuin=11 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=9 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=7, H=23 | Alcuin=7 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=16 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=14, H=37 | Alcuin=14 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=13 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=11, H=31 | Alcuin=11 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=12 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=12), τ(Ω)=11, H=25 | Alcuin=11 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=14 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=2), τ(Ω)=12, H=37 | Alcuin=12 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=10 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=2), τ(Ω)=8, H=29 | Alcuin=8 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=12 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=10, H=29 | Alcuin=10 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=14 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=12, H=33 | Alcuin=12 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=11 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=9, H=27 | Alcuin=9 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=12 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=10, H=29 | Alcuin=10 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=6 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=6), τ(Ω)=5, H=13 | Alcuin=5 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=12 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=10, H=29 | Alcuin=10 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=16 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=2), τ(Ω)=14, H=41 | Alcuin=14 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=14 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=2), τ(Ω)=12, H=37 | Alcuin=12 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=14 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=12, H=33 | Alcuin=12 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=16 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=14, H=37 | Alcuin=14 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=19 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=17, H=43 | Alcuin=17 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=19 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=17, H=43 | Alcuin=17 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=16 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=16), τ(Ω)=15, H=33 | Alcuin=15 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=14 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=4), τ(Ω)=12, H=45 | Alcuin=12 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  T: |Ω|=20 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=1), τ(Ω)=18, H=45 | Alcuin=18 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
  SUMMARY n=6: large-boat(+1)=5/56, Ω-nonplanar=43, Ω-HamCycle=51

--- special ---
Paley T7: |Ω|=80 (odd cycles), α(Ω)=ν_odd=2 (#maxpackings=7), τ(Ω)=78, H=189 | Alcuin=78 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
regular T5: |Ω|=7 (odd cycles), α(Ω)=ν_odd=1 (#maxpackings=7), τ(Ω)=6, H=15 | Alcuin=6 (small-boat) | Ω: connected=True, HamPath=True, HamCycle=True, planar=False
