     R    D0  i_pf   d_fe    m  a0-d  L  H1  H2  H3  H4*  BUD  H4bits@t   K2R  capUB  PASS
   128     4    31     98    7     0  1   T   T   T    F    F       1@3    41    341 False
   128     8    28    100    8     2  2   T   T   T    F    F       1@2    42    336 False
   256     8    61    196   12   -10  0   T   T   T    F    F       1@2    94    415 False
   256    16    56    201   12   -11  0   T   T   T    F    F       1@2    98    420 False
   512    16   120    393   19     3  2   T   T   T    F    F       1@2   189    690 False
   512    32   110    403   19     5  3   T   T   T    F    F       1@2   192    683 False
  1024    32   239    786   27   -14  0   T   T   T    F    F       1@2   394   1309 False
  1024    64   219    806   28   -10  0   T   T   T    F    F       1@2   400   1304 False
  2048    64   476   1572   40     0  1   T   T   T    F    F       1@2   781   2507 False
  2048   128   436   1612   41    -8  0   T   T   T    F    F       1@2   809   2536 False
  4096   128   951   3145   58    -7  0   T   T   T    F    F       1@2  1574   4954 False
  4096   256   871   3225   58     7  4   T   T   T    F    F       1@2  1600   4940 False
  8192   256  1902   6291   83   -13  0   T   T   T    F    F       1@2  3145   9810 False
  8192   512  1742   6451   83    -5  0   T   T   T    F    F       1@2  3217   9829 False
 16384   512  3803  12582  118    -6  0   T   F   T    F    F       1@2  6288  19529 False
 16384  1024  3482  12903  119     9  5   T   F   T    F    F       1@2  6436  19579 False
 32768  2048  6963  25806  169     0  1   T   F   T    F    F       1@2 12892  39115 False
