D0=3 beam=2000 tail=6: final row; best |want|/cap over survivors = 2.391  verify=False  (47s)
D0=3 beam=2500 tail=12: final row; best |want|/cap over survivors = 1.04  verify=False  (47s)
D0=2 beam=2500 tail=12: died row 97  verify=False  (27s)
D0=4 beam=2500 tail=12: died row 90  verify=False  (23s)
e=3, last 1 rows +1         : final row; best |want|/cap = 1.045  verify=False  (47s)
e=3, last 2 rows +1         : final row; best |want|/cap = 1.562  verify=False  (47s)
e=3, last 4 rows +1         : final row; best |want|/cap = 1.009  verify=False  (47s)
e=3, last 8 rows +1         : final row; best |want|/cap = 1.009  verify=False  (47s)
e=3, last 1 rows +2         : final row; best |want|/cap = 1.041  verify=False  (47s)
e=3, last 4 rows +2         : final row; best |want|/cap = 1.022  verify=False  (47s)
e=3, last 16 rows +1        : final row; best |want|/cap = 2.864  verify=False  (47s)
e=3, last 16 rows +2        : final row; best |want|/cap = 1.022  verify=False  (47s)
base2 seg8 bump1 staircase      : died row 97  verify=False  (26s)
base2 seg8 bump2 staircase      : died row 97  verify=False  (26s)
base2 seg16 bump1 staircase     : died row 97  verify=False  (26s)
base2 seg16 bump2 staircase     : died row 97  verify=False  (26s)
base2 seg32 bump1 staircase     : died row 97  verify=False  (26s)
base2 seg32 bump2 staircase     : died row 97  verify=False  (26s)
base3 seg8 bump1 staircase      : final row; best |want|/cap = 1.022  verify=False  (47s)
base3 seg8 bump2 staircase      : final row; best |want|/cap = 1.029  verify=False  (46s)
base3 seg16 bump1 staircase     : final row; best |want|/cap = 3.582  verify=False  (46s)
base3 seg16 bump2 staircase     : final row; best |want|/cap = 1.315  verify=False  (47s)
base3 seg32 bump1 staircase     : final row; best |want|/cap = 3.441  verify=False  (46s)
base3 seg32 bump2 staircase     : final row; best |want|/cap = 1.029  verify=False  (47s)
ramp 2->4                       : died row 101  verify=False  (30s)
ramp 2->5                       : died row 97  verify=False  (24s)
ramp 2->6                       : died row 52  verify=False  (10s)
ramp 3->4                       : final row; best |want|/cap = 1.571  verify=False  (47s)
ramp 3->5                       : final row; best |want|/cap = 1.651  verify=False  (47s)
ramp 3->6                       : died row 45  verify=False  (8s)
random sorted #0                : died row 100  verify=False  (26s)
random sorted #1                : died row 105  verify=False  (30s)
random sorted #2                : died row 96  verify=False  (24s)
random sorted #3                : died row 103  verify=False  (27s)
random sorted #4                : died row 115  verify=False  (37s)
random sorted #5                : died row 102  verify=False  (28s)
random sorted #6                : died row 113  verify=False  (34s)
random sorted #7                : died row 104  verify=False  (27s)

BEST MISS over 26 bounded-e profiles: 1.022 at 'base3 seg8 bump1 staircase'
