regression plain-vs-engine (256/512, D0 0/1/4/5): ALL OK
desc R=256 D0=0: {'status': 'CLOSED', 'capture_row': 154}  T6b=52 cap=154 minus2=127 front0=101 maxfront=112 mingap=48 peakL1b=244 failrows=3970 shaped=36 spots={'x2': True, 'x3': True, 'debt': True} (0.0s)
REFEREE desc R=256 D0=0: ok=True adm=True identity=True debt=127
desc R=512 D0=0: {'status': 'DIE', 'row': 109, 'const_bits': 281}  T6b=102 cap=None minus2=49 front0=204 maxfront=371 mingap=0 peakL1b=492 failrows=22486 shaped=280 spots=None (0.2s)
descw32 R=512 D0=0: {'status': 'DIE', 'row': 109, 'const_bits': 281}  T6b=102 cap=None minus2=49 front0=204 maxfront=371 mingap=0 peakL1b=492 failrows=3499 shaped=79 spots=None (0.2s)
descw128 R=512 D0=0: {'status': 'DIE', 'row': 109, 'const_bits': 281}  T6b=102 cap=None minus2=49 front0=204 maxfront=371 mingap=0 peakL1b=492 failrows=11466 shaped=219 spots=None (0.2s)
descnv R=512 D0=0: {'status': 'DIE', 'row': 107, 'const_bits': 277}  T6b=102 cap=None minus2=48 front0=204 maxfront=370 mingap=0 peakL1b=492 failrows=22324 shaped=215 spots=None (0.2s)
asc R=512 D0=0: {'status': 'DIE', 'row': 1, 'const_bits': 9}  T6b=1 cap=None minus2=0 front0=305 maxfront=306 mingap=0 peakL1b=492 failrows=585 shaped=306 spots=None (0.0s)
desc R=512 D0=1: {'status': 'DIE', 'row': 111, 'const_bits': 282}  T6b=104 cap=None minus2=61 front0=203 maxfront=373 mingap=0 peakL1b=492 failrows=3017 shaped=48 spots=None (0.3s)
desc R=512 D0=2: {'status': 'DIE', 'row': 113, 'const_bits': 282}  T6b=106 cap=None minus2=52 front0=202 maxfront=375 mingap=0 peakL1b=491 failrows=3170 shaped=52 spots=None (0.3s)
desc R=512 D0=3: {'status': 'DIE', 'row': 117, 'const_bits': 286}  T6b=108 cap=None minus2=63 front0=201 maxfront=379 mingap=0 peakL1b=490 failrows=3113 shaped=48 spots=None (0.3s)
desc R=512 D0=4: {'status': 'DIE', 'row': 123, 'const_bits': 289}  T6b=110 cap=None minus2=58 front0=200 maxfront=383 mingap=0 peakL1b=490 failrows=3187 shaped=39 spots=None (0.3s)
desc R=1024 D0=8: {'status': 'DIE', 'row': 228, 'const_bits': 581}  T6b=218 cap=None minus2=118 front0=402 maxfront=756 mingap=0 peakL1b=985 failrows=12110 shaped=92 spots=None (1.4s)
desc R=1024 D0=10: {'status': 'DIE', 'row': 234, 'const_bits': 583}  T6b=222 cap=None minus2=121 front0=400 maxfront=762 mingap=0 peakL1b=983 failrows=12305 shaped=70 spots=None (1.6s)
desc R=1024 D0=12: {'status': 'DIE', 'row': 241, 'const_bits': 590}  T6b=226 cap=None minus2=125 front0=398 maxfront=768 mingap=0 peakL1b=982 failrows=12463 shaped=99 spots=None (1.3s)
desc R=1024 D0=14: {'status': 'CLOSED', 'capture_row': 628}  T6b=230 cap=628 minus2=511 front0=396 maxfront=402 mingap=230 peakL1b=981 failrows=7418 shaped=18 spots={'x2': True, 'x3': True, 'debt': True} (0.8s)
regression plain-vs-engine (256/512, D0 0/1/4/5): ALL OK
train R=512 D0=0: {'status': 'DIE', 'row': 107, 'const_bits': 272}  T6b=102 cap=None minus2=48 front0=204 maxfront=370 mingap=0 peakL1b=492 failrows=3064 shaped=105 spots=None (0.2s)
train R=512 D0=1: {'status': 'DIE', 'row': 111, 'const_bits': 281}  T6b=104 cap=None minus2=61 front0=203 maxfront=373 mingap=0 peakL1b=492 failrows=3007 shaped=29 spots=None (0.3s)
train R=512 D0=2: {'status': 'DIE', 'row': 113, 'const_bits': 283}  T6b=106 cap=None minus2=52 front0=202 maxfront=375 mingap=0 peakL1b=491 failrows=3158 shaped=119 spots=None (0.3s)
train R=512 D0=3: {'status': 'DIE', 'row': 170, 'const_bits': 321}  T6b=108 cap=None minus2=112 front0=201 maxfront=410 mingap=0 peakL1b=558 failrows=4862 shaped=252 spots=None (0.4s)
