planted-relation battery: err vs kappa*(p+q)/(169 y)
prefix kap | q  p    y    A     B    | Y*(q,p)     err        ratio err*169y/(kap(p+q))
[1, 2, 3, 4, 5]  10 |  1  1    5   611    616 | (1,1)@5   0.006371    0.2692
[1, 2, 3, 4, 5]  10 |  1  1    5  1201   1206 | (1,1)@5   0.006303    0.2663
[1, 2, 3, 4, 5]  10 |  1  1   11   611    622 | (1,1)@11   0.006302    0.5857
[1, 2, 3, 4, 5]  10 |  1  1   11  1200   1211 | (1,1)@11   0.006285    0.5842
[1, 2, 3, 4, 5]  10 |  1  1   23   611    634 | (1,1)@23   0.000679    0.1320
[1, 2, 3, 4, 5]  10 |  1  1   23  1200   1223 | (1,1)@23   0.000560    0.1088
[1, 2, 3, 4, 5]  10 |  1  1   47  1200   1247 | (1,1)@47   0.000080    0.0317
[1, 2, 3, 4, 5]  10 |  1  2    5   611   1227 | (1,2)@5   0.002252    0.0634
[1, 2, 3, 4, 5]  10 |  1  2    5  1201   2407 | (1,2)@5   0.002219    0.0625
[1, 2, 3, 4, 5]  10 |  1  2   11   611   1233 | (1,2)@11   0.004396    0.2724
[1, 2, 3, 4, 5]  10 |  1  2   11  1200   2411 | (1,2)@11   0.004260    0.2640
[1, 2, 3, 4, 5]  10 |  1  2   23   611   1245 | (1,2)@23   0.000312    0.0404
[1, 2, 3, 4, 5]  10 |  1  2   23  1200   2423 | (1,2)@23   0.000240    0.0311
[1, 2, 3, 4, 5]  10 |  1  2   47  1200   2447 | (1,2)@47   0.000156    0.0413
[1, 2, 3, 4, 5]  10 |  1  3    5   611   1838 | (1,3)@5   0.000702    0.0148
[1, 2, 3, 4, 5]  10 |  1  3    5  1201   3608 | (1,3)@5   0.000700    0.0148
[1, 2, 3, 4, 5]  10 |  1  3   11   611   1844 | (1,3)@11   0.002914    0.1354
[1, 2, 3, 4, 5]  10 |  1  3   11  1200   3611 | (1,3)@11   0.002733    0.1270
[1, 2, 3, 4, 5]  10 |  1  3   23   611   1856 | (1,3)@23   0.000255    0.0248
[1, 2, 3, 4, 5]  10 |  1  3   23  1200   3623 | (1,3)@23   0.000217    0.0211
[1, 2, 3, 4, 5]  10 |  1  3   47  1200   3647 | (1,3)@47   0.000143    0.0283
[1, 2, 3, 4, 5]  10 |  2  3    5   611    919 | (2,3)@5   0.001272    0.0215
[1, 2, 3, 4, 5]  10 |  2  3    5  1201   1804 | (2,3)@5   0.001355    0.0229
[1, 2, 3, 4, 5]  10 |  2  3   11   611    922 | (2,3)@11   0.002828    0.1051
[1, 2, 3, 4, 5]  10 |  2  3   11  1201   1807 | (2,3)@11   0.002384    0.0886
[1, 2, 3, 4, 5]  10 |  2  3   23   611    928 | (2,3)@23   0.000044    0.0034
[1, 2, 3, 4, 5]  10 |  2  3   23  1201   1813 | (2,3)@23   0.000296    0.0230
[1, 2, 3, 4, 5]  10 |  2  3   47  1201   1825 | (2,3)@47   0.000175    0.0278
[1, 2, 3, 4, 5]  10 |  1 12    5   611   7337 | (1,12)@5   0.000506    0.0033
[1, 2, 3, 4, 5]  10 |  1 12    5  1201  14417 | (1,12)@5   0.000516    0.0034
[1, 2, 3, 4, 5]  10 |  1 12   11   611   7343 | (1,12)@11   0.000505    0.0072
[1, 2, 3, 4, 5]  10 |  1 12   11  1200  14411 | (1,12)@11   0.000564    0.0081
[1, 2, 3, 4, 5]  10 |  1 12   23   611   7355 | (1,12)@23   0.000043    0.0013
[1, 2, 3, 4, 5]  10 |  1 12   23  1200  14423 | (1,12)@23   0.000090    0.0027
[1, 2, 3, 4, 5]  10 |  1 12   47  1200  14447 | (1,12)@47   0.000036    0.0022
[1, 2, 3, 4, 5]  10 |  3  4    5   613    819 | (3,4)@5   0.000854    0.0103
[1, 2, 3, 4, 5]  10 |  3  4    5  1201   1603 | (3,4)@5   0.000882    0.0106
[1, 2, 3, 4, 5]  10 |  3  4   11   613    821 | (3,4)@11   0.000982    0.0261
[1, 2, 3, 4, 5]  10 |  3  4   11  1201   1605 | (3,4)@11   0.001398    0.0371
[1, 2, 3, 4, 5]  10 |  3  4   23   613    825 | (3,4)@23   0.000035    0.0020
[1, 2, 3, 4, 5]  10 |  3  4   23  1201   1609 | (3,4)@23   0.000229    0.0127
[1, 2, 3, 4, 5]  10 |  3  4   47  1201   1617 | (3,4)@47   0.000113    0.0129
[1, 2, 3, 4, 5]  10 |  2  5    5   611   1530 | (2,5)@5   0.000502    0.0061
[1, 2, 3, 4, 5]  10 |  2  5    5  1201   3005 | (2,5)@5   0.000650    0.0079
[1, 2, 3, 4, 5]  10 |  2  5   11   611   1533 | (2,5)@11   0.001011    0.0268
[1, 2, 3, 4, 5]  10 |  2  5   11  1201   3008 | (2,5)@11   0.000728    0.0193
[1, 2, 3, 4, 5]  10 |  2  5   23   611   1539 | (2,5)@23   0.000057    0.0032
[1, 2, 3, 4, 5]  10 |  2  5   23  1201   3014 | (2,5)@23   0.000143    0.0079
[1, 2, 3, 4, 5]  10 |  2  5   47  1201   3026 | (2,5)@47   0.000067    0.0076
[2, 3, 5, 6, 8]  14 |  1  1    5   611    616 | (1,1)@5   0.007645    0.2307
[2, 3, 5, 6, 8]  14 |  1  1    5  1201   1206 | (1,1)@5   0.007659    0.2311
[2, 3, 5, 6, 8]  14 |  1  1   11   611    622 | (1,1)@11   0.004843    0.3216
[2, 3, 5, 6, 8]  14 |  1  1   11  1200   1211 | (1,1)@11   0.004714    0.3130
[2, 3, 5, 6, 8]  14 |  1  1   23   611    634 | (1,1)@23   0.000432    0.0600
