======================================================================
n=5 SC TOURNAMENTS: b1 vs c3 DETAILED
======================================================================

n=5 SC: (score, c3, b1) => count
  score=(1, 1, 2, 3, 3), c3=3, b1=0: 120
  score=(1, 1, 2, 3, 3), c3=3, b1=1: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=0: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=1: 160
  score=(2, 2, 2, 2, 2), c3=5, b1=1: 24

======================================================================
SCORE (1,2,2,2,3) at n=5: b1 vs c3
======================================================================

n=5, score (1,2,2,2,3), c3=4:
  bits=12, b1=1, SC=True
  bits=28, b1=1, SC=True
  bits=40, b1=1, SC=True
  bits=41, b1=0, SC=True
  bits=42, b1=0, SC=True
  bits=44, b1=0, SC=True
  bits=57, b1=1, SC=True
  bits=68, b1=0, SC=True
  bits=69, b1=1, SC=True
  bits=70, b1=1, SC=True
  bits=72, b1=1, SC=True
  bits=73, b1=1, SC=True
  bits=74, b1=0, SC=True
  bits=77, b1=0, SC=True
  bits=78, b1=1, SC=True
  bits=85, b1=0, SC=True
  bits=89, b1=0, SC=True
  bits=92, b1=0, SC=True
  bits=93, b1=1, SC=True
  bits=97, b1=1, SC=True
  bits=99, b1=1, SC=True
  bits=101, b1=0, SC=True
  bits=104, b1=0, SC=True
  bits=106, b1=1, SC=True
  bits=107, b1=0, SC=True
  bits=108, b1=1, SC=True
  bits=109, b1=1, SC=True
  bits=121, b1=1, SC=True
  bits=138, b1=1, SC=True
  bits=152, b1=1, SC=True
  bits=153, b1=0, SC=True
  bits=154, b1=0, SC=True
  bits=156, b1=0, SC=True
  bits=170, b1=1, SC=True
  bits=185, b1=1, SC=True
  bits=194, b1=0, SC=True
  bits=195, b1=1, SC=True
  bits=198, b1=1, SC=True
  bits=200, b1=1, SC=True
  bits=201, b1=1, SC=True
  bits=203, b1=0, SC=True
  bits=204, b1=0, SC=True
  bits=206, b1=1, SC=True
  bits=209, b1=1, SC=True
  bits=211, b1=0, SC=True
  bits=213, b1=1, SC=True
  bits=216, b1=0, SC=True
  bits=218, b1=1, SC=True
  bits=219, b1=1, SC=True
  bits=220, b1=1, SC=True
  bits=221, b1=0, SC=True
  bits=227, b1=0, SC=True
  bits=233, b1=0, SC=True
  bits=234, b1=0, SC=True
  bits=235, b1=1, SC=True
  bits=249, b1=1, SC=True
  bits=262, b1=0, SC=True
  bits=266, b1=0, SC=True
  bits=268, b1=0, SC=True
  bits=270, b1=1, SC=True
  bits=276, b1=0, SC=True
  bits=277, b1=1, SC=True
  bits=278, b1=1, SC=True
  bits=280, b1=1, SC=True
  bits=281, b1=0, SC=True
  bits=282, b1=1, SC=True
  bits=285, b1=1, SC=True
  bits=286, b1=0, SC=True
  bits=290, b1=1, SC=True
  bits=291, b1=0, SC=True
  bits=294, b1=1, SC=True
  bits=296, b1=0, SC=True
  bits=297, b1=1, SC=True
  bits=299, b1=1, SC=True
  bits=300, b1=1, SC=True
  bits=302, b1=0, SC=True
  bits=305, b1=0, SC=True
  bits=307, b1=1, SC=True
  bits=309, b1=1, SC=True
  bits=312, b1=1, SC=True
  bits=314, b1=1, SC=True
  bits=315, b1=0, SC=True
  bits=316, b1=0, SC=True
  bits=317, b1=1, SC=True
  bits=322, b1=0, SC=True
  bits=323, b1=1, SC=True
  bits=324, b1=1, SC=True
  bits=325, b1=0, SC=True
  bits=327, b1=1, SC=True
  bits=330, b1=1, SC=True
  bits=332, b1=1, SC=True
  bits=334, b1=0, SC=True
  bits=337, b1=0, SC=True
  bits=339, b1=1, SC=True
  bits=340, b1=1, SC=True
  bits=342, b1=0, SC=True
  bits=343, b1=1, SC=True
  bits=345, b1=1, SC=True
  bits=348, b1=1, SC=True
  bits=349, b1=0, SC=True
  bits=353, b1=0, SC=True
  bits=354, b1=1, SC=True
  bits=357, b1=1, SC=True
  bits=358, b1=1, SC=True
  bits=359, b1=0, SC=True
  bits=361, b1=1, SC=True
  bits=362, b1=0, SC=True
  bits=363, b1=1, SC=True
  bits=369, b1=1, SC=True
  bits=371, b1=0, SC=True
  bits=373, b1=0, SC=True
  bits=377, b1=0, SC=True
  bits=394, b1=1, SC=True
  bits=402, b1=1, SC=True
  bits=403, b1=1, SC=True
  bits=406, b1=0, SC=True
  bits=408, b1=0, SC=True
  bits=409, b1=1, SC=True
  bits=411, b1=0, SC=True
  bits=412, b1=1, SC=True
  bits=414, b1=1, SC=True
  bits=426, b1=1, SC=True
  bits=435, b1=0, SC=True
  bits=441, b1=0, SC=True
  bits=442, b1=0, SC=True
  bits=443, b1=1, SC=True
  bits=450, b1=1, SC=True
