======================================================================
PART 1: Z_2 DECOMPOSITION AT n=5 (exhaustive)
======================================================================
  SWAP DEFICIT: z2_dim=4, swap_dim=0, per_v=[0, 0, 0, 0, 0]
  CONE FAILS: z2_dim=4, rank_cone=0
  SWAP DEFICIT: z2_dim=4, swap_dim=0, per_v=[0, 0, 0, 0, 0]
  CONE FAILS: z2_dim=4, rank_cone=0
  SWAP DEFICIT: z2_dim=3, swap_dim=0, per_v=[0, 0, 0, 0, 0]
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=5, rank_cone=3
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=3, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
  CONE FAILS: z2_dim=4, rank_cone=0
