G_7: V=456, E=4086 (3.5s)
G_7/Z_2: V=272, E=2123
Testing 6-colorability with improved algorithm...
6-colorable: True (1.0s, 71839 nodes)
chi(G_7/Z_2) <= 6
Testing 5-colorability...
  100000 nodes (1.5s)
  200000 nodes (3.0s)
  300000 nodes (4.5s)
  400000 nodes (6.1s)
  500000 nodes (7.6s)
  600000 nodes (9.1s)
  700000 nodes (10.5s)
  800000 nodes (12.0s)
  900000 nodes (13.5s)
  1000000 nodes (15.0s)
  1100000 nodes (16.5s)
  1200000 nodes (18.0s)
  1300000 nodes (19.4s)
  1400000 nodes (20.9s)
  1500000 nodes (22.4s)
  1600000 nodes (23.9s)
  1700000 nodes (25.4s)
  1800000 nodes (26.9s)
  1900000 nodes (28.4s)
  2000000 nodes (29.9s)
  2100000 nodes (31.5s)
  2200000 nodes (33.0s)
  2300000 nodes (34.5s)
  2400000 nodes (36.0s)
  2500000 nodes (37.4s)
  2600000 nodes (38.9s)
  2700000 nodes (40.4s)
  2800000 nodes (41.9s)
  2900000 nodes (43.4s)
  3000000 nodes (44.9s)
  3100000 nodes (46.3s)
  3200000 nodes (47.8s)
  3300000 nodes (49.3s)
  3400000 nodes (50.8s)
  3500000 nodes (52.4s)
  3600000 nodes (53.9s)
  3700000 nodes (55.4s)
  3800000 nodes (56.9s)
  3900000 nodes (58.4s)
  4000000 nodes (60.0s)
  4100000 nodes (61.5s)
  4200000 nodes (63.0s)
  4300000 nodes (64.5s)
  4400000 nodes (66.0s)
  4500000 nodes (67.4s)
  4600000 nodes (68.9s)
  4700000 nodes (70.4s)
  4800000 nodes (71.9s)
  4900000 nodes (73.4s)
  5000000 nodes (74.9s)
  5100000 nodes (76.3s)
  5200000 nodes (77.8s)
  5300000 nodes (79.4s)
  5400000 nodes (80.9s)
  5500000 nodes (82.4s)
  5600000 nodes (83.9s)
  5700000 nodes (85.4s)
  5800000 nodes (87.0s)
  5900000 nodes (88.5s)
  6000000 nodes (89.9s)
  6100000 nodes (91.4s)
  6200000 nodes (92.9s)
  6300000 nodes (94.4s)
  6400000 nodes (95.9s)
  6500000 nodes (97.4s)
  6600000 nodes (98.9s)
  6700000 nodes (100.3s)
  6800000 nodes (101.8s)
  6900000 nodes (103.3s)
  7000000 nodes (104.8s)
  7100000 nodes (106.4s)
  7200000 nodes (107.9s)
  7300000 nodes (109.4s)
  7400000 nodes (110.9s)
  7500000 nodes (112.5s)
  7600000 nodes (114.0s)
  7700000 nodes (115.5s)
  7800000 nodes (117.1s)
  7900000 nodes (118.6s)
  8000000 nodes (120.1s)
  8100000 nodes (121.6s)
  8200000 nodes (123.2s)
  8300000 nodes (124.7s)
  8400000 nodes (126.2s)
  8500000 nodes (127.7s)
  8600000 nodes (129.2s)
  8700000 nodes (130.7s)
  8800000 nodes (132.2s)
  8900000 nodes (133.8s)
  9000000 nodes (135.3s)
  9100000 nodes (136.9s)
  9200000 nodes (138.4s)
  9300000 nodes (139.9s)
  9400000 nodes (141.4s)
  9500000 nodes (142.9s)
  9600000 nodes (144.4s)
  9700000 nodes (145.9s)
  9800000 nodes (147.4s)
  9900000 nodes (148.9s)
  10000000 nodes (150.4s)
  10100000 nodes (151.9s)
  10200000 nodes (153.4s)
  10300000 nodes (155.0s)
  10400000 nodes (156.5s)
  10500000 nodes (158.0s)
  10600000 nodes (159.5s)
  10700000 nodes (161.0s)
  10800000 nodes (162.5s)
  10900000 nodes (164.0s)
  11000000 nodes (165.5s)
  11100000 nodes (167.1s)
  11200000 nodes (168.6s)
  11300000 nodes (170.1s)
  11400000 nodes (171.6s)
  11500000 nodes (173.1s)
  11600000 nodes (174.7s)
  11700000 nodes (176.2s)
  11800000 nodes (177.7s)
  11900000 nodes (179.2s)
  12000000 nodes (180.7s)
  12100000 nodes (182.2s)
  12200000 nodes (183.8s)
  12300000 nodes (185.3s)
  12400000 nodes (186.8s)
  12500000 nodes (188.3s)
  12600000 nodes (189.9s)
  12700000 nodes (191.4s)
  12800000 nodes (192.9s)
  12900000 nodes (194.4s)
  13000000 nodes (195.9s)
  13100000 nodes (197.4s)
  13200000 nodes (198.9s)
  13300000 nodes (200.4s)
  13400000 nodes (201.9s)
  13500000 nodes (203.4s)
  13600000 nodes (204.9s)
  13700000 nodes (206.4s)
  13800000 nodes (207.9s)
  13900000 nodes (209.5s)
  14000000 nodes (211.0s)
  14100000 nodes (212.5s)
  14200000 nodes (214.0s)
  14300000 nodes (215.5s)
  14400000 nodes (217.0s)
  14500000 nodes (218.6s)
  14600000 nodes (220.1s)
  14700000 nodes (221.6s)
  14800000 nodes (223.1s)
  14900000 nodes (224.7s)
  15000000 nodes (226.2s)
  15100000 nodes (227.7s)
  15200000 nodes (229.2s)
  15300000 nodes (230.8s)
  15400000 nodes (232.3s)
  15500000 nodes (233.8s)
  15600000 nodes (235.3s)
  15700000 nodes (236.8s)
  15800000 nodes (238.3s)
  15900000 nodes (239.8s)
  16000000 nodes (241.3s)
  16100000 nodes (242.8s)
  16200000 nodes (244.3s)
  16300000 nodes (245.8s)
  16400000 nodes (247.3s)
  16500000 nodes (248.8s)
  16600000 nodes (250.2s)
  16700000 nodes (251.7s)
  16800000 nodes (253.2s)
  16900000 nodes (254.7s)
  17000000 nodes (256.2s)
  17100000 nodes (257.7s)
  17200000 nodes (259.2s)
  17300000 nodes (260.7s)
  17400000 nodes (262.2s)
  17500000 nodes (263.8s)
  17600000 nodes (265.3s)
  17700000 nodes (266.8s)
  17800000 nodes (268.3s)
  17900000 nodes (269.7s)
  18000000 nodes (271.2s)
  18100000 nodes (272.7s)
  18200000 nodes (274.2s)
  18300000 nodes (275.7s)
  18400000 nodes (277.2s)
  18500000 nodes (278.6s)
  18600000 nodes (280.3s)
  18700000 nodes (281.9s)
  18800000 nodes (283.4s)
  18900000 nodes (284.9s)
  19000000 nodes (286.4s)
  19100000 nodes (288.0s)
  19200000 nodes (289.5s)
  19300000 nodes (291.0s)
  19400000 nodes (292.5s)
  19500000 nodes (294.0s)
  19600000 nodes (295.4s)
  19700000 nodes (296.9s)
  19800000 nodes (298.4s)
  19900000 nodes (299.9s)
5-colorable: None (300.0s)
5-colorability: TIMEOUT
