G_9 edge computation via nauty
n=9, m=36
Read 191536 classes in 0.34s

Phase 2: Computing (score, c3, H) for 191536 classes...
  10000/191536 (18.3s)
  20000/191536 (36.4s)
  30000/191536 (55.5s)
  40000/191536 (74.3s)
  50000/191536 (92.8s)
  60000/191536 (111.3s)
  70000/191536 (129.5s)
  80000/191536 (148.1s)
  90000/191536 (167.0s)
  100000/191536 (185.8s)
  110000/191536 (205.1s)
  120000/191536 (223.8s)
  130000/191536 (243.0s)
  140000/191536 (262.2s)
  150000/191536 (281.1s)
  160000/191536 (299.7s)
  170000/191536 (318.2s)
  180000/191536 (337.6s)
  190000/191536 (356.3s)
Phase 2 done: 32210 hash groups in 359.3s
Ambiguous groups: 22074

Phase 2b: Canonical forms for ambiguous groups...
  1000/181400 canons (0.2s)
  2000/181400 canons (0.4s)
  3000/181400 canons (0.7s)
  4000/181400 canons (2.2s)
  5000/181400 canons (3.3s)
  6000/181400 canons (3.8s)
  7000/181400 canons (4.3s)
  8000/181400 canons (5.3s)
  9000/181400 canons (6.4s)
  10000/181400 canons (6.7s)
  11000/181400 canons (7.9s)
  12000/181400 canons (8.8s)
  13000/181400 canons (9.0s)
  14000/181400 canons (9.2s)
  15000/181400 canons (9.5s)
  16000/181400 canons (9.7s)
  17000/181400 canons (10.7s)
  18000/181400 canons (12.3s)
  19000/181400 canons (13.2s)
  20000/181400 canons (15.1s)
  21000/181400 canons (15.4s)
  22000/181400 canons (15.6s)
  23000/181400 canons (16.5s)
  24000/181400 canons (17.7s)
  25000/181400 canons (19.2s)
  26000/181400 canons (20.3s)
  27000/181400 canons (21.3s)
  28000/181400 canons (21.5s)
  29000/181400 canons (22.2s)
  30000/181400 canons (23.8s)
  31000/181400 canons (24.5s)
  32000/181400 canons (25.0s)
  33000/181400 canons (25.3s)
  34000/181400 canons (25.9s)
  35000/181400 canons (26.7s)
  36000/181400 canons (27.3s)
  37000/181400 canons (27.7s)
  38000/181400 canons (28.0s)
  39000/181400 canons (28.6s)
