============================================================
n=7: Checking if total odd cycles = 3 is possible
============================================================
  Total tournaments: 2097152
  FOUND: bits=167, t₃=3, t₅=0, t₇=0
  FOUND: bits=183, t₃=3, t₅=0, t₇=0
  FOUND: bits=303, t₃=3, t₅=0, t₇=0
  FOUND: bits=431, t₃=3, t₅=0, t₇=0
  FOUND: bits=1220, t₃=3, t₅=0, t₇=0
  FOUND: bits=1480, t₃=3, t₅=0, t₇=0
  FOUND: bits=1484, t₃=3, t₅=0, t₇=0
  FOUND: bits=1732, t₃=3, t₅=0, t₇=0
  FOUND: bits=2151, t₃=3, t₅=0, t₇=0
  FOUND: bits=2167, t₃=3, t₅=0, t₇=0
  FOUND: bits=2351, t₃=3, t₅=0, t₇=0
  FOUND: bits=2415, t₃=3, t₅=0, t₇=0
  FOUND: bits=3266, t₃=3, t₅=0, t₇=0
  FOUND: bits=3528, t₃=3, t₅=0, t₇=0
  FOUND: bits=3530, t₃=3, t₅=0, t₇=0
  FOUND: bits=3778, t₃=3, t₅=0, t₇=0
  FOUND: bits=4207, t₃=3, t₅=0, t₇=0
  FOUND: bits=4271, t₃=3, t₅=0, t₇=0
  FOUND: bits=4335, t₃=3, t₅=0, t₇=0
  FOUND: bits=4399, t₃=3, t₅=0, t₇=0
  FOUND: bits=4463, t₃=3, t₅=0, t₇=0
  FOUND: bits=4527, t₃=3, t₅=0, t₇=0
  FOUND: bits=4590, t₃=3, t₅=0, t₇=0
  FOUND: bits=4606, t₃=3, t₅=0, t₇=0
  FOUND: bits=5102, t₃=3, t₅=0, t₇=0
  FOUND: bits=5103, t₃=3, t₅=0, t₇=0
  FOUND: bits=5570, t₃=3, t₅=0, t₇=0
  FOUND: bits=5572, t₃=3, t₅=0, t₇=0
  FOUND: bits=5574, t₃=3, t₅=0, t₇=0
  FOUND: bits=5576, t₃=3, t₅=0, t₇=0
  FOUND: bits=5578, t₃=3, t₅=0, t₇=0
  FOUND: bits=5580, t₃=3, t₅=0, t₇=0
  FOUND: bits=5583, t₃=3, t₅=0, t₇=0
  FOUND: bits=5598, t₃=3, t₅=0, t₇=0
  FOUND: bits=5599, t₃=3, t₅=0, t₇=0
  FOUND: bits=5614, t₃=3, t₅=0, t₇=0
  FOUND: bits=5615, t₃=3, t₅=0, t₇=0
  FOUND: bits=5630, t₃=3, t₅=0, t₇=0
  FOUND: bits=6095, t₃=3, t₅=0, t₇=0
  FOUND: bits=6127, t₃=3, t₅=0, t₇=0
  FOUND: bits=6255, t₃=3, t₅=0, t₇=0
  FOUND: bits=6445, t₃=3, t₅=0, t₇=0
  FOUND: bits=6461, t₃=3, t₅=0, t₇=0
  FOUND: bits=6511, t₃=3, t₅=0, t₇=0
  FOUND: bits=7560, t₃=3, t₅=0, t₇=0
