  5000/32768 (15.3%) elapsed=1s ETA=6s
  10000/32768 (30.5%) elapsed=2s ETA=5s
  15000/32768 (45.8%) elapsed=3s ETA=4s
  20000/32768 (61.0%) elapsed=4s ETA=3s
  25000/32768 (76.3%) elapsed=5s ETA=2s
  30000/32768 (91.6%) elapsed=6s ETA=1s

n=6 EXHAUSTIVE (32768 tournaments, 7s):
   H  b1  count
   1   0    720
   3   0    960
   5   0   2160
   9   0   2960
  11   0   1440
  13   0   1440
  15   0   2208
  17   0    720
  17   1    720
  19   0   1440
  23   0   1440
  23   1   1440
  25   0   1440
  27   1    480
  29   0   2880
  31   0   1440
  33   0   2160
  33   1    480
  37   0   2880
  37   1    720
  41   1    720
  43   0   1440
  45   0    240
  45   1    240

Total classes: 24
