n=8: 21 tiles, 2097152 tilings
Enumerating all tilings...
  progress: 0/2097152 (0.0%) in 0.0s
  progress: 1048576/2097152 (50.0%) in 14.4s

Done in 28.87s

H-distribution for n=8 tilings:
  (Tiling space = 2^21 = 2097152)

  H  | #tilings | #labeled_T (= 8!/H * #tilings)
  ---+----------+----------------------------------
  Forbidden check: H=7 ABSENT ✓, H=21 ABSENT ✓

     1 |        1 | 40320
     3 |        6 | 80640
     5 |       25 | 201600
     9 |       78 | 349440
    11 |       44 | 161280
    13 |       52 | 161280
    15 |      152 | 408576
    17 |      102 | 241920
    19 |      114 | 241920
    23 |      276 | 483840
    25 |      225 | 362880
    27 |      252 | 376320
    29 |      464 | 645120
    31 |      310 | 403200
    33 |      583 | 712320
    35 |      140 | 161280
    37 |      703 | 766080
    39 |      182 | 188160
    41 |      533 | 524160
    43 |      430 | 403200
    45 |      661 | 592256
    47 |      188 | 161280
    49 |      735 | 604800
    51 |      816 | 645120
    53 |      742 | 564480
    55 |      440 | 322560
    57 |      475 | 336000
    59 |     1180 | 806400
    61 |      366 | 241920
    63 |      126 | 80640
    65 |     1625 | 1008000
    67 |      804 | 483840
    69 |     1518 | 887040
    71 |     1278 | 725760
    73 |     1971 | 1088640
    75 |      900 | 483840
    77 |     2002 | 1048320
    79 |     1264 | 645120
    81 |     2376 | 1182720
    83 |     1494 | 725760
    85 |      595 | 282240
    87 |      580 | 268800
    89 |     3115 | 1411200
    91 |     3822 | 1693440
    93 |     1674 | 725760
    95 |     1900 | 806400
    97 |     2134 | 887040
    99 |     1342 | 546560
   101 |     2424 | 967680
   103 |     2472 | 967680
   105 |     1855 | 712320
   107 |     1070 | 403200
   109 |     3924 | 1451520
   111 |     3108 | 1128960
   113 |     1808 | 645120
   115 |     3220 | 1128960
   117 |     3081 | 1061760
   119 |     1428 | 483840
   121 |     1452 | 483840
   123 |     3526 | 1155840
   125 |     1500 | 483840
   127 |     1270 | 403200
   129 |     4988 | 1559040
   131 |     3144 | 967680
   133 |     3857 | 1169280
   135 |     3114 | 930048
   137 |     3562 | 1048320
   139 |     4170 | 1209600
   141 |     2632 | 752640
   143 |     2860 | 806400
   145 |     1740 | 483840
   147 |     1176 | 322560
   149 |     2086 | 564480
   151 |     2416 | 645120
   153 |     3587 | 945280
   155 |     4340 | 1128960
   157 |     2512 | 645120
   159 |     4028 | 1021440
   161 |     1932 | 483840
   163 |     3260 | 806400
   165 |     2585 | 631680
   167 |     1336 | 322560
   169 |     3211 | 766080
   171 |     3876 | 913920
   173 |     5190 | 1209600
   175 |     2850 | 656640
   177 |     5251 | 1196160
   179 |     4654 | 1048320
   181 |     3258 | 725760
   183 |     2562 | 564480
   185 |     3330 | 725760
   187 |     4488 | 967680
   189 |     3798 | 810240
   191 |     4202 | 887040
   193 |     4053 | 846720
   195 |     2210 | 456960
   197 |     7880 | 1612800
   199 |     4776 | 967680
   201 |     2479 | 497280
   203 |     5278 | 1048320
   205 |     3690 | 725760
   207 |     5060 | 985600
   209 |     3344 | 645120
   211 |     4220 | 806400
   213 |     5680 | 1075200
   215 |     4300 | 806400
   217 |     4774 | 887040
   219 |     8614 | 1585920
   221 |     6409 | 1169280
   223 |     4014 | 725760
   225 |     3375 | 604800
   227 |     3632 | 645120
   229 |     8702 | 1532160
   231 |     8932 | 1559040
   233 |     7922 | 1370880
   235 |     3290 | 564480
   237 |     7900 | 1344000
   239 |    10038 | 1693440
   241 |     5302 | 887040
   243 |     6318 | 1048320
   245 |     6125 | 1008000
   247 |     6916 | 1128960
   249 |     5644 | 913920
   251 |     5522 | 887040
   253 |     6831 | 1088640
   255 |     6052 | 956928
   257 |     7710 | 1209600
   259 |     8806 | 1370880
   261 |     6264 | 967680
   263 |     5786 | 887040
   265 |     6890 | 1048320
   267 |    11748 | 1774080
   269 |     7801 | 1169280
   271 |     8672 | 1290240
   273 |     7098 | 1048320
   275 |    10450 | 1532160
   277 |     7479 | 1088640
   279 |     5952 | 860160
   281 |    13488 | 1935360
   283 |     9056 | 1290240
   285 |     9690 | 1370880
   287 |     9758 | 1370880
   289 |     8092 | 1128960
   291 |    10476 | 1451520
   293 |    12306 | 1693440
   295 |    10030 | 1370880
   297 |     5940 | 806400
   299 |     6578 | 887040
   301 |     6020 | 806400
   303 |     9090 | 1209600
   305 |     8540 | 1128960
   307 |    11052 | 1451520
   309 |     8858 | 1155840
   311 |     8086 | 1048320
   313 |     7512 | 967680
   315 |     9030 | 1155840
   317 |    13314 | 1693440
   319 |     8294 | 1048320
   321 |    12412 | 1559040
   323 |    10336 | 1290240
   325 |     8775 | 1088640
   327 |     7848 | 967680
   329 |    11515 | 1411200
   331 |     5296 | 645120
   333 |    12099 | 1464960
   335 |    12730 | 1532160
   337 |     9436 | 1128960
   339 |    11752 | 1397760
   341 |     8866 | 1048320
   343 |     4116 | 483840
   345 |    16353 | 1911168
   347 |    13186 | 1532160
   349 |    13262 | 1532160
   351 |    15210 | 1747200
   353 |    11649 | 1330560
   355 |     8520 | 967680
   357 |    10829 | 1223040
   359 |    12206 | 1370880
   361 |    11191 | 1249920
   363 |     3630 | 403200
   365 |    12410 | 1370880
   367 |     8074 | 887040
   369 |    13899 | 1518720
   371 |    11872 | 1290240
   373 |    13055 | 1411200
   375 |    14500 | 1559040
   377 |     7540 | 806400
   379 |    10612 | 1128960
   381 |     8763 | 927360
   383 |    13788 | 1451520
   385 |     7700 | 806400
   387 |     7482 | 779520
   389 |    11281 | 1169280
   391 |     7820 | 806400
   393 |    11659 | 1196160
   395 |     3160 | 322560
   397 |     9925 | 1008000
   399 |    11438 | 1155840
   401 |    17243 | 1733760
   403 |    11284 | 1128960
   405 |     7830 | 779520
   407 |    18722 | 1854720
   409 |    14724 | 1451520
   411 |     9590 | 940800
   413 |    11977 | 1169280
   415 |    10790 | 1048320
   417 |    16263 | 1572480
   419 |     8380 | 806400
   421 |    14314 | 1370880
   423 |    12972 | 1236480
   425 |    17850 | 1693440
   427 |    11956 | 1128960
   429 |     9295 | 873600
   431 |     8620 | 806400
   433 |     8227 | 766080
   435 |     8120 | 752640
   437 |     8740 | 806400
   439 |     9658 | 887040
   441 |    13671 | 1249920
   443 |     6202 | 564480
   445 |    12015 | 1088640
   447 |     8046 | 725760
   449 |    16164 | 1451520
   451 |    12628 | 1128960
   453 |     6342 | 564480
   455 |     8190 | 725760
   457 |     7769 | 685440
   459 |    13770 | 1209600
   461 |     9220 | 806400
   463 |    14816 | 1290240
   465 |     8990 | 779520
   467 |    15878 | 1370880
   469 |    15477 | 1330560
   471 |    10990 | 940800
   473 |    12298 | 1048320
   475 |    11400 | 967680
   477 |    11607 | 981120
   479 |     6706 | 564480
   481 |    10101 | 846720
   483 |     7084 | 591360
   485 |     5820 | 483840
   487 |     4870 | 403200
   489 |     8150 | 672000
   491 |    11784 | 967680
   493 |     8874 | 725760
   495 |    10890 | 887040
   497 |    16401 | 1330560
   499 |     9980 | 806400
   501 |     7515 | 604800
   503 |    14084 | 1128960
   505 |     9090 | 725760
   507 |     9126 | 725760
   509 |    17815 | 1411200
   511 |    16352 | 1290240
   513 |    17271 | 1357440
   515 |     6180 | 483840
   517 |    10857 | 846720
   519 |    12456 | 967680
   521 |     8857 | 685440
   523 |    19874 | 1532160
   525 |     5250 | 403200
   527 |    11594 | 887040
   529 |    10051 | 766080
   531 |     8496 | 645120
   533 |    12792 | 967680
   535 |     5350 | 403200
   537 |     6444 | 483840
   539 |     8624 | 645120
   541 |     5410 | 403200
   543 |     3620 | 268800
   545 |    10900 | 806400
   547 |    12034 | 887040
   549 |     3660 | 268800
   551 |     8816 | 645120
   553 |     6083 | 443520
   555 |     5920 | 430080
   557 |     3342 | 241920
   559 |     3354 | 241920
   561 |     7667 | 551040
   563 |     6756 | 483840
   565 |     3955 | 282240
   567 |     3402 | 241920
   569 |     7966 | 564480
   571 |     5710 | 403200
   573 |    11460 | 806400
   575 |     4600 | 322560
   577 |     4039 | 282240
   579 |     8106 | 564480
   581 |     6972 | 483840
   583 |    11660 | 806400
   585 |    10530 | 725760
   587 |     5870 | 403200
   589 |     9424 | 645120
   591 |     7092 | 483840
   593 |    13046 | 887040
   595 |     8330 | 564480
   597 |     7164 | 483840
   599 |     4792 | 322560
   601 |     1202 | 80640
   603 |     1206 | 80640
   605 |     2420 | 161280
   607 |     1214 | 80640
   609 |     1218 | 80640
   613 |     1226 | 80640
   621 |      276 | 17920
   627 |     1254 | 80640
   629 |      629 | 40320
   631 |     2524 | 161280
   633 |      422 | 26880
   637 |      637 | 40320
   639 |     2556 | 161280
   641 |     5128 | 322560
   643 |     3858 | 241920
   645 |     2580 | 161280
   649 |     2596 | 161280
   651 |     6510 | 403200
   653 |     7836 | 483840
   657 |     8541 | 524160
   659 |     2636 | 161280
   661 |     3966 | 241920

  Total tilings:  2097152 (expected 2097152)
  Total labeled:  268435456 (expected 2^28 = 268435456)
  ΣH (tilings):   815136768
  H_max:          661
  Distinct H:     320 values

H-spectrum (achievable values):
  1 3 5 9 11 13 15 17 19 23 25 27 29 31 33 35 37 39 41 43 
  45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 
  85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 
  125 127 129 131 133 135 137 139 141 143 145 147 149 151 153 155 157 159 161 163 
  165 167 169 171 173 175 177 179 181 183 185 187 189 191 193 195 197 199 201 203 
  205 207 209 211 213 215 217 219 221 223 225 227 229 231 233 235 237 239 241 243 
  245 247 249 251 253 255 257 259 261 263 265 267 269 271 273 275 277 279 281 283 
  285 287 289 291 293 295 297 299 301 303 305 307 309 311 313 315 317 319 321 323 
  325 327 329 331 333 335 337 339 341 343 345 347 349 351 353 355 357 359 361 363 
  365 367 369 371 373 375 377 379 381 383 385 387 389 391 393 395 397 399 401 403 
  405 407 409 411 413 415 417 419 421 423 425 427 429 431 433 435 437 439 441 443 
  445 447 449 451 453 455 457 459 461 463 465 467 469 471 473 475 477 479 481 483 
  485 487 489 491 493 495 497 499 501 503 505 507 509 511 513 515 517 519 521 523 
  525 527 529 531 533 535 537 539 541 543 545 547 549 551 553 555 557 559 561 563 
  565 567 569 571 573 575 577 579 581 583 585 587 589 591 593 595 597 599 601 603 
  605 607 609 613 621 627 629 631 633 637 639 641 643 645 649 651 653 657 659 661 
  

Forbidden odd values in [1, H_max]:
  7 21 611 615 617 619 623 625 635 647 655 
