target_H	first_n_achieved
2883	10
2887	10
2889	10
2893	10
2895	10
2897	10
2899	10
2901	10
2905	10
2907	10
2909	10
2911	10
2913	10
2915	10
2921	10
2923	10
2925	10
2927	10
2929	10
2933	10
2935	10
2937	10
2939	10
2941	10
2943	10
2945	10
2947	10
2949	10
2951	10
2953	10
2955	10
2957	10
2965	10
2969	10
2975	10
2977	10
2997	10
3077	10
3087	10
3089	10
3091	10
3093	10
3097	10
3099	10
3103	10
3107	10
3111	10
3113	10
3115	10
3117	10
3119	10
3121	10
3123	10
3125	10
3127	10
3129	10
3131	10
3133	10
3135	10
3137	10
3139	10
3141	10
3143	10
3145	10
3147	10
3149	10
3151	10
3153	10
3155	10
3157	10
3161	10
3163	10
3165	10
3167	10
3169	10
3171	10
3173	10
3175	10
3177	10
3179	10
3181	10
3183	10
3185	10
3187	10
3189	10
3191	10
3193	10
3195	10
3197	10
3199	10
3201	10
3203	10
3205	10
3207	10
3209	10
3211	10
3213	10
3215	10
3217	10
3219	10
3221	10
3223	10
3225	10
3227	10
3229	10
3231	10
3233	10
3235	10
3237	10
3239	10
3241	10
3245	10
3247	10
3251	10
3253	10
3257	10
3259	10
3261	10
3263	10
3265	10
3269	10
3271	10
3273	10
3277	10
3283	10
3285	10
3287	10
3289	10
3291	10
3293	10
3295	10
3301	10
3305	10
3307	10
3309	10
3311	10
3313	10
3315	10
3317	10
3319	10
3321	10
3323	10
3325	10
3327	10
3329	10
3331	10
3335	10
3337	10
3339	10
3341	10
3343	10
3345	10
3347	10
3349	10
3351	10
3353	10
3355	10
