H-SPECTRUM: n=10, m=45, SAMPLED (2000000 iterations)
Done in 391s. count=2000000

n=10: 7594 distinct H values, range [5, 15615]
Mean H = 7084.1093 (expected 7087.5000)
Std H = 3111.5583
OCR R^2 = 0.92248631

H | count (sampled) | frac
    5 |          1 | 0.00000050
    9 |          1 | 0.00000050
   13 |          1 | 0.00000050
   15 |          2 | 0.00000100
   17 |          4 | 0.00000200
   19 |          1 | 0.00000050
   23 |          7 | 0.00000350
   25 |          8 | 0.00000400
   27 |          4 | 0.00000200
   29 |          5 | 0.00000250
   31 |          5 | 0.00000250
   33 |          8 | 0.00000400
   35 |          1 | 0.00000050
   37 |          4 | 0.00000200
   39 |          1 | 0.00000050
   41 |          3 | 0.00000150
   43 |          6 | 0.00000300
   45 |         16 | 0.00000800
   47 |          2 | 0.00000100
   49 |          6 | 0.00000300
   51 |          9 | 0.00000450
   53 |          4 | 0.00000200
   55 |         10 | 0.00000500
   57 |          4 | 0.00000200
   59 |          8 | 0.00000400
   61 |          2 | 0.00000100
   63 |          3 | 0.00000150
   65 |         15 | 0.00000750
   67 |          7 | 0.00000350
   69 |         17 | 0.00000850
  ... (7554 more values) ...
13847 |          1 | 0.00000050
13853 |          1 | 0.00000050
13899 |          1 | 0.00000050
13907 |          1 | 0.00000050
14637 |          1 | 0.00000050
14647 |          1 | 0.00000050
14661 |          1 | 0.00000050
14673 |          1 | 0.00000050
14681 |          1 | 0.00000050
14683 |          1 | 0.00000050
14701 |          1 | 0.00000050
14719 |          1 | 0.00000050
14931 |          1 | 0.00000050
14941 |          1 | 0.00000050
14961 |          1 | 0.00000050
14965 |          1 | 0.00000050
14969 |          1 | 0.00000050
14975 |          1 | 0.00000050
15061 |          1 | 0.00000050
15073 |          1 | 0.00000050
15075 |          1 | 0.00000050
15083 |          1 | 0.00000050
15085 |          1 | 0.00000050
15091 |          1 | 0.00000050
15095 |          1 | 0.00000050
15097 |          1 | 0.00000050
15099 |          1 | 0.00000050
15107 |          1 | 0.00000050
15111 |          1 | 0.00000050
15145 |          1 | 0.00000050
15153 |          1 | 0.00000050
15155 |          1 | 0.00000050
15163 |          1 | 0.00000050
15183 |          1 | 0.00000050
15189 |          1 | 0.00000050
15503 |          1 | 0.00000050
15519 |          1 | 0.00000050
15537 |          1 | 0.00000050
15547 |          1 | 0.00000050
15559 |          1 | 0.00000050
15561 |          1 | 0.00000050
15565 |          1 | 0.00000050
15575 |          1 | 0.00000050
15579 |          1 | 0.00000050
15587 |          1 | 0.00000050
15597 |          1 | 0.00000050
15605 |          1 | 0.00000050
15607 |          1 | 0.00000050
15613 |          1 | 0.00000050
15615 |          2 | 0.00000100

Gaps (odd values in [1, 15615] not achieved):
  7  11  21  14643  14651  14655  14663  14665  14667  14669  14671  14675  14677  14685  14687  14691  14695  14697  14699  14703  14705  14707  14709  14711  14713  14715  14717  14721  14723  14725  14727  14729  14731  14733  14735  14737  14739  14741  14743  14745  14747  14749  14751  14753  14755  14757  14759  14761  14763  14765 ... (212 total gaps)

Permanent gap check: H=7 count=0, H=21 count=0

Skewness and kurtosis:
  Skewness = 0.042822
  Kurtosis = 2.343579 (Gaussian=3)
