H-SPECTRUM: n=8, m=28, EXHAUSTIVE (268435456 tournaments)
Processing lower half [0,134217728) in 174763 chunks of B=768; counts doubled by reversal symmetry. Cores: 24
  1024/174763 chunks  prefix=786432/134217728  86436/s  ETA 1544s  distinct=318
  2048/174763 chunks  prefix=1572864/134217728  86761/s  ETA 1529s  distinct=320
  3072/174763 chunks  prefix=2359296/134217728  86577/s  ETA 1523s  distinct=320
  4096/174763 chunks  prefix=3145728/134217728  86379/s  ETA 1517s  distinct=320
  5120/174763 chunks  prefix=3932160/134217728  86107/s  ETA 1513s  distinct=320
  6144/174763 chunks  prefix=4718592/134217728  86216/s  ETA 1502s  distinct=320
  7168/174763 chunks  prefix=5505024/134217728  86363/s  ETA 1490s  distinct=320
  8192/174763 chunks  prefix=6291456/134217728  86349/s  ETA 1482s  distinct=320
  9216/174763 chunks  prefix=7077888/134217728  86085/s  ETA 1477s  distinct=320
  10240/174763 chunks  prefix=7864320/134217728  86003/s  ETA 1469s  distinct=320
  11264/174763 chunks  prefix=8650752/134217728  85999/s  ETA 1460s  distinct=320
  12288/174763 chunks  prefix=9437184/134217728  85984/s  ETA 1451s  distinct=320
  13312/174763 chunks  prefix=10223616/134217728  85936/s  ETA 1443s  distinct=320
  14336/174763 chunks  prefix=11010048/134217728  85864/s  ETA 1435s  distinct=320
  15360/174763 chunks  prefix=11796480/134217728  85737/s  ETA 1428s  distinct=320
  16384/174763 chunks  prefix=12582912/134217728  85701/s  ETA 1419s  distinct=320
  17408/174763 chunks  prefix=13369344/134217728  85702/s  ETA 1410s  distinct=320
  18432/174763 chunks  prefix=14155776/134217728  85712/s  ETA 1401s  distinct=320
  19456/174763 chunks  prefix=14942208/134217728  85712/s  ETA 1392s  distinct=320
  20480/174763 chunks  prefix=15728640/134217728  85547/s  ETA 1385s  distinct=320
  21504/174763 chunks  prefix=16515072/134217728  85513/s  ETA 1376s  distinct=320
