THM-4249 degree-42 R=1/3 hidden-projection independent audit
status=FINITE-EXACT_GOOD-REDUCTION_CERTIFICATE_RELATIVE_TO_THM4230_4241_4249
engine=python_standard_library exact_integer_and_F397_arithmetic no_sampling
char0_profiles={(3, 13): 672, (9, 11): 576, (12, 10): 864, (21, 7): 768, (27, 5): 288}
char0_universe=vectors:3168 orbits:132 sizes:{24: 132} max_hidden_coordinate:7
char0_box=qH>2*(N(A)+N(B));Nsum<78;coordinates_abs_at_most10;hostile_boundary_clear
projector=H=A*f+B*g A=2b+omega^2*d B=2c+d
hidden_common_value=T6:-1 T8:omega Bezout(2,1-omega):1 hence_common_value:O
cyclic_system=[A,B;-omega*B,A] determinant=Delta:A^2+omega*B^2
uniform_pi=omega^2-1 norm3 O/pi:F3 omega:1 A2+B2_zero_iff_A=B=0
uniform_degree_contradiction=pi_divides_Delta_implies_pi_divides_A_B qHprime=4K_not_in_6Z K:13,11,10,7,5
good_field=F397 affine_source_gate_smooth target_good simultaneous_Hensel_simple_roots=PASS
embedding=zeta12:157 sqrt3:377 hidden_a:161 hidden_scale:27
canonical_node=Q0:(15,28) t:379 R:1/3 nodes:12 all_regular_and_distinct
root_choices=24 two_C12_orbits rho_exchanges rho_fixes_each_of_132_map_classes
fQ=(340, 181) order:18 gQ=(327, 3) order:6 relation:gQ=[15]fQ
order_witnesses=[6]fQ:(0,396) [9]fQ:(35,0) [18]fQ:O
load_bearing=Delta*fQ=O_implies_[NDelta]fQ=O_implies_18_divides_NDelta_contradicts_3_not_divides_NDelta
cyclic_determinant_norms={4: 2, 52: 12, 100: 4, 148: 8, 196: 8, 208: 12, 244: 8, 292: 12, 388: 4, 400: 12, 436: 4, 592: 12, 628: 4, 676: 14, 724: 4, 772: 4, 916: 4, 964: 4}
orbit00 A=(-5, -4) B=(-2, -3) Delta=(6, 16) NDelta=196 DeltaF=(321, 269) DeltaG=(0, 396)
orbit01 A=(-6, -4) B=(-4, -4) Delta=(4, 16) NDelta=208 DeltaF=(117, 161) DeltaG=(0, 1)
orbit02 A=(-4, -3) B=(-3, -3) Delta=(-2, 6) NDelta=52 DeltaF=(278, 269) DeltaG=(0, 396)
orbit03 A=(-6, -4) B=(-2, -4) Delta=(20, 20) NDelta=400 DeltaF=(175, 298) DeltaG=(0, 396)
orbit04 A=(-5, -2) B=(-4, -3) Delta=(6, 8) NDelta=52 DeltaF=(321, 128) DeltaG=(0, 1)
orbit05 A=(-6, -4) B=(-2, -2) Delta=(16, 28) NDelta=592 DeltaF=(195, 128) DeltaG=(0, 1)
orbit06 A=(-4, -3) B=(-1, -3) Delta=(10, 10) NDelta=100 DeltaF=(117, 161) DeltaG=(0, 1)
orbit07 A=(-5, -2) B=(-2, -3) Delta=(18, 8) NDelta=244 DeltaF=(272, 161) DeltaG=(0, 1)
orbit08 A=(-4, -3) B=(-1, -1) Delta=(6, 14) NDelta=148 DeltaF=(227, 99) DeltaG=(0, 1)
orbit09 A=(-5, -2) B=(-2, -1) Delta=(18, 16) NDelta=292 DeltaF=(227, 298) DeltaG=(0, 396)
orbit10 A=(-5, -3) B=(-3, -4) Delta=(8, 6) NDelta=52 DeltaF=(278, 128) DeltaG=(0, 1)
orbit11 A=(-6, -2) B=(-4, -4) Delta=(16, 4) NDelta=208 DeltaF=(117, 161) DeltaG=(0, 1)
orbit12 A=(-5, -3) B=(-3, -2) Delta=(8, 18) NDelta=244 DeltaF=(8, 161) DeltaG=(0, 1)
orbit13 A=(-6, -2) B=(-4, -2) Delta=(20, 20) NDelta=400 DeltaF=(175, 298) DeltaG=(0, 396)
orbit14 A=(-4, -1) B=(-3, -3) Delta=(6, -2) NDelta=52 DeltaF=(321, 269) DeltaG=(0, 396)
orbit15 A=(-5, -3) B=(-1, -2) Delta=(16, 18) NDelta=292 DeltaF=(392, 298) DeltaG=(0, 396)
orbit16 A=(-4, -1) B=(-3, -1) Delta=(10, 10) NDelta=100 DeltaF=(117, 161) DeltaG=(0, 1)
orbit17 A=(-6, -2) B=(-2, -2) Delta=(28, 16) NDelta=592 DeltaF=(195, 128) DeltaG=(0, 1)
orbit18 A=(-4, -1) B=(-1, -1) Delta=(14, 6) NDelta=148 DeltaF=(392, 99) DeltaG=(0, 1)
orbit19 A=(-5, -1) B=(-3, -2) Delta=(16, 6) NDelta=196 DeltaF=(278, 269) DeltaG=(0, 396)
orbit20 A=(-5, -5) B=(-3, -6) Delta=(0, -2) NDelta=4 DeltaF=(227, 298) DeltaG=(0, 396)
orbit21 A=(-4, -6) B=(-2, -4) Delta=(-20, 0) NDelta=400 DeltaF=(392, 298) DeltaG=(0, 396)
orbit22 A=(-6, -4) B=(-4, -4) Delta=(4, 16) NDelta=208 DeltaF=(117, 161) DeltaG=(0, 1)
orbit23 A=(-5, -5) B=(-3, -2) Delta=(-8, 22) NDelta=724 DeltaF=(175, 99) DeltaG=(0, 1)
orbit24 A=(-3, -4) B=(-2, -5) Delta=(-2, -8) NDelta=52 DeltaF=(195, 128) DeltaG=(0, 1)
orbit25 A=(-4, -6) B=(0, -4) Delta=(-4, 12) NDelta=208 DeltaF=(8, 161) DeltaG=(0, 1)
orbit26 A=(-4, -3) B=(-3, -5) Delta=(2, -6) NDelta=52 DeltaF=(278, 128) DeltaG=(0, 1)
orbit27 A=(-4, -6) B=(0, -2) Delta=(-16, 12) NDelta=592 DeltaF=(278, 128) DeltaG=(0, 1)
orbit28 A=(-6, -4) B=(-2, -4) Delta=(20, 20) NDelta=400 DeltaF=(175, 298) DeltaG=(0, 396)
orbit29 A=(-3, -4) B=(-2, -1) Delta=(-10, 8) NDelta=244 DeltaF=(117, 236) DeltaG=(0, 396)
orbit30 A=(-4, -3) B=(-3, -1) Delta=(2, 18) NDelta=292 DeltaF=(392, 99) DeltaG=(0, 1)
orbit31 A=(-6, -4) B=(-2, -2) Delta=(16, 28) NDelta=592 DeltaF=(195, 128) DeltaG=(0, 1)
orbit32 A=(-5, -5) B=(1, -2) Delta=(8, 30) NDelta=724 DeltaF=(392, 99) DeltaG=(0, 1)
orbit33 A=(-3, -4) B=(2, -1) Delta=(-2, 16) NDelta=292 DeltaF=(175, 99) DeltaG=(0, 1)
orbit34 A=(-4, -3) B=(1, -1) Delta=(10, 18) NDelta=244 DeltaF=(8, 236) DeltaG=(0, 396)
orbit35 A=(-6, -5) B=(-5, -5) Delta=(-14, 10) NDelta=436 DeltaF=(175, 99) DeltaG=(0, 1)
orbit36 A=(-4, -4) B=(-4, -6) Delta=(-12, -16) NDelta=208 DeltaF=(272, 161) DeltaG=(0, 1)
orbit37 A=(-5, -6) B=(-2, -5) Delta=(-6, 8) NDelta=148 DeltaF=(227, 99) DeltaG=(0, 1)
orbit38 A=(-5, -6) B=(-2, -3) Delta=(-14, 16) NDelta=676 DeltaF=(117, 161) DeltaG=(0, 1)
orbit39 A=(-7, -4) B=(-4, -5) Delta=(18, 16) NDelta=292 DeltaF=(227, 298) DeltaG=(0, 396)
orbit40 A=(-4, -4) B=(-4, -2) Delta=(-12, 16) NDelta=592 DeltaF=(321, 269) DeltaG=(0, 396)
orbit41 A=(-5, -3) B=(-5, -2) Delta=(0, 26) NDelta=676 DeltaF=(272, 161) DeltaG=(0, 1)
orbit42 A=(-7, -4) B=(-4, -3) Delta=(18, 32) NDelta=772 DeltaF=(321, 128) DeltaG=(0, 1)
orbit43 A=(-3, -2) B=(-4, -5) Delta=(-10, -16) NDelta=196 DeltaF=(195, 269) DeltaG=(0, 396)
orbit44 A=(-5, -3) B=(-3, -6) Delta=(16, -6) NDelta=388 DeltaF=(8, 236) DeltaG=(0, 396)
orbit45 A=(-2, -3) B=(-3, -3) Delta=(-14, -6) NDelta=148 DeltaF=(392, 298) DeltaG=(0, 396)
orbit46 A=(-6, -5) B=(-1, -5) Delta=(26, 26) NDelta=676 DeltaF=(117, 236) DeltaG=(0, 396)
orbit47 A=(-3, -5) B=(-1, -2) Delta=(-16, 2) NDelta=292 DeltaF=(175, 298) DeltaG=(0, 396)
orbit48 A=(-5, -6) B=(0, -3) Delta=(-2, 24) NDelta=628 DeltaF=(278, 269) DeltaG=(0, 396)
orbit49 A=(-7, -4) B=(-2, -3) Delta=(30, 32) NDelta=964 DeltaF=(272, 161) DeltaG=(0, 1)
orbit50 A=(-4, -4) B=(-2, 0) Delta=(0, 20) NDelta=400 DeltaF=(227, 99) DeltaG=(0, 1)
orbit51 A=(-6, -5) B=(-1, -1) Delta=(10, 34) NDelta=916 DeltaF=(195, 128) DeltaG=(0, 1)
orbit52 A=(-6, -2) B=(-4, -2) Delta=(20, 20) NDelta=400 DeltaF=(175, 298) DeltaG=(0, 396)
orbit53 A=(-5, -3) B=(-3, 0) Delta=(16, 30) NDelta=676 DeltaF=(8, 236) DeltaG=(0, 396)
orbit54 A=(-3, -2) B=(-2, -5) Delta=(10, -8) NDelta=244 DeltaF=(117, 161) DeltaG=(0, 1)
orbit55 A=(-3, -5) B=(1, -2) Delta=(-8, 10) NDelta=244 DeltaF=(117, 161) DeltaG=(0, 1)
orbit56 A=(-6, -2) B=(-2, -2) Delta=(28, 16) NDelta=592 DeltaF=(195, 128) DeltaG=(0, 1)
