cluster type            resonance   predicted len   measured len   ratio
[400, 401, 402...] d~1   1/7      0.012821      0.013832     1.079
[1000, 1001, 1002...] d~1   1/7      0.012821      0.013840     1.080
[400, 401, 402...] d~1   6/7      0.012821      0.013832     1.079
[400, 401, 402...] d~1   1/8      0.023352      0.048833     2.091
[400, 401, 402...] d~1   1/9      0.022436      0.080123     3.571
[1000, 1001, 1002...] d~1   1/9      0.022436      0.078066     3.480
[400, 402, 404...] d~2   1/7      0.003205      0.004206     1.312
[400, 403, 406...] d~3   1/7      0.002564      0.002760     1.077
REGIME-CHAINED predictions:
cluster                  res    predicted     measured     ratio
[400, 401..+7] d=1  1/7   0.012821    0.013832   1.079
[400, 401..+9] d=1  1/8   0.048077    0.048833   1.016
[400, 401..+12] d=1  1/9   0.076923    0.080123   1.042
[1000, 1001..+12] d=1  1/9   0.076923    0.078066   1.015
[400, 402..+7] d=2  1/7   0.003205    0.004206   1.312
[400, 403..+7] d=3  1/7   0.002564    0.002760   1.077
[400, 401..+12] d=1  2/9   0.019231    0.021918   1.140
[400, 401..+9] d=1  3/8   0.015385    0.017014   1.106
