Command: timeout 300 lake build TournamentH7.Verify
Outcome: timed out before reaching the TournamentH7.Verify audit layer.
Narrow successful check: see lean_root_packets_s6.out.

✔ [2139/2151] Built Mathlib.Analysis.LocallyConvex.Basic (22s)
✔ [2141/2178] Built Mathlib.LinearAlgebra.AffineSpace.Basis (24s)
✔ [2157/2180] Built Mathlib.LinearAlgebra.AffineSpace.Simplex.Basic (32s)
✔ [2158/2180] Built Mathlib.Analysis.LocallyConvex.BalancedCoreHull (14s)
✔ [2165/2190] Built Mathlib.Tactic.ENatToNat (4.8s)
✔ [2166/2190] Built Mathlib.Analysis.Convex.Function (42s)
✔ [2167/2190] Built Mathlib.Topology.Sets.Compacts (18s)
✔ [2168/2193] Built Mathlib.Data.Seq.Basic (17s)
✔ [2169/2193] Built Mathlib.Analysis.SpecialFunctions.Pow.Asymptotics (17s)
✔ [2170/2195] Built Mathlib.Tactic.ComputeAsymptotics.Multiseries.Monomial.Predicates (7.6s)
✔ [2171/2195] Built Mathlib.Tactic.ComputeDegree (10s)
✔ [2172/2195] Built Mathlib.Tactic.ComputeAsymptotics.Multiseries.Majorized (8.7s)
✔ [2173/2195] Built Mathlib.Tactic.DeriveCountable (9.5s)
✔ [2174/2197] Built Mathlib.Tactic.ComputeAsymptotics.Multiseries.Monomial.Basic (7.8s)
✔ [2175/2197] Built Mathlib.Analysis.Convex.Combination (51s)
✔ [2177/2198] Built Mathlib.Tactic.DeriveEncodable (15s)
✔ [2178/2206] Built Mathlib.Analysis.Convex.Jensen (24s)
✔ [2190/2212] Built Mathlib.Tactic.Linarith.NNRealPreprocessor (5.5s)
✔ [2192/2212] Built Mathlib.Analysis.Convex.StdSimplex (18s)
✔ [2193/2214] Built Mathlib.Tactic.ComputeAsymptotics.Multiseries.Defs (37s)
✔ [2195/2223] Built Mathlib.Tactic.Linarith.Oracle.FourierMotzkin (6.8s)
✔ [2208/2228] Built Mathlib.Tactic.Monotonicity.Lemmas (3.2s)
✔ [2210/2229] Built Mathlib.Tactic.LinearCombinationPrime (10s)
✔ [2211/2229] Built Mathlib.Tactic.Monotonicity (2.3s)
✔ [2212/2229] Built Mathlib.Analysis.Seminorm (89s)
✔ [2213/2231] Built Mathlib.Tactic.NormNum.GCD (12s)
✔ [2215/2233] Built Mathlib.Tactic.NormNum.BigOperators (15s)
✔ [2216/2233] Built Mathlib.Analysis.Convex.Topology (19s)
✔ [2217/2239] Built Mathlib.Data.Rat.Sqrt (4.5s)
✔ [2218/2239] Built Mathlib.Data.Nat.Choose.Central (6.7s)
✔ [2219/2240] Built Mathlib.Algebra.Order.Ring.GeomSum (8.8s)
✔ [2220/2240] Built Mathlib.Analysis.LocallyConvex.Bounded (26s)
✔ [2221/2240] Built Mathlib.Analysis.Normed.Module.Convex (16s)
✔ [2222/2240] Built Mathlib.Data.Nat.Digits.Defs (12s)
✔ [2223/2243] Built Mathlib.Topology.Algebra.Module.LocallyConvex (14s)
✔ [2224/2243] Built Mathlib.Topology.Algebra.Module.UniformConvergence (11s)
✔ [2225/2243] Built Mathlib.Data.Nat.Digits.Lemmas (14s)
✔ [2226/2247] Built Mathlib.Algebra.Polynomial.Derivative (32s)
✔ [2227/2247] Built Mathlib.Data.Nat.Choose.Factorization (9.0s)
✔ [2228/2247] Built Mathlib.Algebra.MonoidAlgebra.Division (8.6s)
✔ [2229/2247] Built Mathlib.Algebra.MonoidAlgebra.MapDomain (37s)
✔ [2230/2247] Built Mathlib.Data.Nat.Multiplicity (7.6s)
✔ [2231/2247] Built Mathlib.Algebra.Polynomial.Inductions (8.3s)
✔ [2232/2247] Built Mathlib.Analysis.LocallyConvex.WithSeminorms (56s)
✔ [2233/2247] Built Mathlib.Algebra.CharP.Lemmas (10s)
✔ [2234/2250] Built Mathlib.Topology.Algebra.Module.Spaces.UniformConvergenceCLM (58s)
✔ [2235/2250] Built Mathlib.Algebra.CharP.Frobenius (9.1s)
✔ [2236/2253] Built Mathlib.Algebra.Polynomial.Div (22s)
✔ [2237/2253] Built Mathlib.Order.PiLex (7.7s)
✔ [2238/2253] Built Mathlib.Data.DFinsupp.NeLocus (5.4s)
✔ [2239/2261] Built Mathlib.Algebra.Order.Group.PiLex (4.1s)
✔ [2240/2261] Built Mathlib.Data.DFinsupp.Order (14s)
✔ [2241/2261] Built Mathlib.Algebra.MonoidAlgebra.Basic (39s)
✔ [2242/2264] Built Mathlib.Algebra.Regular.Pow (3.3s)
✔ [2243/2265] Built Mathlib.Data.Finsupp.Antidiagonal (5.8s)
✔ [2244/2265] Built Mathlib.Data.Finsupp.Fin (5.0s)
✔ [2245/2265] Built Mathlib.Data.DFinsupp.Lex (14s)
✔ [2246/2266] Built Mathlib.Algebra.Polynomial.BigOperators (13s)
✔ [2247/2266] Built Mathlib.Algebra.Polynomial.AlgebraMap (30s)
✔ [2248/2266] Built Mathlib.Algebra.BigOperators.Finsupp.Fin (6.0s)
✔ [2249/2266] Built Mathlib.Algebra.MvPolynomial.Basic (29s)
✔ [2250/2266] Built Mathlib.Algebra.Order.SuccPred.PartialSups (5.7s)
✔ [2251/2270] Built Mathlib.Data.Finsupp.Lex (9.8s)
