=== k=7, F(k)=0.7998 ===
   s= 6  min mu=0.39524 (83/210)  E=(0, 1, 2, 3, 4, 5, 6)
   s= 7  min mu=0.48980 (24/49)  E=(0, 1, 2, 3, 4, 5, 7)
   s= 8  min mu=0.37143 (13/35)  E=(0, 2, 3, 4, 5, 6, 8)
   s= 9  min mu=0.48254 (152/315)  E=(0, 1, 3, 5, 6, 7, 9)
   s=10  min mu=0.43810 (46/105)  E=(0, 1, 3, 5, 7, 9, 10)
   s=11  min mu=0.48413 (61/126)  E=(0, 1, 2, 3, 4, 6, 11)
   s=12  min mu=0.43027 (253/588)  E=(0, 4, 5, 6, 7, 8, 12)
   s=13  min mu=0.49967 (3001/6006)  E=(0, 1, 2, 3, 4, 5, 13)
   s=14  min mu=0.47143 (33/70)  E=(0, 2, 6, 7, 8, 12, 14)
   s=15  min mu=0.47823 (703/1470)  E=(0, 1, 2, 3, 4, 5, 15)
   s=16  min mu=0.48273 (31223/64680)  E=(0, 1, 4, 8, 12, 15, 16)
   GLOBAL bdd min (s<=16): mu=0.37143 at spread 8, E=(0, 2, 3, 4, 5, 6, 8)
