=== k=9, F(k)=0.5689 ===
   s= 8  min mu~0.28265 (277/980)  E=(0, 1, 2, 3, 4, 5, 6, 7, 8)
   s=10  min mu~0.26054 (383/1470)  E=(0, 1, 2, 3, 4, 5, 6, 7, 10)
   s=12  min mu~0.22313 (164/735)  E=(0, 2, 4, 5, 6, 7, 8, 9, 12)
   s=14  min mu~0.23787 (1049/4410)  E=(0, 3, 4, 5, 6, 7, 9, 10, 14)
   s=16  min mu~0.20833 (5/24)  E=(0, 4, 6, 7, 8, 9, 10, 12, 16)
   s=18  min mu~0.19805 (811/4095)  E=(0, 5, 7, 8, 9, 10, 11, 13, 18)
   s=20  min mu~0.20509 (9949/48510)  E=(0, 5, 8, 9, 10, 11, 12, 15, 20)
   s=22  min mu~0.25873 (163/630)  E=(0, 4, 6, 7, 8, 10, 12, 13, 22)
   s=24  min mu~0.27190 (10887/40040)  E=(0, 8, 13, 14, 15, 16, 17, 19, 24)
   s=26  min mu~0.28003 (160541/573300)  E=(0, 1, 5, 7, 10, 13, 15, 19, 26)
   GLOBAL-ish bdd min: mu~0.19805 at spread 18, E=(0, 5, 7, 8, 9, 10, 11, 13, 18)
