Dpsi(N) for N=1..7: [-0.6667, -0.2937, -0.0397, 0.0952, 0.1111, 0.0079, -0.2143]
max_N |Dpsi(N)| = 0.6667  => universal C_Phi <= (12/7)*that = 1.1429

cluster/w:  |Error_Phi|*w   Phi-min-bound   (bound>=err? bound<=1.15?)
  [0, 1, 2, 3, 4, 5, 6]          w=1009: |Err|*w=0.0407  min-bound=0.0028  CHK
  [0, 1, 2, 3, 4, 5, 6]          w=2003: |Err|*w=0.1581  min-bound=0.0014  CHK
  [0, 1, 2, 3, 4, 5, 30]         w=1009: |Err|*w=0.0389  min-bound=0.0056  CHK
  [0, 1, 2, 3, 4, 5, 30]         w=2003: |Err|*w=0.1203  min-bound=0.0028  CHK
  [0, 2, 4, 6, 8, 10, 12]        w=1009: |Err|*w=0.0596  min-bound=0.0057  CHK
  [0, 2, 4, 6, 8, 10, 12]        w=2003: |Err|*w=0.2179  min-bound=0.0029  CHK
  [0, 3, 7, 12, 20, 33, 54]      w=1009: |Err|*w=0.6877  min-bound=0.0203  CHK
  [0, 3, 7, 12, 20, 33, 54]      w=2003: |Err|*w=0.0733  min-bound=0.0103  CHK
  [0, 1, 2, 118, 119, 120, 60]   w=1009: |Err|*w=1.3220  min-bound=0.0636  CHK
  [0, 1, 2, 118, 119, 120, 60]   w=2003: |Err|*w=0.1820  min-bound=0.0338  CHK

done.
