PRIMITIVE 7-structured, spread>=200, longest-AP<=7:  c=#arcs/spread vs 0.37 (mac-mini a-priori)
 spread  #mult7  longAP  gcd  #arcs      c     mu     D3  c<=0.37?
    287       9       6    1    168  0.585  0.953  0.636        NO
    502      10       6    1    212  0.422  0.976  0.700        NO
    336      10       6    1    144  0.429  0.971  0.671        NO
    343      10       6    1    168  0.490  0.962  0.644        NO
    231       9       6    1     92  0.398  0.970  0.660        NO
    486      10       6    1    226  0.465  0.959  0.668        NO
    595      11       7    1    350  0.588  0.942  0.594        NO
    511      10       6    1    290  0.568  0.950  0.640        NO
    308      11       6    1    220  0.714  0.948  0.653        NO
    348       9       6    1    160  0.460  0.967  0.662        NO
    495       9       6    1    250  0.505  0.967  0.674        NO
    206       9       6    1    100  0.485  0.960  0.664        NO
    241      10       6    1    116  0.481  0.962  0.637        NO
    276      10       5    1    130  0.471  0.966  0.670        NO
    350       9       5    1    168  0.480  0.969  0.697        NO
    297       9       6    1    148  0.498  0.968  0.685        NO
    436       9       6    1    188  0.431  0.976  0.691        NO
    385      10       6    1    174  0.452  0.959  0.674        NO
    308       9       5    1    142  0.461  0.965  0.696        NO
    420      10       6    1    182  0.433  0.969  0.686        NO
    315      10       6    1    154  0.489  0.969  0.688        NO
    252      11       6    1    126  0.500  0.960  0.612        NO
    420      10       5    1    158  0.376  0.971  0.689        NO
    392      10       6    1    230  0.587  0.932  0.639        NO
    347       9       6    1    140  0.403  0.974  0.689        NO
    406      10       5    1    160  0.394  0.975  0.719        NO
    358       9       6    1    142  0.397  0.962  0.687        NO
    322       9       6    1    148  0.460  0.959  0.665        NO
    420      10       5    1    166  0.395  0.975  0.717        NO
    210      10       6    1    140  0.667  0.909  0.584        NO
    245      10       6    1    146  0.596  0.932  0.608        NO
    357      10       5    1    146  0.409  0.975  0.714        NO
    385      10       6    1    250  0.649  0.942  0.630        NO
    364      10       6    1    148  0.407  0.964  0.674        NO
    601       9       6    1    264  0.439  0.967  0.694        NO
    306       9       6    1    128  0.418  0.971  0.677        NO
    372       9       6    1    204  0.548  0.968  0.700        NO
    393      10       6    1    170  0.433  0.968  0.680        NO
    350      11       6    1    206  0.589  0.946  0.609        NO
    350       9       6    1    206  0.589  0.965  0.674        NO
    476      10       6    1    178  0.374  0.973  0.652        NO
    436       9       6    1    182  0.417  0.968  0.674        NO
    322       9       6    1    146  0.453  0.967  0.684        NO
    264       9       7    1    170  0.644  0.939  0.603        NO
    259       9       6    1     96  0.371  0.975  0.688        NO
    212       9       6    1    116  0.547  0.955  0.624        NO
    245       9       6    1    112  0.457  0.967  0.693        NO
    257      11       6    1    122  0.475  0.945  0.652        NO
    449      11       6    1    172  0.383  0.970  0.641        NO
    273       9       5    1    104  0.381  0.979  0.703        NO
    447       9       6    1    194  0.434  0.968  0.669        NO
    458       9       5    1    184  0.402  0.978  0.723        NO
    569       9       6    1    272  0.478  0.963  0.674        NO
    387      10       6    1    186  0.481  0.953  0.648        NO
    210       9       6    1    118  0.562  0.963  0.670        NO
    350       9       6    1    162  0.463  0.967  0.668        NO
    340       9       5    1    128  0.376  0.979  0.719        NO
    275      10       5    1    102  0.371  0.978  0.687        NO
    350       9       6    1    174  0.497  0.965  0.660        NO
    441      10       6    1    182  0.413  0.973  0.699        NO
    200       9       5    1     82  0.410  0.972  0.689        NO
    315       9       6    1    134  0.425  0.959  0.654        NO
    217      10       6    1    112  0.516  0.963  0.611        NO
    383      10       6    1    152  0.397  0.970  0.672        NO
    200       9       6    1     76  0.380  0.968  0.661        NO
    349      10       6    1    188  0.539  0.962  0.649        NO
    326      10       6    1    126  0.387  0.971  0.654        NO
    371      10       6    1    188  0.507  0.967  0.680        NO
    574       9       6    1    218  0.380  0.975  0.684        NO
    434      11       6    1    196  0.452  0.963  0.642        NO
    581       9       6    1    230  0.396  0.970  0.699        NO
    287       9       4    1    110  0.383  0.975  0.722        NO
    357       9       5    1    158  0.443  0.973  0.720        NO
    479       9       6    1    192  0.401  0.973  0.689        NO
    385       9       6    1    152  0.395  0.971  0.685        NO
    448      11       6    1    198  0.442  0.964  0.665        NO
    400       9       6    1    164  0.410  0.974  0.702        NO
    469      10       6    1    206  0.439  0.968  0.670        NO
    414      10       6    1    162  0.391  0.977  0.706        NO
    276       9       6    1    124  0.449  0.972  0.677        NO
    436       9       6    1    218  0.500  0.972  0.691        NO
    242      10       6    1     98  0.405  0.970  0.681        NO
    301       9       6    1    112  0.372  0.969  0.687        NO
    266      11       6    1    108  0.406  0.961  0.627        NO
    211      11       6    1    104  0.493  0.970  0.630        NO
    350       9       6    1    190  0.543  0.964  0.668        NO
    271       9       5    1    118  0.435  0.976  0.693        NO
    510       9       6    1    220  0.431  0.975  0.697        NO
    259       9       6    1    122  0.471  0.967  0.686        NO
    322       9       5    1    150  0.466  0.967  0.709        NO
    406      10       7    1    312  0.768  0.942  0.612        NO
    308       9       5    1    134  0.435  0.979  0.709        NO
    413      10       6    1    168  0.407  0.967  0.692        NO
    454      10       7    1    252  0.555  0.954  0.632        NO
    278      11       6    1    120  0.432  0.973  0.632        NO
    248      11       7    1    180  0.726  0.903  0.564        NO
    463       9       4    1    218  0.471  0.966  0.705        NO
    210       9       6    1     94  0.448  0.960  0.693        NO
    322       9       5    1    158  0.491  0.962  0.681        NO
    343      10       6    1    160  0.466  0.967  0.672        NO
    405      11       6    1    232  0.573  0.940  0.637        NO
    448      10       6    1    222  0.496  0.959  0.644        NO
    406      11       6    1    160  0.394  0.972  0.667        NO
    403      10       6    1    154  0.382  0.972  0.685        NO
    467      10       6    1    194  0.415  0.963  0.642        NO
    266      11       6    1    128  0.481  0.960  0.618        NO
    387      10       6    1    164  0.424  0.963  0.679        NO
    483      10       6    1    202  0.418  0.968  0.666        NO
    421      10       6    1    206  0.489  0.952  0.648        NO
    246       9       6    1    122  0.496  0.971  0.689        NO
    415       9       6    1    232  0.559  0.961  0.681        NO
    311       9       6    1    140  0.450  0.972  0.626        NO
    367       9       6    1    150  0.409  0.977  0.677        NO
    280      11       6    1    134  0.479  0.965  0.668        NO
    403      10       6    1    190  0.471  0.969  0.666        NO
    243      10       6    1    122  0.502  0.958  0.620        NO
    667      10       6    1    338  0.507  0.956  0.662        NO
    357       9       6    1    162  0.454  0.962  0.667        NO
    434       9       6    1    186  0.429  0.954  0.645        NO
    371       9       7    1    224  0.604  0.953  0.627        NO
    253       9       6    1    130  0.514  0.970  0.681        NO
    203      10       5    1    112  0.552  0.968  0.697        NO
    294      10       6    1    112  0.381  0.983  0.689        NO
    455       9       6    1    194  0.426  0.974  0.693        NO
    283       9       6    1    138  0.488  0.961  0.651        NO
    203       9       6    1     90  0.443  0.965  0.658        NO
    343      10       6    1    194  0.566  0.959  0.675        NO
    598      10       6    1    272  0.455  0.968  0.695        NO
    280      10       6    1    128  0.457  0.968  0.668        NO
    254      10       6    1    136  0.535  0.956  0.683        NO
    298      10       7    1    176  0.591  0.936  0.588        NO
    223       9       6    1    114  0.511  0.961  0.663        NO
    245      10       6    1    120  0.490  0.963  0.658        NO
    266       9       6    1    110  0.414  0.974  0.680        NO
    231      11       6    1    112  0.485  0.955  0.608        NO
    430       9       5    1    188  0.437  0.975  0.710        NO
    518      10       6    1    202  0.390  0.964  0.663        NO
    301      10       6    1    146  0.485  0.970  0.684        NO
    350       9       6    1    220  0.629  0.950  0.640        NO
    245      11       6    1    102  0.416  0.979  0.687        NO
    411      10       6    1    172  0.418  0.967  0.675        NO
    263      10       6    1    112  0.426  0.940  0.619        NO
    444      11       6    1    212  0.477  0.970  0.692        NO
    389       9       6    1    170  0.437  0.974  0.697        NO
    252       9       6    1    108  0.429  0.963  0.693        NO
    615       9       6    1    352  0.572  0.945  0.659        NO
    271       9       6    1    106  0.391  0.973  0.707        NO
    203       9       5    1     80  0.394  0.979  0.710        NO
    434       9       6    1    188  0.433  0.971  0.698        NO
    399      10       6    1    148  0.371  0.965  0.671        NO
    416      10       6    1    222  0.534  0.956  0.667        NO
    315      10       6    1    130  0.413  0.964  0.661        NO
    217      10       6    1     82  0.378  0.974  0.670        NO
    523       9       5    1    226  0.432  0.971  0.688        NO
    248       9       6    1    134  0.540  0.966  0.681        NO
    308      11       6    1    202  0.656  0.937  0.623        NO
    400       9       6    1    202  0.505  0.962  0.647        NO
    471      10       6    1    300  0.637  0.943  0.645        NO
    448       9       6    1    210  0.469  0.961  0.696        NO
    385       9       6    1    194  0.504  0.957  0.667        NO
    546      10       6    1    256  0.469  0.967  0.683        NO
    315      10       6    1    124  0.394  0.977  0.699        NO
    208      10       6    1    108  0.519  0.971  0.677        NO
    469      10       6    1    180  0.384  0.973  0.685        NO
    433      10       6    1    188  0.434  0.959  0.658        NO
    462       9       7    1    316  0.684  0.949  0.629        NO
    200       9       4    1     80  0.400  0.969  0.710        NO
    420      10       6    1    182  0.433  0.965  0.647        NO
    308      11       6    1    120  0.390  0.970  0.663        NO
    360      10       6    1    144  0.400  0.964  0.682        NO
    588      11       6    1    248  0.422  0.974  0.696        NO
    273      10       5    1    126  0.462  0.967  0.669        NO
    564       9       6    1    242  0.429  0.970  0.698        NO
    220      10       6    1    158  0.718  0.945  0.645        NO
    379       9       7    1    234  0.617  0.947  0.619        NO
    590       9       6    1    220  0.373  0.974  0.679        NO
    357      10       7    1    252  0.706  0.945  0.623        NO
    412       9       6    1    166  0.403  0.963  0.667        NO
    522       9       6    1    238  0.456  0.970  0.687        NO
    433       9       6    1    180  0.416  0.961  0.651        NO
    294       9       6    1    186  0.633  0.950  0.660        NO
    437      10       6    1    192  0.439  0.971  0.670        NO
    225       9       6    1    100  0.444  0.964  0.663        NO
    343      11       6    1    152  0.443  0.970  0.674        NO
    353       9       4    1    158  0.448  0.975  0.708        NO
    525      10       6    1    224  0.427  0.966  0.661        NO
    326       9       6    1    152  0.466  0.967  0.685        NO
    292       9       5    1    128  0.438  0.970  0.715        NO
    320       9       6    1    156  0.487  0.973  0.679        NO
    347       9       6    1    134  0.386  0.969  0.697        NO
    510      10       6    1    200  0.392  0.970  0.696        NO
    338      11       6    1    146  0.432  0.960  0.640        NO

WORST: spread=406 #mult7=10 longAP=7 #arcs=312 c=0.768 mu=0.942 D3=0.612
  c<=0.37? False   c<mu? True   E=[0, 7, 63, 126, 151, 189, 252, 305, 315, 362, 378, 385, 406]

=> if worst c <= 0.37 even for 7-structured primitive large-spread, mac-mini's a-priori
   bound HOLDS (the 7-spike is a SMALL-spread finite-check phenomenon, covered by LEM-013).
   if some c > 0.37, the a-priori #arcs bound needs a mod-7 correction term.
