Confirm closed forms w1=10/(7(k-1)), w2=3/(7(k-2)) and the explicit AP lower bound:
 k | mu_consec | 10/(7(k-1))+3/(7(k-2)) (=w1+w2 LB) | #good intervals | mu>=LB?
  5 | 0.64286 | 0.50000 | 5 | True (gap w3=0.14286)
  6 | 0.57143 | 0.39286 | 5 | True (gap w3=0.17857)
  7 | 0.39524 | 0.32381 | 5 | True (gap w3=0.07143)
  8 | 0.33265 | 0.27551 | 5 | True (gap w3=0.05714)
  9 | 0.28265 | 0.23980 | 5 | True (gap w3=0.04286)
 10 | 0.25261 | 0.21230 | 5 | True (gap w3=0.04031)
 11 | 0.21599 | 0.19048 | 5 | True (gap w3=0.02551)
 12 | 0.20300 | 0.17273 | 5 | True (gap w3=0.03027)
 13 | 0.17944 | 0.15801 | 5 | True (gap w3=0.02143)
 14 | 0.16703 | 0.14560 | 5 | True (gap w3=0.02143)
 15 | 0.15319 | 0.13501 | 5 | True (gap w3=0.01818)
 16 | 0.14419 | 0.12585 | 5 | True (gap w3=0.01834)
 17 | 0.13199 | 0.11786 | 5 | True (gap w3=0.01413)
 18 | 0.12673 | 0.11082 | 5 | True (gap w3=0.01591)
 19 | 0.11733 | 0.10458 | 5 | True (gap w3=0.01276)
 20 | 0.11195 | 0.09900 | 5 | True (gap w3=0.01296)
 21 | 0.10554 | 0.09398 | 5 | True (gap w3=0.01155)
 22 | 0.10120 | 0.08946 | 5 | True (gap w3=0.01174)
 23 | 0.09512 | 0.08534 | 5 | True (gap w3=0.00977)
 24 | 0.09229 | 0.08159 | 5 | True (gap w3=0.01070)
 25 | 0.08725 | 0.07816 | 5 | True (gap w3=0.00909)

LOWER BOUND mu_consec(k) >= 10/(7(k-1)) + 3/(7(k-2)) ~ 13/(7k) for large k -- explicit, positive.
