cap_9 = 0.49426

Family A:  E = {0,1,2,3,4,5,6,7, W}, outlier on the RIGHT
  sup over W in [9,119]: L_y=0.487289 at W=9  margin=0.006971
    W=9: L_y=0.487289
    W=10: L_y=0.469350
    W=11: L_y=0.434976
    W=12: L_y=0.457011
    W=13: L_y=0.444892
    W=14: L_y=0.447808
    W=15: L_y=0.424074
    W=16: L_y=0.439021
    W=17: L_y=0.446341
    W=18: L_y=0.453036
    W=19: L_y=0.445413

Family B:  E = {0} U {b, b+1, ..., b+7}, consec block shifted up (outlier=0 on left)
  sup over b in [2,119]: L_y=0.447436 at b=2  margin=0.046824
    b=2: L_y=0.447436
    b=3: L_y=0.422764
    b=4: L_y=0.391270
    b=5: L_y=0.394104
    b=6: L_y=0.387455
    b=7: L_y=0.386104
    b=8: L_y=0.394481
    b=9: L_y=0.387174
    b=10: L_y=0.395605
    b=11: L_y=0.390993
