q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
6,586,3920,ff25b90786d44076,419,3501,21,b7e273f47d288a7,11,156,0,cbf29ce484222325
25,586,3877,d7c57ec0bf283207,408,3469,152,6ab9b2aad97c5da7,7,202,0,cbf29ce484222325
50,586,1798,3b84943b53856e7d,166,1632,515190,451f331904463a9,1,247,4090,14ce094f4ab4ba94
72,586,3918,4cbf9b4826e09cc4,419,3499,24,dbf21061185e8925,6,87,0,cbf29ce484222325
96,586,3701,93e12bbf4b17e148,384,3317,1008,43d8efb4b52be27a,3,209,0,cbf29ce484222325
100,586,3569,c03f0dedc0706b8b,339,3230,7212,6a6c47f0b034298a,2,241,0,cbf29ce484222325
105,586,3874,29e896d940039176,397,3477,490,df49c729eb7a0d8f,4,162,0,cbf29ce484222325
192,586,3891,a5eaa2d57080ea4f,415,3476,80,9e99046879d0c71,7,180,0,cbf29ce484222325
206,586,3901,263ea7160002cf7c,417,3484,55,7b860bae218c2ea,7,137,0,cbf29ce484222325
210,586,3860,6bad91887752b42,393,3467,715,5e2a826904bbc109,5,251,0,cbf29ce484222325
260,586,3916,24f06c0b16e620c,416,3500,79,c4a5ffe3e31c225e,7,139,0,cbf29ce484222325
294,586,3919,be04db0a2dfabf59,419,3500,22,5db3ca33f9d0215b,13,103,0,cbf29ce484222325
