q,r,ordinal,body_hex,truncated_mass,full_mass,truncated_scaled_ticks,full_scaled_ticks
50,586,0,003c6601,4009874299302870,4009874299302870,145728886675508010,145728886675508010
50,586,1,003d6401,4148809363093762,4148809363093762,154481795694334206,154481795694334206
50,586,2,0054540b,4537076632372836,4537076632372836,178942633658915868,178942633658915868
50,586,3,010cc40b,4758372235893646,4766035980307686,192884256680726898,193367072578811418
50,586,4,010ccc03,4324703942952582,4324703942952582,165563154225439866,165563154225439866
50,586,5,010d5405,4193358128910840,4193358128910840,157288367940810120,157288367940810120
50,586,6,010d540c,4405827045860410,4405827045860410,170673909708633030,170673909708633030
50,586,7,010d5421,4215461229268172,4215461229268172,158680863263322036,158680863263322036
50,586,8,010d5501,4282929630664948,4282929630664948,162931372551318924,162931372551318924
50,586,9,010d5c04,4338422181467638,4338422181467638,166427403251888394,166427403251888394
50,586,10,010dc403,4355948339844082,4355948339844082,167531551229604366,167531551229604366
50,586,11,010dd401,4399058010650188,4399058010650188,170247460490389044,170247460490389044
50,586,12,010f5404,4280325450651122,4280325450651122,162767309210447886,162767309210447886
50,586,13,01117405,4327277987960746,4327277987960746,165725319060954198,165725319060954198
50,586,14,0111e403,4535477715906306,4535477715906306,178841901921524478,178841901921524478
50,586,15,0111e405,4480169106595806,4480169106595806,175357459534962978,175357459534962978
50,586,16,0111f401,4577981837358254,4577981837358254,181519661572997202,181519661572997202
50,586,17,01145407,4274411491569816,4274411491569816,162394729788325608,162394729788325608
50,586,18,01145423,4185526342368876,4185526342368876,156794965388666388,156794965388666388
50,586,19,01145503,4102607983475616,4102607983475616,151571108778391008,151571108778391008
50,586,20,01146407,4251724016389260,4251724016389260,160965418851950580,160965418851950580
50,586,21,01146423,4158489513165060,4158489513165060,155091645148825980,155091645148825980
50,586,22,01146503,4104316033100760,4104316033100760,151678715904775080,151678715904775080
50,586,23,01146702,4273874188246500,4273874188246500,162360879678956700,162360879678956700
50,586,24,01146d02,4609421208226440,4609421208226440,183500341937692920,183500341937692920
50,586,25,01147601,4045640522642092,4045640522642092,147982158745878996,147982158745878996
50,586,26,01147604,4101604451920074,4101604451920074,151507886290391862,151507886290391862
50,586,27,01147608,4192123207492582,4192123207492582,157210567891459866,157210567891459866
50,586,28,0114d403,4289670412951596,4289670412951596,163356041835377748,163356041835377748
50,586,29,0114e20a,4369980738755646,4369980738755646,168415592361032898,168415592361032898
50,586,30,0114e403,4270134549797196,4270134549797196,162125282456650548,162125282456650548
50,586,31,01196405,4131472713765020,4131472713765020,153389586786623460,153389586786623460
50,586,32,01196421,4220628563361340,4220628563361340,159006405311191620,159006405311191620
50,586,33,01196501,4330861979454478,4330861979454478,165951110525059314,165951110525059314
50,586,34,0119e401,4359225828852544,4359225828852544,167738033037137472,167738033037137472
50,586,35,011c408d,4901454093570792,4901454093570792,201898413714387096,201898413714387096
50,586,36,011c409c,4710844476577434,4710844476577434,189890007843805542,189890007843805542
