q,r,ordinal,body_hex,truncated_mass,full_mass,truncated_scaled_ticks,full_scaled_ticks
50,587,0,011c7401,8203612012126488,8203612012126488,302676345214493544,302676345214493544
50,587,1,035c4401,8538322836280326,8538322836280326,323763127136185338,323763127136185338
50,587,2,0748440c,8997125301310796,8997125301310796,352667682433104948,352667682433104948
50,587,3,07485408,9212937673287660,9240252878842440,366263861867647380,367984719817598520
50,587,4,07684408,8974839734797820,9002154940352600,351263691742787460,352984549692738600
50,587,5,11186405,7898022711434484,7898022711434484,283424219270897292,283424219270897292
50,587,6,11186421,8161825885706112,8161825885706112,300043819250009856,300043819250009856
50,587,7,11186501,8407334741079480,8407334741079480,315510877138532040,315510877138532040
50,587,8,11187401,8336913778348032,8336913778348032,311074356486450816,311074356486450816
50,587,9,1118e401,8493414791136852,8493414791136852,320933920292146476,320933920292146476
50,587,10,11386401,8047009699871652,8047009699871652,292810399542438876,292810399542438876
50,587,11,11586401,8794662740291598,8794662740291598,339912541088895474,339912541088895474
50,587,12,1308e401,9767137651309912,9782491296262272,401178460483049256,402145740115047936
50,587,13,1348c408,10195724911358062,10211078556310422,428179457866082706,429146737498081386
50,587,14,13584208,8887592232580388,8887592232580388,345767099103089244,345767099103089244
50,587,15,13584401,8745798129934350,8745798129934350,336834070636388850,336834070636388850
50,587,16,13d84008,9472671632165322,9472671632165322,382627101276940086,382627101276940086
50,587,17,2124c481,8763189570454950,8763189570454950,337929731389186650,337929731389186650
50,587,18,21344481,8716816769462928,8716816769462928,335008244926689264,335008244926689264
50,587,19,21346401,8057272955859468,8057272955859468,293456984669671284,293456984669671284
50,587,20,21364401,8526872244211092,8526872244211092,323041739835823596,323041739835823596
50,587,21,2161c401,8844311478804438,8844311478804438,343040411615204394,343040411615204394
50,587,22,21744401,8201280947910126,8201280947910126,302529488168862738,302529488168862738
50,587,23,22545401,8939453101664898,8939453101664898,349034333855413374,349034333855413374
50,587,24,23246401,8802584266907820,8829899472462600,340411597265717460,342132455215668600
50,587,25,23344081,8778266825427798,8778266825427798,338879598452476074,338879598452476074
50,587,26,23346001,8413812158987418,8413812158987418,315918954466732134,315918954466732134
50,587,27,23544401,8736392418564516,8736392418564516,336241510820089308,336241510820089308
50,587,28,23644401,8919156202033998,8946471407588778,347755629178666674,349476487128617814
50,587,29,23744001,8440715768298606,8440715768298606,317613881853336978,317613881853336978
50,587,30,2560c401,8846054595762488,8846054595762488,343150227983561544,343150227983561544
50,587,31,25644401,8613448548330348,8643798776724548,328496046995336724,330408111384171324
50,587,32,31306401,8128013382338712,8128013382338712,297913631537863656,297913631537863656
50,587,33,3160c402,8921686765603332,8921686765603332,347915054683534716,347915054683534716
50,587,34,33006405,9013908605033296,9029262249985656,353725030567622448,354692310199621128
50,587,35,3300e401,10048460525312782,10063814170265142,418901801545230066,419869081177228746
50,587,36,3310e001,9217226193294822,9217226193294822,366534038628098586,366534038628098586
50,587,37,33504401,8888411873052120,8888411873052120,345818736452808360,345818736452808360
50,587,38,33584001,9232520081548050,9232520081548050,367497553588051950,367497553588051950
50,587,39,33604401,9034038342990420,9061353548545200,354993204058921260,356714062008872400
50,587,40,3700e001,9337076869086710,9337076869086710,374084631202987530,374084631202987530
