mask_hex,rank,total_weight,q96,q100,q105,q192,q210,q256,q416
0014b08c,8,1,0,0,0,0,0,1,0
0054892c,9,75,3,0,0,0,0,70,2
0088c724,9,187,0,0,0,0,1,185,1
0100813f,9,106,1,0,0,0,104,0,1
0124003f,9,199,0,0,3,0,58,138,0
0124a12c,9,51,0,0,0,0,41,10,0
018ad240,9,243,0,0,0,0,0,243,0
0200813f,9,171,5,0,14,0,19,133,0
0802209f,9,87,2,0,1,0,72,12,0
0806c283,9,311,1,0,4,0,0,302,4
080a9a81,9,309,0,2,0,0,0,306,1
082b8448,9,50,0,0,0,0,36,14,0
08834149,9,329,2,0,15,0,50,262,0
09844944,9,349,0,0,1,0,11,337,0
0a430a88,9,179,4,0,10,0,7,158,0
0ac44842,9,251,2,0,0,0,0,249,0
10808559,9,66,0,0,0,0,55,11,0
12c14242,9,17,0,0,5,1,1,10,0
18070e80,9,9,0,1,0,0,0,4,4
18672040,9,42,0,0,0,0,42,0,0
19048125,9,69,0,0,2,0,67,0,0
2002221f,9,59,0,0,2,0,42,15,0
20084687,9,176,0,0,0,0,0,176,0
2040a1a5,9,63,0,0,0,0,43,20,0
2048009f,9,269,0,0,0,0,0,269,0
2080c127,9,490,1,0,12,0,46,431,0
2084c324,9,458,0,0,5,0,10,443,0
20898640,8,14,0,0,1,0,13,0,0
20908525,9,44,0,0,0,0,0,40,4
2144c124,9,210,0,0,0,0,23,187,0
21680096,9,197,0,0,0,0,0,197,0
21890249,9,344,0,0,0,0,0,344,0
21c91202,9,268,0,0,0,0,0,268,0
228d4202,9,351,0,0,0,0,0,351,0
280a0417,9,212,0,0,1,0,0,209,2
280a8a88,9,305,0,1,0,0,0,304,0
281a0816,9,226,2,0,0,0,0,224,0
282a0a81,9,272,0,0,0,0,0,272,0
2842488c,9,222,0,0,19,0,40,163,0
28490a09,9,218,0,0,1,0,8,209,0
2b0a0016,9,311,0,0,0,0,0,311,0
38112a80,9,10,1,1,0,0,4,4,0
3ad10800,9,22,2,0,0,0,3,17,0
