q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
6,588,3651,3eac6fc476069e39,355,3296,2593,3e64ae71b19fb8fe,2,244,0,cbf29ce484222325
24,588,3750,97d5578d964d3223,389,3361,806,1fadceb3537e053d,1,263,0,cbf29ce484222325
25,588,3175,c410a45a9a3442a8,286,2889,36948,e97ae1fdca66bf0,1,305,9,8fe6c7431c54c6ff
50,588,751,be26ea8ecd25ee95,63,688,3714790,cd6f632ffc00009b,1,161,99836,4a8d6e89f7aa5d75
72,588,3864,b1434a5a5ac07132,407,3457,161,f4000368e63e594,4,129,0,cbf29ce484222325
94,588,3917,fe9d8486a1503111,420,3497,15,1e668c90e1204602,10,45,0,cbf29ce484222325
96,588,2299,381cbb23b550c58c,221,2078,163378,3beb40adede5c7b3,1,213,1130,5766a653739cf191
100,588,2801,52f9cb73474c5dd3,249,2552,102074,5df153a359484d57,1,263,14,f0fdda5ad80a46b7
105,588,3047,636d662682190e45,272,2775,70710,74013711ee9f1475,1,221,60,a6f76a994fd08192
135,588,3914,b536de7f48d3abd4,420,3494,7,ff54e1a79a5cf463,19,102,0,cbf29ce484222325
141,588,3922,8dcaaeeb8ec1072c,420,3502,7,ff54e1a79a5cf463,18,103,0,cbf29ce484222325
144,588,3922,53d58bb02630db9,419,3503,19,67d4643d34728a48,14,103,0,cbf29ce484222325
147,588,3904,f9effeec7efb16dd,416,3488,58,ad81b9ac14cc49f3,13,139,0,cbf29ce484222325
148,588,3921,976f026d075e6b7d,419,3502,11,9151ba720efd43fb,9,80,0,cbf29ce484222325
153,588,3898,6a85e6e2535523f,411,3487,131,ad8e1a9b7fe53c9c,4,195,0,cbf29ce484222325
166,588,3921,12f3a0cd943c7ec9,420,3501,7,ff54e1a79a5cf463,18,103,0,cbf29ce484222325
173,588,3921,2ef0973cb4b95832,419,3502,15,f508ea667bffc477,9,103,0,cbf29ce484222325
183,588,3676,787285cbf1694ba2,375,3301,1514,cdfd30e233b59a93,1,178,0,cbf29ce484222325
186,588,3716,abebec35e90ff242,377,3339,1157,67ffac69ceabf9a3,2,228,0,cbf29ce484222325
192,588,3463,ee0c5f0e94b888b5,344,3119,5920,60582b51ca9581dc,1,229,0,cbf29ce484222325
206,588,2869,97d00d86525962f5,312,2557,16467,eaea67ab6528be00,1,232,7,def96e7fae5db299
208,588,3798,c94c47bcdea7a0db,381,3417,1297,8ad59839c6c11cc6,1,230,0,cbf29ce484222325
210,588,1878,c2e583000689afbc,152,1726,856113,12508d9fa5d52478,1,212,43799,f756dc445e2790cd
220,588,3852,b3f8a9e751c88353,414,3438,59,f46c0adfb3c958a5,9,177,0,cbf29ce484222325
223,588,3924,20d240159cc74af5,420,3504,7,ff54e1a79a5cf463,19,103,0,cbf29ce484222325
244,588,3924,cf25e947d2988ecb,420,3504,7,950af2abe3b62b5e,25,79,0,cbf29ce484222325
254,588,3916,b9ab3e4f826cdd69,419,3497,16,501c80a99a565301,19,103,0,cbf29ce484222325
256,588,3339,d0e87627de80a80,356,2983,4253,b457faea0ccb2d6e,1,217,7,392c4d67394b2e17
260,588,3569,ab7a2661795217fc,341,3228,5122,5163aa39b329cdee,1,248,0,cbf29ce484222325
