q,r,ordinal,body_hex,truncated_mass,scaled_ticks
50,589,0,0018e609,504127064065066,20450486197881558
50,589,1,0018f601,444489764172402,16693336304643726
50,589,2,0018f602,444307301227036,16681841139085668
50,589,3,0018f604,444108099693908,16669291442498604
50,589,4,0018f608,463225434301578,17873683522781814
50,589,5,0018f610,472907745343696,18483669118435248
50,589,6,0019e403,458896058822292,17600932867586796
50,589,7,0019e405,449202939023228,16990266320245764
50,589,8,0019e409,513329196138694,21030220518520122
50,589,9,0019e411,472780954318322,18475681283836686
50,589,10,0019e421,471854635658172,18417323208247236
50,589,11,0019e441,491120764152382,19631089303382466
50,589,12,0019e481,468889151540160,18230497708812480
50,589,13,0019e501,503546522953890,20413912107877470
50,589,14,0019e601,492310668968872,19706053306821336
50,589,15,0019ec01,491229188334300,19637920026843300
50,589,16,0019f401,449245862262600,16992970484326200
50,589,17,0019f402,445656544865662,16766843488319106
50,589,18,0019f404,454495640486134,17323706512408842
50,589,19,0019f408,469702440768964,18281734930227132
50,589,20,0019f410,477486899124352,18772155806616576
50,589,21,001be401,486429844964544,19335561394548672
50,589,22,001c5445,473011655711094,18490215471581322
50,589,23,001c5605,432615395625040,15945251086159920
50,589,24,001c560c,453871508042154,17284386168438102
50,589,25,001c7441,470646582137634,18341215836453342
50,589,26,001c7601,423040134906692,15342009660903996
50,589,27,001c7602,442023126542194,16537938133940622
50,589,28,001c7604,430172739680366,15791363761645458
50,589,29,001c7608,448142290397566,16923445456829058
50,589,30,001c7610,467627536832164,18151015982208732
50,589,31,001c7620,435412416024894,16121463371350722
50,589,32,001c7700,449146405010064,16986704677416432
50,589,33,001ce601,438016592841212,16285526510778756
50,589,34,001cf600,454481817907194,17322835689935622
50,589,35,001d5405,453836213237792,17282162595763296
50,589,36,001d7401,439014266822532,16348379971601916
50,589,37,001d7420,456019019007414,17419679359249482
50,589,38,001d7500,460085859388674,17675890303268862
50,589,39,001de401,455047074478712,17358446853941256
50,589,40,001df400,466355760249954,18070894057529502
50,589,41,001e5604,454470800858086,17322141615841818
50,589,42,0039e401,438692605618280,16328115315734040
50,589,43,003c5405,461876676406896,17788711775416848
50,589,44,003c6403,426986249260944,15590614865221872
50,589,45,003c6601,412892016848752,14702678223253776
50,589,46,003c6602,440626250536764,16449934945598532
50,589,47,003c6604,430022520201256,15781899934461528
50,589,48,003c6608,439750599596106,16394768936337078
50,589,49,003c6610,457655484442774,17522776681677162
50,589,50,003c6620,444677873041724,16705187163411012
50,589,51,003c6700,455252426161034,17371384009927542
50,589,52,003c7401,458300453428848,17563409727799824
50,589,53,003ce600,446204979539424,16801394872766112
50,589,54,003d6401,433249079315552,15985173158662176
50,589,55,003d6402,456689424928744,17461914932293272
50,589,56,003d6404,449547062588836,17011946104879068
50,589,57,003d6420,465133208815684,17993873317170492
50,589,58,003d6500,468083088817304,18179715757272552
50,589,59,003de400,459578424226784,17643921888069792
50,589,60,003e5404,482326531579542,19077052651293546
50,589,61,003e6402,478109167373226,18811358706295638
50,589,62,0054540b,477676577278218,18784105530310134
