q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
6,589,3844,e03f0845e2a3ce9,392,3452,575,c68d25e383a8665d,5,232,0,cbf29ce484222325
25,589,3613,4a625de6670a01fd,349,3264,6270,a6dfe991224182b4,1,225,0,cbf29ce484222325
50,589,1398,c075113890c7f5e1,118,1280,1354361,1366e51a3f67e4be,1,209,20025,ff421454f02d9099
72,589,3872,e6d453fb5e98ab33,407,3465,187,857a7b8d1bf02773,4,319,0,cbf29ce484222325
94,589,3921,19d13d574d8d8ad4,420,3501,10,94defb8df8f7c76f,21,163,0,cbf29ce484222325
96,589,3099,784c30ac100db599,306,2793,17367,cea9e2581492d86e,1,245,11,6f70a2d28ff6a957
100,589,3299,1940adb61fab95aa,295,3004,33374,374d1929421027cf,1,240,0,cbf29ce484222325
105,589,3579,6d0ec8f2354a7f4e,342,3237,9580,e9e8ecab4bcf8086,1,190,0,cbf29ce484222325
147,589,3889,8fe13b295ba5f5e8,418,3471,42,5f8081827e8f21d8,12,82,0,cbf29ce484222325
148,589,3917,d6fe277df17125b9,418,3499,26,43d412abadfe0c9a,9,82,0,cbf29ce484222325
153,589,3916,780df51789049adb,417,3499,66,111577078b266a9c,7,197,0,cbf29ce484222325
183,589,3825,8b7d5679a77dc1a0,398,3427,617,8ec0f2e467e34190,3,218,0,cbf29ce484222325
186,589,3899,abd94bf66910a4b6,412,3487,117,c04ae675af1498fa,5,209,0,cbf29ce484222325
192,589,3700,7f536cf9cb421d3f,373,3327,1809,6d4090195fe41399,1,211,0,cbf29ce484222325
206,589,3842,f7df708d79c288dc,404,3438,381,f1bda9f769c3bca1,5,206,0,cbf29ce484222325
208,589,3922,aea371f6b5748121,418,3504,36,598876fdafbad1e5,10,126,0,cbf29ce484222325
210,589,3457,bef522b5908ca66,306,3151,23116,3231b8d90f9e5270,1,294,0,cbf29ce484222325
220,589,3891,b3a0b81f245238ad,416,3475,73,825305acebe22fe6,7,138,0,cbf29ce484222325
244,589,3915,50b146d1cb8d7538,420,3495,27,360211a26e7c3c26,3,126,0,cbf29ce484222325
256,589,3562,d00fd3daa0153311,385,3177,919,24d40aa38db61355,2,183,0,cbf29ce484222325
260,589,3755,844de66187494904,377,3378,1367,f8fcb5a57d0584b2,2,224,0,cbf29ce484222325
270,589,3922,a3475463de8a87ba,420,3502,12,26701566d553bb08,18,72,0,cbf29ce484222325
294,589,3863,b5e544e98644dd79,406,3457,290,1b0ef5eb1c7b5c28,4,194,0,cbf29ce484222325
306,589,3923,9f87eb49aeb65075,420,3503,24,50d763002d8e3373,10,197,0,cbf29ce484222325
320,589,3919,fdd2910d8a97455b,418,3501,47,477d1fe36ad94fc9,6,195,0,cbf29ce484222325
325,589,3918,a6f82f24a8ad7f5f,419,3499,38,332f21a6ec2b75e6,4,130,0,cbf29ce484222325
366,589,3806,23f88ca1067e4849,401,3405,539,718cdf88dc78c9a7,3,190,0,cbf29ce484222325
384,589,3917,fc0543c1058278db,418,3499,22,8b1656632d8eb76a,10,180,0,cbf29ce484222325
