mask_hex,rank,joint,margin_ticks
0038940c,8,0,218711127642588
11300c09,8,0,198104625850572
13285100,8,0,468336685191354
21509401,8,0,1103544194012190
05145018,8,0,486287280449838
11045809,8,0,623810540757222
03044681,8,0,18798353616420
2b088c00,8,0,866038511751840
02305884,8,0,463357511178660
31182140,8,0,13452904435194
2408a418,8,0,103065561924318
03408cc0,8,0,1605091913002620
02301c82,8,0,208884697107660
01581c04,8,0,507979339739550
1110e401,8,0,758959346337444
20866480,8,0,672496824494880
210ea010,8,0,182032019001630
0a1ac004,8,0,225590246465850
0111c441,8,0,251367166958670
03423082,8,0,412796387864700
0008720d,8,0,94209324142878
21522804,8,0,143398276616700
0520b009,8,0,364427136286668
10487600,8,0,235871092214604
3104c408,8,0,645269787807372
33802404,8,0,195831438157404
21554001,8,0,753635720105100
0112b440,8,0,153244959705180
2100360c,8,0,103559727884508
20ac6002,8,0,1212158732396220
21541401,8,0,1057018699367820
05391800,8,0,1213426606128030
23a81004,8,0,592574107839210
03845410,8,0,521229091408200
02098449,8,0,108363079005678
013050c2,8,0,525872533866750
2048244a,8,0,298545039545508
1054c480,8,0,125342896905954
25026081,8,0,702513650475630
24780808,8,0,421031613143358
2491c001,8,0,597992666135130
209c4201,8,0,1042449284898630
05121481,8,0,136938683236950
01c8b001,8,0,408210787836180
235a0008,8,0,518096447402058
0b081c01,8,0,346588385759910
2b480280,8,0,150996944206080
28283480,8,0,12994158799440
01704803,8,0,891669047836140
22b00403,8,0,341122524251040
341c2020,8,0,1003892791385484
174c2000,8,0,1639272006480654
20182650,8,0,356624275293090
249d0020,8,0,95274774024570
03989010,8,0,261507760799670
01217500,8,0,98904018308130
3009040d,8,0,198251815664952
0418d808,8,0,337235214480318
01985110,8,0,497273809333770
324c2040,8,0,270240821876844
11c48500,8,0,73207052694594
27100806,8,0,325261584264960
12047204,8,0,530808296960214
22086700,8,0,417439692823860
21cc0240,8,0,77464003391460
1124e040,8,0,219630473920494
01047025,8,0,198745851288600
0216a009,8,0,23717421553518
120c6208,8,0,22651991097372
24221209,8,0,7410280645908
200e0289,8,0,28744126751718
07120640,8,0,17942337279090
20a81016,8,0,74554628318730
03583040,8,0,569081967303150
224844c0,8,0,345938704723080
11143180,8,0,328412305032084
05442680,8,0,306687147144840
25100688,8,0,353164889043288
15082809,8,0,92310136895592
01415448,8,0,24456426713208
0130b041,8,0,482800701158370
21486088,8,0,1396191515566428
13981800,8,0,111265028007084
0f0cc000,8,0,65955200444910
09416210,8,0,150613521327360
234a1200,8,0,279945348253200
221c4204,8,0,404196306304140
06282409,8,0,359028423345438
03e82080,8,0,478120131193320
2368c000,8,0,766547678460690
00c070a2,8,0,44828429502780
10b25010,8,0,83224187193924
05385100,8,0,1262427092215380
35044104,8,0,209760372111654
021c1481,8,0,45603630385740
0658c800,8,0,534851862658470
25384010,8,0,949642241345280
25841009,8,0,83646913035798
310a2042,8,0,67079801261844
35280c00,8,0,189891878277024
110ce800,8,0,638118673286094
11440688,8,0,180905828638626
38662000,8,0,319039294077504
21186180,8,0,1237107992379840
01311409,8,0,1144628205091308
26114420,8,0,336462636035610
22807042,8,0,469067663424780
012c3009,8,0,403708362565788
02b24003,8,0,240254958803580
06203488,8,0,458720395172298
03043007,8,0,251880864159960
23248600,8,0,279740536950420
0398a040,8,0,375664269456000
30904510,8,0,86658823293084
25084212,8,0,1006351205139630
22089c40,8,0,933092418354390
04097280,8,0,387867027631860
3300408a,8,0,20544294070062
21601405,8,0,370830328904700
20097003,8,0,665941015936350
0b12c040,8,0,154676636723700
13403801,8,0,310071494099304
01ec4002,8,0,28041749924580
25162800,8,0,381295405966230
241a0812,8,0,437664655922130
341a1004,8,0,165919403435814
2d480a00,8,0,343139868540000
1154800c,8,0,281760367025592
093c0401,8,0,66403128277710
25802c08,8,0,31207276657368
20189019,8,0,46068408282708
1d070200,8,0,8355276830628
23880460,8,0,457280599313160
20e84440,8,0,993828475536120
09c07080,8,0,746126194035600
23080648,8,0,1055719473643548
034c0640,8,0,143903816952840
20582c08,8,0,881859014437338
232c2020,8,0,92400488989830
002a6409,8,0,115433322605748
241c1108,8,0,25990141957038
32806440,8,0,703178642421864
21c80281,8,0,358463598590790
25282012,8,0,787513015258200
2134a008,8,0,17700068377278
36026080,8,0,128856606285834
36086010,8,0,344140792503354
151c2008,8,0,1308341775701142
11144049,8,0,964620781617402
25225010,8,0,96758488709820
23c04880,8,0,48071392822530
30c86004,8,0,817964231172984
01305106,8,0,472172125914720
17051008,8,0,431706893033052
25404089,8,0,416822168832678
10c4600a,8,0,646613278658802
35053000,8,0,1014050977926714
13804482,8,0,908291199876984
0578a000,8,0,893397585380580
1b488400,8,0,201595623430824
03848508,8,0,20549598847218
05288409,8,0,798162046219818
22c0e020,8,0,357430343099760
21887004,8,0,2018672209714230
30381082,8,0,411559119066564
300c20a1,8,0,24989059446624
0d522001,8,0,1076866464904020
02a45402,8,0,753628371151320
27104808,8,0,916618859776368
0a528440,8,0,290887703347500
2b201404,8,0,564911190041310
34050488,8,0,371617406824482
301ca040,8,0,668827783879164
31142600,8,0,942177861180738
00966480,8,0,493334220062250
05d05020,8,0,759098394399870
23584010,8,0,1067788150001370
01243209,8,0,180691307620488
052a6200,8,0,289583129264940
02566080,8,0,269396759430540
19124401,8,0,154972278747594
208c2c08,8,0,55915548802848
0158a404,8,0,837312398713350
01c0ec00,8,0,688775120260290
17481008,8,0,109747903154022
21685800,8,0,670944843364950
06981402,8,0,503366155040070
208cf000,8,0,1138153983758190
31249400,8,0,576503197219404
1b015400,8,0,64399130849844
34036200,8,0,437280458542704
26994000,8,0,1362895774269120
0a303c00,8,0,297377293208310
01193208,8,0,193662460730088
23308802,8,0,318953781774180
01945804,8,0,397743682288680
13101604,8,0,486992774616894
0301d003,8,0,119591003982240
029c2404,8,0,246988285529580
25089480,8,0,898122128247540
300e2600,8,0,772171092255654
281a3004,8,0,541177234935120
0242a488,8,0,85463112582288
24301608,8,0,876297332615418
02a81406,8,0,152996765400990
110c3880,8,0,596836760645034
03462880,8,0,620734638961836
00b05206,8,0,334143983382930
243b0002,8,0,229915156158450
22081c06,8,0,635883100471080
21141083,8,0,281991734703000
06303042,8,0,70459082806770
1134040a,8,0,84536224192602
12cc9000,8,0,146608043830794
0700c083,8,0,27082125289170
03a0e020,8,0,260809295191200
05492012,8,0,206183526787350
25093400,8,0,1482495008460480
1b105004,8,0,536633696998854
03984808,8,0,257435096235408
200c440e,8,0,762601332816918
04305844,8,0,341484723444060
09125101,8,0,131064094000350
281b0404,8,0,141486277397850
01445448,8,0,151848620899038
21490403,8,0,775250717379390
34044029,8,0,742885633655802
21304083,8,0,600256392263640
0154d008,8,0,769980208808538
25309200,8,0,827113542470460
15211480,8,0,480803280047244
0148160c,8,0,322925127993468
24a15100,8,0,637641802522620
01d8400c,8,0,437711686361838
0340a484,8,0,479703172198320
1014240d,8,0,72240122713122
03101889,8,0,221616099974808
069cc000,8,0,539882357643720
3004480b,8,0,91565838809172
01782810,8,0,34229714405670
122c9001,8,0,305213354258904
013a2081,8,0,645302377599390
038e0402,8,0,18527988402630
214c2060,8,0,29282411241720
30046488,8,0,761777181946872
310c8044,8,0,118153092752604
140c4406,8,0,277725607405974
39094200,8,0,137712900947454
1ab0c000,8,0,324529380422604
01d02482,8,0,451133922662010
2d010e00,8,0,45733438781100
306c4002,8,0,645562125351234
29501801,8,0,744082053839460
314a4002,8,0,538838516556144
25403088,8,0,428492299458258
05544600,8,0,472128273386910
06087804,8,0,82015748636220
2b005c00,8,0,1010522719115280
21888206,8,0,378602161324380
15300209,8,0,295248597173712
2f804200,8,0,14173500688200
25111003,8,0,518568850912770
141d2001,8,0,633602565640044
21905090,8,0,772257902213700
07122005,8,0,54609541245630
01b81204,8,0,487743329551590
03388202,8,0,472153640830200
26310808,8,0,89485237045008
01961009,8,0,78861479963868
05446009,8,0,1052246457497718
37402004,8,0,313251994008324
348c8004,8,0,582779296037484
06405608,8,0,424164378850128
24a94001,8,0,222076050729750
01701d00,8,0,291817311348150
07308840,8,0,335921955172020
11480c88,8,0,63424887108282
014064d0,8,0,262690703343810
20817420,8,0,338908502737350
01d08481,8,0,615274154211150
07025402,8,0,523498430875140
310c4012,8,0,1424250929405304
0d550001,8,0,517470645533940
31044441,8,0,543961740022974
07442202,8,0,109358018520660
3d003400,8,0,127668472880634
3118a200,8,0,1238665381372314
21f08001,8,0,432522233892000
0200e6c0,8,0,658659432938850
09186600,8,0,865528794920790
33281004,8,0,798463210229244
0b306002,8,0,534332534316210
1b066000,8,0,454003341316434
21a84024,8,0,798544037838330
20905610,8,0,383232630148830
10856500,8,0,223799858498034
13484600,8,0,736260980339304
2b090c00,8,0,651974734754280
205c3800,8,0,303490240053210
31126200,8,0,719856178886124
04599001,8,0,97766277217560
13511400,8,0,681562042842744
07898400,8,0,640291906485000
05501812,8,0,1355974476570
23300442,8,0,802064379000780
20087a04,8,0,462425860895670
248c0604,8,0,339492086551800
22846401,8,0,677115235916910
21826c00,8,0,463858330631220
212b2400,8,0,712759299900480
1500540a,8,0,138606559870842
055c2002,8,0,769599006382080
300cc018,8,0,138348822853332
0170a480,8,0,508090799225520
2b4c0200,8,0,71234312018940
350d0080,8,0,1593810064186704
0a30c003,8,0,423798700074120
1a462002,8,0,233763218723034
37044002,8,0,1271913545182644
249a2080,8,0,530117267449770
095a5000,8,0,638340133591440
31081418,8,0,369698184206442
0e301c00,8,0,879403588510860
01504c21,8,0,332350443101250
01d94002,8,0,367017897799980
0b122401,8,0,919613920685040
2d006090,8,0,101215185707790
03046016,8,0,199546201778490
11e0c040,8,0,284785807317354
1405b400,8,0,3747451638294
0b083c00,8,0,609666317384670
05842409,8,0,402695609787828
200e2490,8,0,196077378334320
260c8201,8,0,69623236196640
260c2090,8,0,10925122480020
0a30500c,8,0,460549111103928
22884284,8,0,16819401170880
20482682,8,0,601723919474370
21b8c000,8,0,1685310723755190
0b106801,8,0,566416314107280
26810488,8,0,41977909667988
25291002,8,0,1080752069721870
01303015,8,0,281905164568440
24059009,8,0,22189439531448
202a5408,8,0,885381413800338
3d0c0004,8,0,789398752087764
12241442,8,0,28120277363724
25006a02,8,0,52390545388650
37280001,8,0,352507129262064
22306009,8,0,493713748654308
04b10608,8,0,11115900191718
21092448,8,0,694769357485728
35880401,8,0,762769569367764
03980450,8,0,325268977423320
22504e00,8,0,218894608233000
05186012,8,0,518222826807840
014d6100,8,0,21042521764740
144d1008,8,0,513545333151942
07925000,8,0,535066037299080
1a446400,8,0,249306961500324
019a5040,8,0,422213835272670
06844502,8,0,143889975934740
07142500,8,0,424439859031650
06043409,8,0,149560839979488
01549041,8,0,487009470431610
010c7101,8,0,128663512597620
0119300c,8,0,33641513199378
05466001,8,0,917981040595626
15640600,8,0,194635755242838
01546480,8,0,993512986863390
010c6241,8,0,16878566917800
01381284,8,0,580131261090990
2119c040,8,0,236141245362960
210a2504,8,0,618975204133860
1054c081,8,0,484795322236134
2a386000,8,0,867075837005700
01416282,8,0,14199307314570
01a01740,8,0,69081415890480
03520508,8,0,226577289567888
041c8409,8,0,485310821564898
02f06400,8,0,695919249392220
03328009,8,0,798233118736158
25080a0c,8,0,38775132368028
13094480,8,0,299930121352764
2501040d,8,0,344751000628608
30145050,8,0,119040232053834
25130880,8,0,48324977035650
0210f084,8,0,460588254041790
11c66000,8,0,1323809261390070
0191d002,8,0,458493825792240
15881408,8,0,259911736754922
0388c804,8,0,64020026896560
04346082,8,0,36723457103760
3280c108,8,0,1585151813322
20946021,8,0,628275059272350
300c20a4,8,0,342570745181574
21511081,8,0,323781304562100
03300588,8,0,467967574622898
35600480,8,0,319308988307274
05381084,8,0,701990079558390
145d4000,8,0,1174170300452604
06283401,8,0,161118607289220
20185301,8,0,74832377189850
29194080,8,0,377316971803800
03048548,8,0,131241753794088
03c8a001,8,0,663814302139170
02987200,8,0,528468236284590
09924021,8,0,229916981889630
11346020,8,0,495170546316264
22107028,8,0,154097162977968
39805008,8,0,95464471974102
28066480,8,0,347806686080070
0604e480,8,0,375661219397940
28186401,8,0,994095296133660
24032209,8,0,354530510231688
03925100,8,0,121281979457520
21382808,8,0,730541239201998
0ab04404,8,0,27106916810400
0d454400,8,0,209361985929810
1005700c,8,0,269817517879182
36840c00,8,0,220837386431844
03548480,8,0,1020150909958950
051a6200,8,0,853670470332960
20583101,8,0,143411748112080
07211202,8,0,880362715706460
13700500,8,0,466454839801104
14127080,8,0,264185114536854
05844109,8,0,212998458211938
34191001,8,0,405627889793994
021c440a,8,0,357840447810048
015dc000,8,0,337223326254570
0340ac20,8,0,125742623388480
3a082404,8,0,112799303894214
01584601,8,0,1211784001708140
2848200b,8,0,225474087671658
03113401,8,0,851461004335410
32007204,8,0,165604605534144
030cb800,8,0,105384427774290
01301445,8,0,501163581770460
03122580,8,0,519479272695600
21491402,8,0,708511938204420
30c92400,8,0,46871792522604
134024a0,8,0,228955447756224
11463040,8,0,260583674854230
030c2a80,8,0,181828961999370
102c1049,8,0,716362787287602
01285181,8,0,286623671099850
25d81000,8,0,1475361758452680
03e82002,8,0,678707078685930
01725200,8,0,945579684654990
0530a880,8,0,165124622365290
113c4400,8,0,945059989735134
2700300a,8,0,63189785110158
0498c401,8,0,434604894787980
35500410,8,0,48525315601644
250b0208,8,0,684652672859148
04b05011,8,0,232356298013910
0b198200,8,0,11520680465700
26108442,8,0,537702269958630
11064109,8,0,76990880140902
21462c00,8,0,316720172793276
0414d003,8,0,407278145140020
01486881,8,0,802336521738780
24245402,8,0,302026521633480
1084e204,8,0,214939670101884
1340300c,8,0,130086145727622
05c11202,8,0,90320950540170
0709a001,8,0,584013321803520
23484404,8,0,1995212587329360
011c5088,8,0,493545494944908
11948084,8,0,7487521878564
033cc000,8,0,891411386102370
109c4044,8,0,148194872686224
30a84600,8,0,427382678206134
15406204,8,0,777858480554904
03043209,8,0,32680453194018
20190407,8,0,359288760893580
04592801,8,0,524885459083020
33046080,8,0,1346807763621684
14446208,8,0,614533100517882
10705021,8,0,261133154487324
15016300,8,0,276644605755924
32180e00,8,0,496318404656214
24c66000,8,0,579099149841240
2200cc48,8,0,372269670401538
051c4021,8,0,314221740695100
0910d021,8,0,162836651176290
209a3002,8,0,621597493616400
110c4203,8,0,492901189778088
2111d400,8,0,611064636794640
05514210,8,0,634940591486040
06a06102,8,0,219958022275110
09343400,8,0,246780989864010
07140411,8,0,375055463705580
0b201403,8,0,116119025485470
0f800c01,8,0,8901286671690
11d05010,8,0,750090223503684
14807410,8,0,204623201772234
120d6400,8,0,318128045529294
310b2400,8,0,638743561988994
02317001,8,0,379689880316040
0bc04480,8,0,265311658110240
011a7002,8,0,894849588842580
055c2400,8,0,1315766186971110
144c4011,8,0,175274601888204
35002c08,8,0,121693269037662
05045601,8,0,251479714067190
016e2080,8,0,619381856830716
32048481,8,0,295610290102764
06907004,8,0,485037268861950
01906228,8,0,53398300477158
0301ac40,8,0,633326248229850
22c06c00,8,0,597184890744960
1204a481,8,0,293139339707214
010c5209,8,0,459456700552668
3408200d,8,0,397632370828392
24094640,8,0,861000627179700
01a83404,8,0,580742068455990
0151c440,8,0,406909820554020
00905207,8,0,233397670031190
38286002,8,0,233207101874124
05182025,8,0,65338799453550
28284409,8,0,516534986395638
019c4104,8,0,466163534527740
0480444b,8,0,1024337515698
0146600c,8,0,39108961166184
2039a001,8,0,41704845268590
02d05480,8,0,323691746644980
00785804,8,0,147756900417840
24894404,8,0,1482859170905490
05186101,8,0,539532700664580
27520008,8,0,80486744069088
0111500b,8,0,463545164910618
05156400,8,0,764232792838830
14887100,8,0,235480296949884
27710000,8,0,847618224488280
303c1002,8,0,1078762621691664
22c81408,8,0,1056946641005808
22a8c020,8,0,52371553744440
24519800,8,0,1221859987740
23403202,8,0,519049882231020
15244048,8,0,59654747558952
04385500,8,0,427492998652860
