bit,label,failure_degree,active_degree,gcd_label_50,gcd_label_589
0,8,5662,370,2,1
1,10,2934,277,10,1
2,15,3175,282,5,1
3,16,3179,307,2,1
4,20,1564,147,10,1
5,30,1903,110,10,1
6,40,1494,185,10,1
7,42,2656,269,2,1
8,60,2113,144,10,1
9,63,3100,279,1,1
10,80,11026,538,10,1
11,84,2292,195,2,1
12,85,5058,511,5,1
13,88,4449,527,2,1
14,95,18671,700,5,19
15,120,4503,330,10,1
16,126,3706,219,2,1
17,132,3018,206,2,1
18,143,10275,442,1,1
19,145,12176,629,5,1
20,168,9544,581,2,1
21,170,2959,357,10,1
22,176,5321,402,2,1
23,190,3465,376,10,19
24,193,18801,801,1,1
25,240,10890,449,10,1
26,252,7596,447,2,1
27,264,2358,165,2,1
28,286,6254,385,2,1
29,290,10083,605,10,1
