step,phase,mask_hex,rank,newly_covered,total_covered,residual
1,packing_seed,24811216,9,856,856,18278
2,packing_seed,08a21059,9,2601,3457,15677
3,packing_seed,1a128888,9,706,4163,14971
4,packing_seed,10a410d2,9,1096,5259,13875
5,packing_seed,28422886,9,1421,6680,12454
6,packing_seed,0031132c,9,1108,7788,11346
7,packing_seed,04e12242,9,1194,8982,10152
8,packing_seed,006095d0,9,783,9765,9369
9,packing_seed,0040a559,9,662,10427,8707
10,packing_seed,280a0a92,9,139,10566,8568
11,packing_seed,080a2296,9,915,11481,7653
12,packing_seed,1806aa80,9,437,11918,7216
13,packing_seed,04299124,9,472,12390,6744
14,packing_seed,0a820e81,9,237,12627,6507
15,packing_seed,0090855a,9,365,12992,6142
16,packing_seed,00a0b183,9,577,13569,5565
17,packing_seed,0070003f,9,504,14073,5061
18,packing_seed,04098750,9,176,14249,4885
19,packing_seed,29420a82,9,160,14409,4725
20,greedy,08d20249,9,362,14771,4363
21,greedy,0401023f,9,315,15086,4048
22,greedy,0260a889,9,295,15381,3753
23,greedy,0681a320,9,265,15646,3488
24,greedy,08070a89,9,247,15893,3241
25,greedy,00f03250,9,237,16130,3004
26,greedy,0c038889,9,202,16332,2802
27,greedy,04708924,9,183,16515,2619
28,greedy,26611050,9,174,16689,2445
29,greedy,18028a89,9,161,16850,2284
30,greedy,12140836,9,139,16989,2145
31,greedy,2000303f,9,136,17125,2009
32,greedy,08321825,9,120,17245,1889
33,greedy,06618308,9,119,17364,1770
34,greedy,30c4210a,9,110,17474,1660
35,greedy,10c83016,9,102,17576,1558
36,greedy,28229c40,9,96,17672,1462
37,greedy,0ea22082,9,89,17761,1373
38,greedy,108c0586,9,78,17839,1295
39,greedy,0c530888,9,76,17915,1219
40,greedy,02500d58,9,68,17983,1151
41,greedy,0c21122c,9,67,18050,1084
42,greedy,0ab28042,9,62,18112,1022
43,greedy,0a624049,9,54,18166,968
44,greedy,0441a324,9,53,18219,915
45,greedy,08322a81,9,50,18269,865
46,greedy,30540416,9,48,18317,817
47,greedy,00aaa442,9,47,18364,770
48,greedy,02d09908,9,46,18410,724
49,greedy,21808127,9,41,18451,683
50,greedy,3e060880,9,41,18492,642
51,greedy,190a0a82,9,39,18531,603
52,greedy,22802616,9,37,18568,566
53,greedy,300420d9,9,36,18604,530
54,greedy,00b8212c,9,32,18636,498
55,greedy,04510925,9,32,18668,466
56,greedy,0a46c880,9,32,18700,434
57,greedy,09822ac0,9,31,18731,403
58,greedy,048b2089,9,26,18757,377
59,greedy,0c8306c0,9,24,18781,353
60,greedy,38860608,9,24,18805,329
61,greedy,08623212,9,22,18827,307
62,greedy,2c4b0880,9,22,18849,285
63,greedy,00d8812c,9,20,18869,265
64,greedy,034089a4,9,18,18887,247
65,greedy,1282b082,9,18,18905,229
66,greedy,24b0012c,9,17,18922,212
67,greedy,0802403f,9,16,18938,196
68,greedy,0a606890,9,16,18954,180
69,greedy,08c88cc0,9,14,18968,166
70,greedy,0ac11c08,9,14,18982,152
71,greedy,1084a125,9,13,18995,139
72,greedy,26210216,9,12,19007,127
73,greedy,38241068,9,12,19019,115
74,greedy,0288c132,9,9,19028,106
75,greedy,10d48128,9,9,19037,97
76,greedy,04414750,9,8,19045,89
77,greedy,2014b016,9,8,19053,81
78,greedy,00ec1092,9,7,19060,74
79,greedy,03a01164,9,7,19067,67
80,greedy,086260c2,9,7,19074,60
81,greedy,12452a80,9,7,19081,53
82,greedy,06019324,9,6,19087,47
83,greedy,12982a02,9,6,19093,41
84,greedy,0c8e2880,9,5,19098,36
85,greedy,1382008b,9,5,19103,31
86,greedy,24048329,9,5,19108,26
87,greedy,2a421c04,9,5,19113,21
88,greedy,2110832c,9,4,19117,17
89,greedy,0220641e,9,3,19120,14
90,greedy,04923083,9,3,19123,11
91,greedy,2008329c,9,3,19126,8
92,greedy,001ac213,9,2,19128,6
93,greedy,01809552,9,2,19130,4
94,greedy,030a0296,9,2,19132,2
95,greedy,0421b124,9,2,19134,0
