q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
72,590,3903,c841e3c50cfd72d7,419,3484,24,dbf21061185e8925,5,86,0,cbf29ce484222325
72,591,3857,8c60c6eb98fbd92a,415,3442,80,dae1ac794acdc430,5,116,0,cbf29ce484222325
94,592,3920,ccfc6310d63f1ad7,419,3501,25,af2f73d3360e96ab,9,77,0,cbf29ce484222325
96,590,3335,40b1970e917675a1,346,2989,5367,5d4760fd628d0118,2,227,0,cbf29ce484222325
96,591,3266,a1ab9401e91e9d6e,334,2932,7302,f10cc14234f328,2,250,0,cbf29ce484222325
96,592,2760,45fb822f2e8cc192,258,2502,53145,3c1543715a8168d0,1,226,0,cbf29ce484222325
96,593,3022,1ca4df545d049ffd,296,2726,19787,e1d40e269faad269,1,237,0,cbf29ce484222325
96,594,3089,656312d777e14a5b,311,2778,11709,4f4bdf84ad1e25d5,1,245,0,cbf29ce484222325
96,595,2497,41e5a6592718635,228,2269,110889,c995d9284deb5c41,1,220,0,cbf29ce484222325
96,596,3555,8347590a0e0e3581,373,3182,1521,84b8fe893623760f,3,243,0,cbf29ce484222325
96,597,3515,9aeda07601fe86d4,365,3150,2676,468c9a1ecd837ad9,3,209,0,cbf29ce484222325
96,598,3706,3aab009d785f6a7f,398,3308,393,8957ead9d754b759,5,162,0,cbf29ce484222325
96,599,3213,c738e7c5af16e46,324,2889,9879,159c396e5fa91046,1,224,0,cbf29ce484222325
96,600,3716,56365c062e145253,385,3331,671,c3fd103e71b62cf6,3,206,0,cbf29ce484222325
100,590,3574,17e2c9d471171188,345,3229,6569,5d2780915056c89b,1,223,0,cbf29ce484222325
100,591,3561,1b42352fdbf1249f,350,3211,4285,d91887554178f8e2,3,208,0,cbf29ce484222325
100,592,2853,53f7bde22b07d727,278,2575,46236,8dede34b1427623b,1,235,0,cbf29ce484222325
100,593,3493,db4dc2ab04f2ca50,336,3157,8125,33d9876839860bcf,2,221,0,cbf29ce484222325
100,594,3541,b5ad44dfdabae800,333,3208,7251,7a815d1c7906374,2,237,0,cbf29ce484222325
100,595,2811,c7f0871d9774e07d,248,2563,109048,8efa8be4055e0940,1,283,0,cbf29ce484222325
100,596,3781,428ef2b015d76fb7,382,3399,1045,574cab0b45ac2159,3,232,0,cbf29ce484222325
100,597,3737,b89d9658f9e02b34,365,3372,2551,a7848e96f1847112,3,231,0,cbf29ce484222325
100,598,3790,969b98508d11158a,379,3411,1083,affe53d610cfb34,3,231,0,cbf29ce484222325
100,599,3600,edddf917ab84405d,343,3257,7010,7166d6cc816667d7,2,241,0,cbf29ce484222325
100,600,3902,96795c9a76a70bb7,405,3497,252,aaabdf4c69eaa7a4,4,149,0,cbf29ce484222325
100,601,3806,dd14ad4c6ff49255,370,3436,1993,fa0caf786245397a,3,234,0,cbf29ce484222325
100,602,3119,c3952815b6cc8cd0,283,2836,34693,a217e830117942ba,1,249,0,cbf29ce484222325
100,603,3773,5800c351731f080a,364,3409,2696,b1ce7b390481be6a,3,247,0,cbf29ce484222325
100,604,3670,ac89559fe7913f88,354,3316,3449,a2e38ef5cd27cdcf,3,221,0,cbf29ce484222325
100,605,3301,9f8fa82d122cb75,320,2981,13491,6805624f29b7478f,1,229,0,cbf29ce484222325
100,606,3743,ead257c0ef4beaf9,356,3387,3031,7c298114d19c77cd,3,240,0,cbf29ce484222325
100,607,3704,c1b15c75c7ec6174,353,3351,4869,4d36563e216963e6,3,231,0,cbf29ce484222325
100,608,3740,850aeaf6e24dd894,357,3383,3616,7774f7acf3a865ee,2,231,0,cbf29ce484222325
100,609,3788,14395057f574f721,375,3413,1823,501cabef4f49993d,3,227,0,cbf29ce484222325
100,610,3895,e7bb3e74b358cc95,412,3483,98,673d38b67457c79b,5,233,0,cbf29ce484222325
100,611,3756,75e56dfc81b40d2b,365,3391,2755,7e1534b55e30a663,3,239,0,cbf29ce484222325
100,612,3669,b61090be0106420d,359,3310,3687,cb0703c84a9ece78,3,229,0,cbf29ce484222325
100,613,3817,f41934ef1b247736,378,3439,1542,3a5f4b1610d9f1d9,3,233,0,cbf29ce484222325
100,614,3514,bba1e9d836bcf100,337,3177,8380,d6d211d398cc8f44,2,229,0,cbf29ce484222325
