mask_hex,rank,private_obligations,private_rows
00108576,9,25,6
0010c574,9,4,1
0014b08c,8,1,1
0018c456,9,2,2
00283059,8,3,2
003884c8,8,2,1
00418a89,8,3,3
0041c325,9,12,3
004c3216,9,3,3
0050c125,8,9,3
00543007,8,1,1
0054892c,9,19,3
00619324,9,18,6
0062812d,9,4,2
00762480,8,1,1
007c0403,8,1,1
0080aec1,9,7,3
0084c4c4,8,1,1
0088c724,9,12,1
0090c1a4,8,1,1
009886c0,8,1,1
00b0832c,9,12,6
00c045d4,9,18,6
00c26288,8,1,1
00c49550,9,4,2
00c84489,8,5,3
00d85220,8,1,1
00e12642,9,13,4
00f84108,8,1,1
0100813f,9,2,2
0114a083,8,3,1
0124003f,9,6,2
0124a12c,9,2,2
01283203,8,2,2
013a2081,8,2,2
01415448,8,2,2
0142c809,8,3,1
0146100d,8,4,1
01486881,8,1,1
01609124,8,3,2
01611640,8,2,1
01690602,8,3,2
01692210,8,2,1
01790204,8,2,1
01827220,8,1,1
018ad240,9,5,1
01d09204,8,3,2
0200813f,9,13,4
02008751,8,19,7
0200e6c0,8,1,1
02066406,8,1,1
0208f0c0,8,2,1
020a440d,8,1,1
02183c04,8,3,2
021c1481,8,1,1
021ca880,8,1,1
02203226,8,2,1
0228832c,9,10,5
02408327,9,12,4
02492209,8,1,1
02507084,8,1,1
0250812c,8,10,5
02541409,8,3,3
02566080,8,2,2
02710e02,9,8,4
02741808,8,4,2
02882682,8,3,2
029c2404,8,2,2
02a08325,9,21,7
02ac0409,8,4,1
02ac2081,8,3,2
02b20481,8,1,1
02c18c08,8,1,1
02c32282,9,1,1
02c8b008,8,1,1
030cb800,8,1,1
0340a098,8,1,1
03462880,8,1,1
03c8a001,8,1,1
03e81001,8,1,1
040ca4c0,8,1,1
04182681,8,1,1
04252409,8,1,1
04346082,8,1,1
0438a801,8,1,1
044512c0,8,1,1
04471081,8,1,1
04612216,9,6,2
046d1020,8,1,1
04744041,8,1,1
04818325,9,15,4
0601a281,8,2,1
06414448,8,1,1
06610049,8,1,1
06780011,8,1,1
0700c083,8,1,1
0802023f,9,6,2
0802209f,9,17,4
0802ac49,9,1,1
0806c283,9,4,3
080a5188,8,3,1
080a9a81,9,15,2
080e8281,8,1,1
08123888,8,1,1
08182509,8,1,1
