mask_hex,rank,active_rows480,active_rows493
06021829,8,422,431
23222801,8,423,431
12444083,8,421,432
20827018,8,424,432
29c04082,8,424,433
02916180,8,426,434
13c00881,8,426,434
070c4840,8,428,434
2380408a,8,429,434
07888090,8,425,435
0e20a802,8,427,435
22cb4000,8,427,435
25429040,8,424,436
32606100,8,425,436
11023882,8,426,436
2e180104,8,426,436
03242c20,8,427,436
06840485,8,428,436
0404e016,8,425,437
0120007f,9,425,437
0144a8a0,8,426,437
1044680a,8,426,437
140c820a,8,426,437
3b010401,8,426,437
091038a0,8,427,437
0a245104,8,427,437
12140588,8,427,437
12c62800,8,427,437
16508050,8,427,437
21ac000a,8,427,437
248c0106,8,427,437
021a20c1,8,428,437
06b02005,8,428,437
0e228028,8,428,437
0e62000c,8,428,437
13a0800a,8,428,437
07800426,8,430,437
00c4c124,8,427,438
040ec005,8,427,438
13219020,8,427,438
24a8a040,8,427,438
2520401a,8,427,438
0304c105,8,428,438
0e220c20,8,429,438
10842582,8,427,439
20a03428,8,427,439
24940188,8,427,439
0d120025,8,428,439
2208508c,8,428,439
32c10600,8,428,439
34c40880,8,428,439
02672400,8,429,439
0343c001,8,429,439
0a6810c0,8,429,439
0c845820,8,429,439
13620081,8,429,439
160440c2,8,429,439
23001c21,8,429,439
2c081284,8,429,439
0a09a480,8,430,439
06b02018,8,431,439
0480d244,8,428,440
04949210,8,428,440
0918a011,8,428,440
14188882,8,428,440
15c01060,8,428,440
1c841900,8,428,440
05122414,8,429,440
0822044b,8,429,440
180a8281,8,429,440
200062a9,8,429,440
2052008b,8,429,440
240e0092,8,429,440
34a02108,8,429,440
0306a006,8,430,440
0e141090,8,430,440
0220ac09,8,431,440
03a42102,8,431,440
02823288,8,432,440
010d8281,8,428,441
24188920,8,428,441
00b1b080,8,429,441
0300dd00,8,429,441
061c8014,8,429,441
13300091,8,429,441
1482d800,8,429,441
206c1041,8,429,441
0240812d,8,430,441
040242a9,8,430,441
0500b190,8,430,441
190a4048,8,430,441
1e300240,8,430,441
22046418,8,430,441
24803085,8,430,441
0582aa00,8,431,441
06810606,8,431,441
0a164028,8,431,441
0e003620,8,431,441
0e602420,8,431,441
38520048,8,431,441
01154281,8,429,442
040d6500,8,430,442
0412e402,8,430,442
06a10604,8,430,442
08d04484,8,430,442
09844450,8,430,442
214c2060,8,430,442
29334000,8,430,442
01845091,8,431,442
0301d003,8,431,442
12601484,8,431,442
1450c420,8,431,442
22824421,8,431,442
240e4880,8,431,442
2a330001,8,431,442
20c02c88,8,432,442
26420482,8,432,442
298d0200,8,432,442
0e484081,8,433,442
14982022,8,433,442
04d08a08,8,430,443
05041305,8,430,443
0090d302,8,431,443
009c040d,8,431,443
0159a020,8,431,443
01c0d102,8,431,443
03629010,8,431,443
10486203,8,431,443
150b1002,8,431,443
20190407,8,431,443
286d1000,8,431,443
36100086,8,431,443
00965012,8,432,443
02a2d004,8,432,443
02c17100,8,432,443
0468840c,8,432,443
24884094,8,432,443
261008a8,8,432,443
2a043401,8,432,443
3004480b,8,432,443
31862100,8,432,443
0b201043,8,433,443
0388c804,8,434,443
009ad100,8,431,444
06110701,8,431,444
34061210,8,431,444
04388181,8,432,444
09186012,8,432,444
1014c08a,8,432,444
109c2021,8,432,444
11982021,8,432,444
18253002,8,432,444
28446201,8,432,444
05802c03,8,433,444
0a4b3000,8,433,444
220a5081,8,433,444
221c0282,8,433,444
22405601,8,433,444
24564040,8,433,444
2ca20500,8,433,444
2cd02100,8,433,444
3404801a,8,433,444
3c100811,8,433,444
0b320804,8,434,444
0cca000a,8,434,444
20349084,8,432,445
00587810,8,433,445
010c6424,8,433,445
01504c21,8,433,445
0409d300,8,433,445
044450c1,8,433,445
04a4c280,8,433,445
04c13420,8,433,445
0908c809,8,433,445
11246840,8,433,445
11283030,8,433,445
1441a082,8,433,445
24514050,8,433,445
29088e00,8,433,445
01923220,8,434,445
04027406,8,434,445
04122618,8,434,445
070180c1,8,434,445
0810dc08,8,434,445
13200603,8,434,445
14462044,8,434,445
1844a440,8,434,445
04826504,8,435,445
05441124,8,435,445
20826091,8,435,445
02606290,8,436,445
0a12a802,8,436,445
16504120,8,437,445
00789204,8,433,446
0ca8c020,8,433,446
0104208f,8,434,446
02629201,8,434,446
04509a10,8,434,446
0a2c9002,8,434,446
1004a40b,8,434,446
100c5490,8,434,446
10145602,8,434,446
12066202,8,434,446
12915040,8,434,446
21360500,8,434,446
24154012,8,434,446
2c08a410,8,434,446
314802c0,8,434,446
05488580,8,435,446
0812428c,8,435,446
084a0a81,8,435,446
0c844103,8,435,446
124c4005,8,435,446
14590410,8,435,446
1480401d,8,435,446
19240418,8,435,446
20026429,8,435,446
2119c040,8,435,446
24085380,8,435,446
3c020c80,8,435,446
0d022184,8,436,446
15860018,8,436,446
2e060108,8,436,446
0210a486,8,437,446
0a264808,8,437,446
1250a0a0,8,437,446
260b0a00,8,437,446
10a41490,8,434,447
003d2600,8,435,447
00584283,8,435,447
05809121,8,435,447
0846600a,8,435,447
20185301,8,435,447
202c2109,8,435,447
20c44540,8,435,447
21142442,8,435,447
0c982900,8,436,447
12306022,8,436,447
186420c0,8,436,447
21016c80,8,436,447
048a6104,8,437,447
14062094,8,437,447
03862208,8,438,447
0a02ec00,8,438,447
281d9000,8,435,448
01168c08,8,436,448
019c1018,8,436,448
08028e09,8,436,448
093044c0,8,436,448
0941d400,8,436,448
18542900,8,436,448
29601028,8,436,448
3408c0c0,8,436,448
02548181,8,437,448
02a0150c,8,437,448
06322042,8,437,448
06632100,8,437,448
090e0284,8,437,448
1c80400e,8,437,448
2206e004,8,437,448
2812401a,8,437,448
32144090,8,437,448
0402f048,8,438,448
0486300c,8,438,448
0f208140,8,438,448
04c020c9,8,439,448
0a047804,8,439,448
20ce4200,8,440,448
04113007,8,436,449
21265004,8,436,449
28381011,8,436,449
000e8609,8,437,449
014c6102,8,437,449
06014e01,8,437,449
08120e88,8,437,449
0c4a2003,8,437,449
10843809,8,437,449
14288441,8,437,449
14413420,8,437,449
15001286,8,437,449
2061b080,8,437,449
21c804a0,8,437,449
2410282c,8,437,449
31282021,8,437,449
0012e608,8,438,449
091aa010,8,438,449
0c04400f,8,438,449
1a065002,8,438,449
1a454008,8,438,449
1d042102,8,438,449
2014c40c,8,438,449
30470408,8,438,449
0092510a,8,439,449
013a2044,8,439,449
0300850d,8,439,449
06203904,8,439,449
07428084,8,439,449
0a308405,8,439,449
0e00480b,8,439,449
12a94002,8,439,449
26060484,8,439,449
3184100c,8,439,449
028cb004,8,440,449
2404b300,8,437,450
34005105,8,437,450
0580c510,8,438,450
081cc808,8,438,450
1006a08c,8,438,450
1540110a,8,438,450
2048244a,8,438,450
24103015,8,438,450
25110242,8,438,450
310a2042,8,438,450
34124300,8,438,450
030884a1,8,439,450
0b40a810,8,439,450
1054101c,8,439,450
11c1c004,8,439,450
15002883,8,439,450
205f4000,8,439,450
20a81016,8,439,450
254808a0,8,439,450
29894008,8,439,450
30472400,8,439,450
31e24000,8,439,450
35020490,8,439,450
2980a081,8,440,450
29880206,8,440,450
2a025280,8,440,450
070c4180,8,443,450
04005a0b,8,438,451
0419048c,8,438,451
04621181,8,438,451
04c98240,8,438,451
20d88041,8,438,451
04410e81,8,439,451
0c3a0012,8,439,451
11066041,8,439,451
16085180,8,439,451
180c440a,8,439,451
2108121a,8,439,451
24940406,8,439,451
3a242200,8,439,451
01028c49,8,440,451
014a0419,8,440,451
02a01618,8,440,451
11662020,8,440,451
18520288,8,440,451
21096102,8,440,451
31002648,8,440,451
31444108,8,440,451
0a188803,8,441,451
0d424840,8,441,451
3282c008,8,442,451
0090450d,8,439,452
02305811,8,439,452
05010549,8,439,452
14219011,8,439,452
0059a801,8,440,452
01742140,8,440,452
01805426,8,440,452
02187021,8,440,452
040a3a08,8,440,452
0504e802,8,440,452
083a008c,8,440,452
0c1610c0,8,440,452
0d4010a1,8,440,452
180c1c08,8,440,452
1c005c01,8,440,452
24893040,8,440,452
021c1490,8,441,452
04524828,8,441,452
05622804,8,441,452
06a02e00,8,441,452
10864029,8,441,452
18222680,8,441,452
18836008,8,441,452
1c0c0818,8,441,452
30644081,8,441,452
38450408,8,441,452
00d060c4,8,442,452
02c26204,8,442,452
038e0402,8,442,452
1e500011,8,442,452
2ee00040,8,442,452
03043224,8,443,452
0a0e4c00,8,443,452
00705092,8,440,453
00b94600,8,440,453
03048650,8,440,453
0c121241,8,440,453
11b11800,8,440,453
01140709,8,441,453
014d6100,8,441,453
04c06160,8,441,453
09446048,8,441,453
09502610,8,441,453
0a904450,8,441,453
11909018,8,441,453
20486211,8,441,453
244c1240,8,441,453
2e300280,8,441,453
300cc018,8,441,453
308822c0,8,441,453
3900c088,8,441,453
00b86044,8,442,453
00e33080,8,442,453
02507048,8,442,453
044430a4,8,442,453
0e201106,8,442,453
16214081,8,442,453
21462c00,8,442,453
30441029,8,442,453
39402440,8,442,453
035c0810,8,443,453
0b11a002,8,443,453
17400308,8,443,453
2a08208c,8,443,453
0b82c004,8,445,453
003a180a,8,441,454
043a2012,8,441,454
05058881,8,441,454
15011310,8,441,454
15290028,8,441,454
1a209003,8,441,454
042b1082,8,442,454
044c5104,8,442,454
04b12500,8,442,454
05043821,8,442,454
06281114,8,442,454
080a2449,8,442,454
0b051401,8,442,454
10c43401,8,442,454
14830680,8,442,454
19628008,8,442,454
26221140,8,442,454
30904510,8,442,454
204804c9,8,443,454
21888206,8,443,454
2c026500,8,443,454
35024180,8,443,454
02682580,8,444,454
34108442,8,444,454
36c00048,8,444,454
019a0482,8,442,455
05a80019,8,442,455
083c1280,8,442,455
102b3200,8,442,455
10301207,8,442,455
24099410,8,442,455
24241188,8,442,455
242c8500,8,442,455
30580888,8,442,455
04116848,8,443,455
04211360,8,443,455
04292290,8,443,455
04641260,8,443,455
046a1024,8,443,455
093e0004,8,443,455
0c492180,8,443,455
10846520,8,443,455
2105a600,8,443,455
23018460,8,443,455
03560101,8,444,455
06126204,8,444,455
06292220,8,444,455
09e22800,8,444,455
1012400f,8,444,455
1405022c,8,444,455
14644110,8,444,455
15412102,8,444,455
16000629,8,444,455
1c884840,8,444,455
20d40488,8,444,455
21200709,8,444,455
21cc0240,8,444,455
2898008a,8,444,455
