step,mask_hex,rank,newly_covered,total_covered,w0,w1
1,0a0a4416,9,29,29,734c1000000ba000,00000000d8003f6d
2,01a04964,9,23,52,0000e683d8600016,0000000803e00000
3,00436096,9,14,66,c02000c40c900180,00000000011b0010
4,122c0816,9,10,76,3f8e67000001fc00,00000000000001c0
5,0140c925,9,8,84,0010004005800280,000000070000c000
6,00855324,9,4,88,0001003002000000,0000000000000000
7,0b220096,9,4,92,00026704280001cd,0000000001600000
8,0028203f,9,3,95,0010000000000000,00000001201c0003
9,02c0912c,9,3,98,0000080800000000,0000000004000000
10,0241c324,9,2,100,0002000000066020,0000000000002000
