q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
72,590,3904,52461bb8c9d2da0c,419,3485,24,dbf21061185e8925,5,86,0,cbf29ce484222325
96,590,3329,9ef607da3ac7007d,346,2983,5367,5d4760fd628d0118,2,227,0,cbf29ce484222325
100,590,3567,1dfaf4c49441574d,345,3222,6569,5d2780915056c89b,1,223,0,cbf29ce484222325
105,590,3571,457f86a5b5faee45,341,3230,8221,1e22c2c20cc4e82e,1,241,0,cbf29ce484222325
186,590,3893,f190d76eecb7b471,411,3482,161,14bc54d6cdca22a9,4,161,0,cbf29ce484222325
192,590,3852,75d4c46a8d0f9e6b,407,3445,270,82d80bb9ef06538,5,145,0,cbf29ce484222325
208,590,3921,67256321c0947dc6,417,3504,49,608fae760ffdbb1d,9,130,0,cbf29ce484222325
210,590,2676,fee147923414a000,238,2438,132783,6e94beae86cc99a1,1,238,100,552c486b306c6db5
256,590,3826,cf34dcd15a364b23,416,3410,43,3a19eded326f57f7,8,155,0,cbf29ce484222325
260,590,3845,773cbd829dd797bd,398,3447,471,c0f410d09c556dcb,3,215,0,cbf29ce484222325
294,590,3914,82b161e4b3e36b2e,418,3496,28,dcda790b1c778477,13,144,0,cbf29ce484222325
416,590,3923,4da936f2c21b2cca,419,3504,23,bc7a4775bc5431e0,9,130,0,cbf29ce484222325
420,590,3923,ce5ba0fe788916a9,420,3503,14,9d98f9e470ee6d1b,12,131,0,cbf29ce484222325
