ordinal,body_hex,layer,dual_weight
0,0019f401,dual,1
5,04983481,satellite,0
9,049e1600,dual,1
12,0510f088,dual,1
14,05903488,dual,1
18,05b02488,satellite,0
20,05b88208,dual,1
22,06581601,dual,1
24,069c3008,dual,1
25,0730a088,dual,1
29,1418d208,dual,1
32,14589081,dual,1
35,15286c00,dual,2
37,153a8080,dual,1
38,16981208,satellite,0
40,24107409,dual,1
43,24344481,dual,1
47,24589088,satellite,0
48,2470a401,satellite,0
53,24b01601,satellite,0
55,2500b608,satellite,0
57,25103248,satellite,0
63,25141608,satellite,0
65,25161600,satellite,0
68,25301608,satellite,0
71,25503408,satellite,0
73,25609088,dual,1
76,25b00288,dual,1
77,25b02081,satellite,0
79,26b41080,satellite,0
80,27101241,dual,1
83,2d141600,dual,1
84,2f101600,satellite,0
88,34181601,satellite,0
89,34199080,satellite,0
90,34306600,satellite,0
94,35209088,satellite,0
95,35a09080,dual,1
96,36911080,satellite,0
97,36981080,dual,1
99,3c10b400,dual,1
