trace_w0,trace_w1,weight,full_signature_preimages,maximal
0000000000000001,0000000000000000,1,49,0
0000000000000020,0000000000000000,1,84,0
0000000000000021,0000000000000000,2,27,0
0000000000000200,0000000000000000,1,131,0
0000000000000201,0000000000000000,2,13,0
0000000000000220,0000000000000000,2,32,0
0000000000000221,0000000000000000,3,5,1
0000000000001000,0000000000000000,1,91,0
0000000000001001,0000000000000000,2,4,1
0000000000004000,0000000000000000,1,50,0
0000000000004020,0000000000000000,2,25,0
0000000000004200,0000000000000000,2,4,0
0000000000004220,0000000000000000,3,5,0
0000000000005000,0000000000000000,2,7,0
0000000000005020,0000000000000000,3,1,0
0000000000040000,0000000000000000,1,5,0
0000000000044000,0000000000000000,2,14,0
0000000000044020,0000000000000000,3,5,0
0000000000044200,0000000000000000,3,1,1
0000000000045000,0000000000000000,3,4,0
0000000000100000,0000000000000000,1,51,0
0000000000100200,0000000000000000,2,14,0
0000000000140000,0000000000000000,2,3,0
0000000000144000,0000000000000000,3,1,0
0000000000144020,0000000000000000,4,1,1
0000000000400000,0000000000000000,1,77,0
0000000000400001,0000000000000000,2,10,0
0000000000400020,0000000000000000,2,16,0
0000000000400021,0000000000000000,3,2,1
0000000000400200,0000000000000000,2,15,0
0000000000400220,0000000000000000,3,2,0
0000000000500000,0000000000000000,2,3,0
0000000001000000,0000000000000000,1,59,0
0000000001000001,0000000000000000,2,2,0
0000000001000020,0000000000000000,2,5,0
0000000001000200,0000000000000000,2,16,0
0000000001000220,0000000000000000,3,3,0
0000000001004000,0000000000000000,2,3,0
0000000001004020,0000000000000000,3,2,0
0000000001044000,0000000000000000,3,1,0
0000000001044020,0000000000000000,4,1,1
0000000001400000,0000000000000000,2,4,0
0000000001400001,0000000000000000,3,1,1
0000000001400200,0000000000000000,3,4,0
0000000002000000,0000000000000000,1,52,0
0000000002001000,0000000000000000,2,9,0
0000000002040000,0000000000000000,2,4,0
0000000002044000,0000000000000000,3,5,0
0000000002044020,0000000000000000,4,1,1
0000000002045000,0000000000000000,4,4,1
0000000002100000,0000000000000000,2,3,0
0000000002140000,0000000000000000,3,2,0
0000000002144000,0000000000000000,4,1,1
0000000002400000,0000000000000000,2,2,0
0000000003000000,0000000000000000,2,2,0
0000000003044000,0000000000000000,4,1,1
0000000020000000,0000000000000000,1,96,0
0000000020000001,0000000000000000,2,13,0
0000000020000200,0000000000000000,2,18,0
0000000020000201,0000000000000000,3,1,1
0000000020001000,0000000000000000,2,8,0
0000000020100000,0000000000000000,2,15,0
0000000020100200,0000000000000000,3,2,1
0000000020400000,0000000000000000,2,7,0
0000000100000000,0000000000000000,1,107,0
0000000100000001,0000000000000000,2,5,0
0000000100000020,0000000000000000,2,14,0
0000000100000021,0000000000000000,3,2,0
0000000100000200,0000000000000000,2,6,0
0000000100000220,0000000000000000,3,1,1
0000000100001000,0000000000000000,2,5,0
0000000100100000,0000000000000000,2,2,1
0000000100400000,0000000000000000,2,39,0
0000000100400020,0000000000000000,3,1,0
0000000101000000,0000000000000000,2,1,0
0000000101000020,0000000000000000,3,2,0
0000000102000000,0000000000000000,2,2,0
0000000120000000,0000000000000000,2,22,0
0000000120000001,0000000000000000,3,1,1
0000000120001000,0000000000000000,3,4,0
0000000800000000,0000000000000000,1,11,0
0000000800000020,0000000000000000,2,1,1
0000000800000200,0000000000000000,2,1,1
0000000800040000,0000000000000000,2,2,0
0000000800044000,0000000000000000,3,1,1
0000000801000000,0000000000000000,2,1,1
0000002000000000,0000000000000000,1,80,0
0000002000000200,0000000000000000,2,1,1
0000002000040000,0000000000000000,2,2,0
0000002000100000,0000000000000000,2,4,0
0000002000140000,0000000000000000,3,1,1
0000002002000000,0000000000000000,2,13,0
0000002002040000,0000000000000000,3,1,1
0000002100000000,0000000000000000,2,33,0
0000002100400000,0000000000000000,3,7,1
0000002102000000,0000000000000000,3,2,1
0000002800000000,0000000000000000,2,2,1
0000004000000000,0000000000000000,1,48,0
0000004000000200,0000000000000000,2,14,0
0000004000100000,0000000000000000,2,15,0
0000004000100200,0000000000000000,3,4,0
0000004000400000,0000000000000000,2,13,0
0000004000400020,0000000000000000,3,1,0
0000004000400200,0000000000000000,3,6,0
0000004000500000,0000000000000000,3,4,0
0000004001000000,0000000000000000,2,13,0
0000004001000200,0000000000000000,3,11,0
0000004001000220,0000000000000000,4,1,0
0000004001400000,0000000000000000,3,3,0
0000004001400200,0000000000000000,4,1,0
0000004001400220,0000000000000000,5,1,1
0000004020000000,0000000000000000,2,32,0
0000004020000200,0000000000000000,3,8,0
0000004020100000,0000000000000000,3,9,0
0000004020400000,0000000000000000,3,7,0
0000004021000000,0000000000000000,3,4,0
0000004021000200,0000000000000000,4,3,1
0000004100000000,0000000000000000,2,3,0
0000004100400000,0000000000000000,3,3,0
0000004101000000,0000000000000000,3,1,0
0000004101400020,0000000000000000,5,1,1
0000010000000000,0000000000000000,1,97,0
0000010000000001,0000000000000000,2,23,0
0000010000000020,0000000000000000,2,5,0
0000010000000021,0000000000000000,3,2,0
0000010000000200,0000000000000000,2,4,0
0000010000000220,0000000000000000,3,2,0
0000010000001000,0000000000000000,2,10,0
0000010000004000,0000000000000000,2,7,0
0000010000004020,0000000000000000,3,5,0
0000010000005000,0000000000000000,3,3,0
0000010000005020,0000000000000000,4,1,1
0000010000400000,0000000000000000,2,3,0
0000010000400001,0000000000000000,3,2,1
0000010001000000,0000000000000000,2,5,0
0000010001000001,0000000000000000,3,4,1
0000010001000020,0000000000000000,3,1,0
0000010001000200,0000000000000000,3,2,1
0000080000000000,0000000000000000,1,41,0
0000080000000001,0000000000000000,2,3,0
0000080000000020,0000000000000000,2,3,0
0000080000000021,0000000000000000,3,1,0
0000080002000000,0000000000000000,2,1,1
0000080100000000,0000000000000000,2,1,0
0000080800000000,0000000000000000,2,1,0
0000082000000000,0000000000000000,2,2,0
0000090000000000,0000000000000000,2,10,0
0000090000000020,0000000000000000,3,1,0
0000800000000000,0000000000000000,1,193,0
0000800000000020,0000000000000000,2,6,0
0000800000000200,0000000000000000,2,3,1
0000800000001000,0000000000000000,2,17,0
0000800000400000,0000000000000000,2,11,0
0000800000400020,0000000000000000,3,1,1
0000800001000000,0000000000000000,2,5,0
0000800020000000,0000000000000000,2,9,0
0000800100000000,0000000000000000,2,61,0
0000800100000020,0000000000000000,3,1,0
0000800100001000,0000000000000000,3,2,0
0000800120000000,0000000000000000,3,10,0
0000800120001000,0000000000000000,4,1,1
0000810000000000,0000000000000000,2,2,0
0000810000000001,0000000000000000,3,2,0
0000810000000020,0000000000000000,3,2,0
0000810000000021,0000000000000000,4,2,0
0000810100000000,0000000000000000,3,1,0
0000810100000020,0000000000000000,4,1,0
0000880000000000,0000000000000000,2,3,0
0001000000000000,0000000000000000,1,103,0
0001000000000001,0000000000000000,2,4,0
0001000000000020,0000000000000000,2,4,0
0001000000000021,0000000000000000,3,1,0
0001000000100000,0000000000000000,2,1,0
0001000000400000,0000000000000000,2,13,0
0001000000400001,0000000000000000,3,2,0
0001000001000000,0000000000000000,2,3,1
0001000002000000,0000000000000000,2,4,0
0001000100000000,0000000000000000,2,4,0
0001000100000020,0000000000000000,3,1,0
0001000800000000,0000000000000000,2,1,1
0001002000000000,0000000000000000,2,3,0
0001002002000000,0000000000000000,3,1,1
0001010000000000,0000000000000000,2,8,0
0001010000000001,0000000000000000,3,3,0
0001080000000000,0000000000000000,2,11,0
0001080000000001,0000000000000000,3,2,1
0001080000000020,0000000000000000,3,1,1
0001090000000000,0000000000000000,3,2,1
0001800000000000,0000000000000000,2,5,0
0001800000000020,0000000000000000,3,2,0
0001800000400000,0000000000000000,3,2,0
0001800100000000,0000000000000000,3,1,0
0001810000000000,0000000000000000,3,1,0
0001810000000001,0000000000000000,4,1,0
0001810000000021,0000000000000000,5,1,1
0020000000000000,0000000000000000,1,65,0
0020000000000001,0000000000000000,2,1,0
0020000000000020,0000000000000000,2,14,0
0020000000000021,0000000000000000,3,1,0
0020000000000200,0000000000000000,2,25,0
0020000000000220,0000000000000000,3,4,0
0020000000400000,0000000000000000,2,11,0
0020000000400020,0000000000000000,3,2,0
0020000000400200,0000000000000000,3,5,1
0020000001000000,0000000000000000,2,3,0
0020000001000200,0000000000000000,3,2,1
0020000001400000,0000000000000000,3,1,1
0020010000000000,0000000000000000,2,6,0
0020010000000001,0000000000000000,3,1,0
0020010000000020,0000000000000000,3,1,0
0020010000000200,0000000000000000,3,2,1
0020010000400000,0000000000000000,3,1,1
0020010001000000,0000000000000000,3,1,1
0020080000000000,0000000000000000,2,18,0
0020080000000020,0000000000000000,3,3,0
0020080000000200,0000000000000000,3,4,0
0020080000000220,0000000000000000,4,1,1
0020090000000000,0000000000000000,3,1,1
0020800000000000,0000000000000000,2,2,0
0020800000400000,0000000000000000,3,4,1
0021000000000000,0000000000000000,2,12,0
0021000000000001,0000000000000000,3,1,0
0021000000000020,0000000000000000,3,3,0
0021000000000021,0000000000000000,4,1,1
0021000000400000,0000000000000000,3,2,0
0021000000400001,0000000000000000,4,1,1
0021000000400020,0000000000000000,4,2,1
0021010000000000,0000000000000000,3,3,0
0021010000000001,0000000000000000,4,1,1
0021080000000000,0000000000000000,3,1,0
0021800000000020,0000000000000000,4,1,1
0080000000000000,0000000000000000,1,26,0
0080000000001000,0000000000000000,2,1,0
0080000000004000,0000000000000000,2,3,0
0080000800000000,0000000000000000,2,1,1
0080010000000000,0000000000000000,2,2,0
0080010000000001,0000000000000000,3,1,0
0080010000001000,0000000000000000,3,2,0
0200000000000000,0000000000000000,1,118,0
0200000000001000,0000000000000000,2,38,0
0200000000004000,0000000000000000,2,17,0
0200000000004020,0000000000000000,3,2,0
0200000000100000,0000000000000000,2,5,0
0200000002000000,0000000000000000,2,4,0
0200000020000000,0000000000000000,2,4,0
0200000020001000,0000000000000000,3,2,1
0200000020100000,0000000000000000,3,2,1
0200004000000000,0000000000000000,2,1,0
0200010000000000,0000000000000000,2,8,0
0200010000004000,0000000000000000,3,2,0
0200010000004020,0000000000000000,4,2,0
0200800000000000,0000000000000000,2,16,0
0200800000001000,0000000000000000,3,8,1
0200800100000000,0000000000000000,3,2,0
0280000000000000,0000000000000000,2,29,0
0280000000001000,0000000000000000,3,2,0
0280000000004000,0000000000000000,3,7,0
0280000000004020,0000000000000000,4,1,1
0280000000005000,0000000000000000,4,3,0
0280010000000000,0000000000000000,3,5,0
0280010000001000,0000000000000000,4,2,0
0280010000005000,0000000000000000,5,2,0
8000000000000000,0000000000000000,1,78,0
8000000000004000,0000000000000000,2,1,0
8000000000400000,0000000000000000,2,2,0
8000000020000000,0000000000000000,2,5,0
8000004000000000,0000000000000000,2,4,0
8000004020000000,0000000000000000,3,2,0
8000010000000000,0000000000000000,2,2,0
8000800000000000,0000000000000000,2,3,0
8000800000400000,0000000000000000,3,1,0
8080000000000000,0000000000000000,2,13,0
8200000000000000,0000000000000000,2,10,0
8200000000004000,0000000000000000,3,9,0
8200000000004020,0000000000000000,4,2,0
8200010000000000,0000000000000000,3,7,0
8200010000004000,0000000000000000,4,2,0
8280000000000000,0000000000000000,3,18,0
8280000000004000,0000000000000000,4,2,0
8280010000000000,0000000000000000,4,6,0
8280010000001000,0000000000000000,5,1,1
0000000000000000,0000000000000002,1,86,0
0000000000000200,0000000000000002,2,17,0
0000000000000220,0000000000000002,3,1,0
0000000000400000,0000000000000002,2,3,0
0000002000000000,0000000000000002,2,1,1
0000080000000000,0000000000000002,2,1,0
0020000000000000,0000000000000002,2,2,0
0020000000000200,0000000000000002,3,2,0
0020080000000000,0000000000000002,3,1,0
8000000000000000,0000000000000002,2,84,0
8000000000000200,0000000000000002,3,14,0
8000000000004000,0000000000000002,3,1,0
8000000000400000,0000000000000002,3,3,0
8000000020000000,0000000000000002,3,1,0
8000000020000200,0000000000000002,4,2,0
8000004000000200,0000000000000002,4,3,0
8000010000000000,0000000000000002,3,3,0
8000800000000000,0000000000000002,3,4,0
8080000000000000,0000000000000002,3,31,0
8200000000000000,0000000000000002,3,14,0
8200000000000200,0000000000000002,4,3,0
8200000000004000,0000000000000002,4,9,0
8200010000000000,0000000000000002,4,5,0
8200010000004000,0000000000000002,5,2,0
8280000000000000,0000000000000002,4,10,0
8280010000000000,0000000000000002,5,1,0
0000000000000000,0000000000000010,1,62,0
0000000000100000,0000000000000010,2,9,0
0000000000400000,0000000000000010,2,4,0
0000000020000000,0000000000000010,2,3,0
0000000020100000,0000000000000010,3,3,0
0000004000000000,0000000000000010,2,3,0
0000004000100000,0000000000000010,3,4,0
0000004020100000,0000000000000010,4,2,0
0000010000000000,0000000000000010,2,4,0
0020000000000000,0000000000000010,2,3,0
0020000000100000,0000000000000010,3,2,0
0020000000400000,0000000000000010,3,1,0
0020000000500000,0000000000000010,4,1,0
0080000000000000,0000000000000010,2,17,0
0080000002000000,0000000000000010,3,11,0
0200000000000000,0000000000000010,2,15,0
0200004000000000,0000000000000010,3,1,0
0200010000000000,0000000000000010,3,4,0
0220000000000000,0000000000000010,3,2,0
0220010000000000,0000000000000010,4,2,0
0280000000000000,0000000000000010,3,20,0
0280000000100000,0000000000000010,4,2,1
0280000002000000,0000000000000010,4,2,0
02a0000000000000,0000000000000010,4,1,0
8000000000000000,0000000000000010,2,34,0
8000000000100000,0000000000000010,3,9,0
8000000000400000,0000000000000010,3,2,0
8000000020000000,0000000000000010,3,3,0
8000000020100000,0000000000000010,4,2,0
8000004000000000,0000000000000010,3,2,0
8000004000100000,0000000000000010,4,2,0
8000004020100000,0000000000000010,5,2,0
8000080000000000,0000000000000010,3,3,0
8020000000000000,0000000000000010,3,5,0
8020000000100000,0000000000000010,4,6,0
8080000000000000,0000000000000010,3,13,0
8080000002000000,0000000000000010,4,5,0
8200000000000000,0000000000000010,3,9,0
8200000001000000,0000000000000010,4,1,0
8200004001000000,0000000000000010,5,1,1
8200010000000000,0000000000000010,4,1,0
8220000000000000,0000000000000010,4,2,0
8220010000000000,0000000000000010,5,1,1
8280000000000000,0000000000000010,4,6,0
8000000000000000,0000000000000012,3,44,0
8000000000000200,0000000000000012,4,2,0
8000000000100200,0000000000000012,5,4,0
8000000000400000,0000000000000012,4,1,0
8000004000000200,0000000000000012,5,1,0
8000004000100200,0000000000000012,6,1,1
8000080000000000,0000000000000012,4,1,0
8020000000000000,0000000000000012,4,2,0
8020000000000200,0000000000000012,5,1,0
8020000000100200,0000000000000012,6,1,0
8080000000000000,0000000000000012,4,11,0
8080000002000000,0000000000000012,5,3,0
8200000000000000,0000000000000012,4,9,0
8200000000000200,0000000000000012,5,1,0
8200010000000000,0000000000000012,5,1,0
8220000000000000,0000000000000012,5,1,0
0000000000000000,0000000000000080,1,72,0
0000000000001000,0000000000000080,2,5,0
0000000000004000,0000000000000080,2,41,0
0000000000004020,0000000000000080,3,3,0
0000000000005000,0000000000000080,3,4,0
0000000000044000,0000000000000080,3,6,0
0000000000400000,0000000000000080,2,4,0
0000000001000000,0000000000000080,2,6,1
0000000800000000,0000000000000080,2,2,1
0000010000000000,0000000000000080,2,28,0
0000010000000001,0000000000000080,3,3,0
0000010000001000,0000000000000080,3,10,0
0000010000004000,0000000000000080,3,5,0
0000010000004020,0000000000000080,4,1,1
0000010000005000,0000000000000080,4,3,0
0000800000000000,0000000000000080,2,10,0
0000800000004000,0000000000000080,3,1,0
0000800000004020,0000000000000080,4,1,1
0000800100000000,0000000000000080,3,2,0
0001000000000000,0000000000000080,2,8,0
0001010000000000,0000000000000080,3,2,1
0080000000000000,0000000000000080,2,33,0
0080000000001000,0000000000000080,3,1,0
0080000000004000,0000000000000080,3,1,0
0080000000400000,0000000000000080,3,2,0
0080010000000000,0000000000000080,3,2,0
0080800000000000,0000000000000080,3,6,0
0080800000400000,0000000000000080,4,4,0
0200000000000000,0000000000000080,2,21,0
0200000000004000,0000000000000080,3,14,0
0200000000004020,0000000000000080,4,2,1
0200010000000000,0000000000000080,3,6,0
0200010000004000,0000000000000080,4,2,0
0280000000000000,0000000000000080,3,42,0
0280000000001000,0000000000000080,4,2,0
0280000000004000,0000000000000080,4,5,0
0280000000005000,0000000000000080,5,1,0
0280010000000000,0000000000000080,4,6,0
0280010000000001,0000000000000080,5,1,1
0280010000001000,0000000000000080,5,1,0
0280010000005000,0000000000000080,6,1,1
0280800000000000,0000000000000080,4,4,0
8000000000000000,0000000000000080,2,6,0
8000000000004000,0000000000000080,3,3,0
8000000000400000,0000000000000080,3,3,0
8000010000000000,0000000000000080,3,4,0
8080000000000000,0000000000000080,3,20,0
8080000000400000,0000000000000080,4,2,0
8080010000000000,0000000000000080,4,2,0
8080800000000000,0000000000000080,4,4,0
8080800000400000,0000000000000080,5,1,1
8200000000000000,0000000000000080,3,17,0
8200000000004000,0000000000000080,4,9,0
8200010000000000,0000000000000080,4,6,0
8280000000000000,0000000000000080,4,25,0
8280000000004000,0000000000000080,5,2,1
8280010000000000,0000000000000080,5,6,0
8280800000000000,0000000000000080,5,1,1
8000000000000000,0000000000000082,3,13,0
8000000000004000,0000000000000082,4,1,0
8000000000400000,0000000000000082,4,3,0
8000010000000000,0000000000000082,4,2,0
8080000000000000,0000000000000082,4,26,0
8080800000000000,0000000000000082,5,3,1
8200000000000000,0000000000000082,4,13,0
8200000000004000,0000000000000082,5,2,0
8200010000000000,0000000000000082,5,4,0
