omitted_ordinal,position,mask_hex,rank,response_w0,response_w1
0,0,12448816,9,0f22010000066c20,0000000000003010
0,1,00436096,9,c02000c40c900180,00000000011b0010
0,2,18864144,9,3c81e60002400006,00000000000007fc
0,3,08026e0c,9,1044100100000000,000000079a00c801
0,4,29600981,9,00000044e98003cc,0000000000000000
0,5,02c0812d,9,0000000800000000,0000000004080002
0,6,02c12216,9,0000183000000000,0000000068000000
0,7,026d0203,9,0000000000017c00,0000000820a00000
5,0,108c4924,9,3f81660002000000,00000000001707fc
5,1,0a4a2016,9,f17c180000000000,00000000f800183d
5,2,0140c925,9,0010004005800280,000000070000c000
5,3,01a04964,9,0000e683d8600016,0000000803e00000
5,4,20490236,9,00000000020ffc00,0000000000000000
5,5,0a415c40,9,0000003000180000,0000000000003020
5,6,0b220096,9,00026704280001cd,0000000001600000
5,7,02c0812d,9,0000000800000000,0000000004080002
9,0,12448816,9,0f22010000066c20,0000000000003010
9,1,108c4924,9,3f81660002000000,00000000001707fc
9,2,084220b6,9,c020004428900188,0000000001030010
9,3,0842221e,9,1044180000000000,00000007ba00c801
9,4,0aa30442,9,000080013000100a,0000000000000140
9,5,02c0812d,9,0000000800000000,0000000004080002
9,6,00c54324,9,0000003012000000,0000000848a00000
9,7,39220882,9,0000000001c001cd,0000000000000000
12,0,12448816,9,0f22010000066c20,0000000000003010
12,1,18864144,9,3c81e60002400006,00000000000007fc
12,2,084220b6,9,c020004428900188,0000000001030010
12,3,00c56124,9,010000b048200000,0000000049170034
12,4,0842221e,9,1044180000000000,00000007ba00c801
12,5,02c0812d,9,0000000800000000,0000000004080002
12,6,01604895,9,000004c4cd8003c4,0000000800e00000
12,7,2ba20042,9,000000013800000f,0000000000000000
14,0,108c4924,9,3f81660002000000,00000000001707fc
14,1,084a6016,9,f17c100000000000,00000005f803983d
14,2,0160c924,9,00120040058002a0,0000000301004000
14,3,02e0412c,9,10000280d0000002,0000000803c80003
14,4,0aa30442,9,000080013000100a,0000000000000140
14,5,0a439108,9,0000080800000000,0000000004002000
14,6,22045017,9,00000030001e0000,0000000000000000
14,7,19260086,9,0002670000400045,0000000000000000
18,0,108c4924,9,3f81660002000000,00000000001707fc
18,1,0a4a2016,9,f17c180000000000,00000000f800183d
18,2,0140c925,9,0010004005800280,000000070000c000
18,3,01a04964,9,0000e683d8600016,0000000803e00000
18,4,12650206,9,000201000001fc20,0000000000000000
18,5,0a415c40,9,0000003000180000,0000000000003020
18,6,0b220096,9,00026704280001cd,0000000001600000
18,7,02c0812d,9,0000000800000000,0000000004080002
20,0,12448816,9,0f22010000066c20,0000000000003010
20,1,108c4924,9,3f81660002000000,00000000001707fc
20,2,0a4a2016,9,f17c180000000000,00000000f800183d
20,3,0140c925,9,0010004005800280,000000070000c000
20,4,0aa30442,9,000080013000100a,0000000000000140
20,5,02c0812d,9,0000000800000000,0000000004080002
20,6,0926088a,9,0000220000400001,0000000001400000
20,7,02c44249,9,0000002080000000,0000000822c00000
22,0,008c49a4,9,0e81660000000000,0000000800f70090
22,1,0a4a2016,9,f17c180000000000,00000000f800183d
22,2,08846544,9,3000803100200000,000000004200076c
22,3,0140c925,9,0010004005800280,000000070000c000
22,4,10445816,9,00000000021e0000,0000000000003020
22,5,12650206,9,000201000001fc20,0000000000000000
22,6,0b220096,9,00026704280001cd,0000000001600000
22,7,02c0812d,9,0000000800000000,0000000004080002
24,0,12448816,9,0f22010000066c20,0000000000003010
24,1,108c4924,9,3f81660002000000,00000000001707fc
24,2,08416885,9,c000004448900380,0000000000060012
24,3,0842221e,9,1044180000000000,00000007ba00c801
24,4,0aa30442,9,000080013000100a,0000000000000140
24,5,02c0812d,9,0000000800000000,0000000004080002
24,6,00c54324,9,0000003012000000,0000000848a00000
24,7,0926088a,9,0000220000400001,0000000001400000
25,0,12448816,9,0f22010000066c20,0000000000003010
25,1,00a841a6,9,ce80660000000000,0000000800ff0082
25,2,084220b6,9,c020004428900188,0000000001030010
25,3,08846544,9,3000803100200000,000000004200076c
25,4,0140c925,9,0010004005800280,000000070000c000
25,5,1906008c,8,0021220000400001,0000000000000000
25,6,0a439108,9,0000080800000000,0000000004002000
25,7,0a4b0601,9,00401000000b3400,00000000d8000800
29,0,084a6016,9,f17c100000000000,00000005f803983d
29,1,00a841a6,9,ce80660000000000,0000000800ff0082
29,2,18864144,9,3c81e60002400006,00000000000007fc
29,3,0160c924,9,00120040058002a0,0000000301004000
29,4,0b220216,9,000ee10110000021,0000000002600000
29,5,20490236,9,00000000020ffc00,0000000000000000
29,6,0a415c40,9,0000003000180000,0000000000003020
29,7,0a439108,9,0000080800000000,0000000004002000
32,0,00c84925,9,ef80140002000000,0000000848fe003f
32,1,12448816,9,0f22010000066c20,0000000000003010
32,2,18864144,9,3c81e60002400006,00000000000007fc
32,3,084220b6,9,c020004428900188,0000000001030010
32,4,0140c925,9,0010004005800280,000000070000c000
32,5,00446a0d,9,0000002080000000,00000007ba000000
32,6,0a439108,9,0000080800000000,0000000004002000
32,7,32a40016,9,0000000000001c07,0000000000000000
35,0,00c84925,9,ef80140002000000,0000000848fe003f
35,1,18864144,9,3c81e60002400006,00000000000007fc
35,2,0b220216,9,000ee10110000021,0000000002600000
35,3,0842221e,9,1044180000000000,00000007ba00c801
35,4,20490236,9,00000000020ffc00,0000000000000000
35,5,29600981,9,00000044e98003cc,0000000000000000
35,6,0a415c40,9,0000003000180000,0000000000003020
