w0,w1,weight,count8,least8,count9,least9
0000000000000000,0000000000000001,1,70,00a84449,1272,0088264b
0000000000000000,0000000000000002,1,0,,263,0a08608b
0000000000000000,0000000000000003,2,0,,9,1a884049
0000000000000000,0000000000000004,1,25,10552401,485,10552007
0000000000000000,0000000000000008,1,70,10542205,961,10542207
0000000000000000,000000000000000c,2,148,10546005,1515,10542017
0000000000000000,0000000000000010,1,46,020ca083,724,0204a097
0000000000000000,0000000000000020,1,137,00c87003,1675,00c83416
0000000000000000,0000000000000024,2,0,,7,10c36440
0000000000000000,0000000000000034,3,0,,3,12c56040
0000000000000000,0000000000000040,1,197,00a8c441,1587,002de440
0000000000000000,0000000000000080,1,8,0089c281,532,0025c283
0000000000000000,0000000000000100,1,6,00a96600,249,002d2603
0000000000000000,0000000000000140,2,1,02a94440,43,00a94464
0000000000000000,0000000000000200,1,12,101d2201,438,10152605
0000000000000000,0000000000000204,2,15,10956001,548,10156405
0000000000000000,0000000000000208,2,95,10146205,1556,10146207
0000000000000000,000000000000020c,3,191,101c6005,2037,10146017
0000000000000000,0000000000000300,2,1,108d6200,64,100d6205
0000000000000000,0000000000000400,1,496,0080d125,4640,0080d037
0000000000000000,0000000000000420,2,194,00887007,2227,00887017
0000000000000000,0000000000000440,2,149,0088c550,1283,0080c553
0000000000000000,0000000000000450,3,1,1284e040,18,0284e141
0000000000000000,0000000000000764,6,0,,9,10896444
0000000000000000,0000000000000774,7,0,,1,128d6040
0000000000000000,0000000000000800,1,335,10102e09,3715,1010221f
0000000000000000,0000000000000804,2,0,,144,10516441
0000000000000000,0000000000000808,2,23,10526201,367,10506324
0000000000000000,000000000000080c,3,18,12522c00,356,10506c05
0000000000000000,0000000000000a00,2,0,,102,10136601
0000000000000000,0000000000000a04,3,0,,64,12116c01
0000000000000000,0000000000000a08,3,16,12122601,318,10126605
0000000000000000,0000000000000a0c,4,9,12186402,223,101a6405
0000000000000000,0000000000001000,1,117,0044f005,1912,0040d551
0000000000000000,0000000000001010,2,0,,7,1244a043
0000000000000000,0000000000001020,2,45,00487016,865,00487017
0000000000000000,0000000000001024,3,0,,1,104d6440
0000000000000000,0000000000001400,2,104,000cf005,1521,0004f017
0000000000000000,0000000000001420,3,23,02087405,509,00087817
0000000000000000,0000000000001440,3,23,0200c551,483,02008557
0000000000000000,0000000000002000,1,539,0048d448,6112,0005d648
0000000000000000,0000000000003000,2,60,02408552,549,0040dd50
0000000000000000,0000000000003400,3,84,02009552,474,000cd550
0000000000000000,0000000000003440,4,23,0200c552,280,02008576
0000000000000000,0000000000004000,1,48,1060a209,960,10208559
0000000000000000,0000000000004001,2,4,18220609,92,1020660b
0000000000000000,0000000000008000,1,50,1008a609,893,1008832d
0000000000000000,0000000000009000,2,0,,5,1048e441
0000000000000000,000000000000a000,2,0,,12,1048c648
0000000000000000,000000000000c000,2,41,1040e209,828,1000a32d
0000000000000000,000000000000e000,3,0,,9,1040c558
0000000000000000,0000000000010000,1,221,002c6488,4609,00066c8c
0000000000000000,0000000000012000,2,0,,12,104cc40c
0000000000000000,0000000000014000,2,0,,10,1061e408
0000000000000000,0000000000018000,2,0,,3,1049e408
0000000000000000,000000000001a000,3,0,,3,180acc08
0000000000000000,000000000001c000,3,0,,3,1842ac08
0000000000000000,000000000001e000,4,0,,3,1842cc08
0000000000000000,0000000000020000,1,22,002ca481,427,000c6487
0000000000000000,0000000000020010,2,4,080e6081,63,080e2087
0000000000000000,0000000000030000,2,92,00846486,1133,000c6496
0000000000000000,0000000000030010,3,3,088e6080,40,088e6082
0000000000000000,0000000000040000,1,19,18046089,492,0804e889
0000000000000000,0000000000040002,2,0,,222,0808688d
0000000000000000,0000000000040003,3,0,,12,1888404d
0000000000000000,0000000000040010,2,0,,29,0884e0c1
0000000000000000,0000000000040034,4,0,,1,18cd2040
0000000000000000,0000000000040040,2,0,,3,182ca041
0000000000000000,0000000000040450,4,0,,4,0884e141
0000000000000000,0000000000040774,8,0,,1,188d6040
0000000000000000,0000000000050000,2,0,,96,082c608a
0000000000000000,0000000000050002,3,0,,87,0828e888
0000000000000000,0000000000060000,2,0,,51,082c2087
0000000000000000,0000000000060010,3,0,,71,080c6885
0000000000000000,0000000000070000,3,0,,90,082c6086
0000000000000000,0000000000070010,4,3,088ce080,65,088c6086
0000000000000000,0000000000080000,1,11,020aa089,409,020a208f
0000000000000000,0000000000080001,2,0,,14,12a2200b
0000000000000000,0000000000080002,2,117,0208a08b,1571,0208209f
0000000000000000,0000000000080003,3,2,12a8000b,52,02a8210b
0000000000000000,0000000000100000,1,34,000e6089,753,0006a88b
0000000000000000,0000000000100010,2,0,,28,004e60c1
0000000000000000,0000000000100034,4,0,,1,10c76040
0000000000000000,0000000000100450,4,0,,2,1086e041
0000000000000000,0000000000110000,2,1,102e2088,132,002e208e
0000000000000000,0000000000120000,2,4,002e2083,80,002e2087
0000000000000000,0000000000120010,3,5,004ea081,134,000e2097
0000000000000000,0000000000130000,3,8,006e2082,153,002e2096
0000000000000000,0000000000130010,4,8,008e6084,94,008e6086
0000000000000000,0000000000140000,2,202,000ce089,2175,0004e88d
0000000000000000,0000000000140010,3,4,00cc60c0,130,000ce0c5
0000000000000000,0000000000140034,5,0,,2,10cd2041
0000000000000000,0000000000140040,3,0,,15,00a4e141
0000000000000000,0000000000140140,4,0,,2,00ad6140
0000000000000000,0000000000140450,5,1,108ce040,19,0084e161
0000000000000000,0000000000140774,9,0,,3,108d6041
0000000000000000,0000000000141010,4,0,,2,1045e041
0000000000000000,0000000000150000,3,33,008ce088,516,002c209e
0000000000000000,0000000000160000,3,22,002c6083,247,002c2097
