q,r,body_hex,hits,first_mask_hex,second_mask_hex
96,591,001c7608,2,15600085,1d410801
96,591,051c6208,1,024085d0,
96,591,055e4400,2,0200813f,02a08325
96,591,057c4001,2,288216c0,3882a082
96,591,159aa000,2,002016c9,20611608
96,591,1d584001,1,20a09640,
96,591,2d10b001,2,00c045d4,12c14242
96,591,3512e000,2,002016c9,02ac0409
96,591,35624400,2,0200813f,08982089
96,591,3592a000,2,002016c9,0a085c04
96,591,3d10e000,2,002016c9,02ac0409
105,591,03187208,2,10c484c0,14248083
105,591,051ab002,2,00c045d4,18450a81
105,591,05306608,2,12cc9000,284a0892
105,591,0c983401,2,1104c086,2144c124
105,591,0d18b002,2,00c045d4,02630409
105,591,0d18b004,2,02630409,12c14242
105,591,0d98b000,2,02630409,1204003f
105,591,0f18b000,2,00c045d4,20804487
105,591,152ae000,2,02501483,02541409
192,591,3512e000,2,002016c9,02ac0409
192,591,3592a000,2,002016c9,0a085c04
210,591,0538c208,2,1a462002,32c01c00
210,591,053ac200,2,1204003f,32c01c00
210,591,057ac000,2,1204003f,32850206
210,591,059ab000,2,1204003f,18450a81
210,591,05d81088,2,02008751,1a04a440
210,591,07584088,2,10259240,20a09640
