first_mask_hex,second_mask_hex,pair_type,contains_singleton_critical_mask,additional_unsafe_pair,obligation_count,obligations_q_r_body
002016c9,02ac0409,JN,0,1,3,96:591:3512e000;96:591:3d10e000;192:591:3512e000
002016c9,0a085c04,JJ,0,1,2,96:591:3592a000;192:591:3592a000
002016c9,20611608,JJ,0,1,1,96:591:159aa000
00c045d4,02630409,JN,0,1,1,105:591:0d18b002
00c045d4,12c14242,NN,0,1,1,96:591:2d10b001
00c045d4,18450a81,NN,0,1,1,105:591:051ab002
00c045d4,20804487,JN,0,1,1,105:591:0f18b000
0200813f,02a08325,NN,0,1,1,96:591:055e4400
0200813f,08982089,NN,0,1,1,96:591:35624400
02008751,1a04a440,NN,0,1,1,210:591:05d81088
02501483,02541409,JN,0,1,1,105:591:152ae000
02630409,1204003f,JN,0,1,1,105:591:0d98b000
02630409,12c14242,JN,0,1,1,105:591:0d18b004
10259240,20a09640,JJ,1,0,1,210:591:07584088
10c484c0,14248083,JN,0,1,1,105:591:03187208
1104c086,2144c124,JN,0,1,1,105:591:0c983401
1204003f,18450a81,NN,0,1,1,210:591:059ab000
1204003f,32850206,NN,0,1,1,210:591:057ac000
1204003f,32c01c00,NN,0,1,1,210:591:053ac200
12cc9000,284a0892,NN,0,1,1,105:591:05306608
15600085,1d410801,NN,0,1,1,96:591:001c7608
1a462002,32c01c00,NN,0,1,1,210:591:0538c208
288216c0,3882a082,NN,0,1,1,96:591:057c4001
