q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
72,591,3857,746fa83126052024,415,3442,80,dae1ac794acdc430,4,116,0,cbf29ce484222325
96,591,3261,7ba1643dc49b260c,334,2927,7302,f10cc14234f328,2,250,0,cbf29ce484222325
100,591,3556,2d88fe9bbefa9f71,350,3206,4285,d91887554178f8e2,3,208,0,cbf29ce484222325
105,591,3693,c4e8e7b61e96557d,366,3327,2941,ef6c18202e56e944,2,186,0,cbf29ce484222325
153,591,3921,c24ea582e6adedd9,419,3502,24,2b33f18199e424ae,11,104,0,cbf29ce484222325
192,591,3703,acd084dc7cac111a,382,3321,1055,ca466bde5cf02c9d,3,212,0,cbf29ce484222325
210,591,3517,29f5b1e90435afbc,325,3192,12735,e8dbf0b83732859f,2,233,0,cbf29ce484222325
256,591,3738,7b2b33ff69eddb5f,417,3321,32,3841ae963b40796,7,149,0,cbf29ce484222325
260,591,3872,45402f401f61f64b,403,3469,270,1cb932702b0e2328,4,129,0,cbf29ce484222325
294,591,3912,2aeaf0b2b5017d03,419,3493,12,cca6cdb377cd0ee8,18,144,0,cbf29ce484222325
366,591,3900,b90e4597fef80728,420,3480,14,e4d9a93ce8a16d46,26,150,0,cbf29ce484222325
384,591,3909,6f74a107eeebd8c5,418,3491,27,8cd7034fb8a4f3fa,11,180,0,cbf29ce484222325
520,591,3923,233cc9d9079bd46a,419,3504,14,3a37fc404fa3d9e7,6,95,0,cbf29ce484222325
