q,r,body_hex,rank8_responders,rank9_responders,total_responders
96,592,05246608,1132,12882,14014
96,592,052e6400,1163,12950,14113
96,592,056e4400,1227,14595,15822
96,592,14087601,490,9541,10031
96,592,14784600,833,12215,13048
96,592,15206608,729,10727,11456
96,592,15581600,1074,17726,18800
96,592,15c81408,702,13040,13742
96,592,25143600,1210,17425,18635
96,592,34306401,329,6999,7328
96,592,35203401,1151,16893,18044
96,592,35206401,196,4263,4459
96,592,35302401,251,8939,9190
100,592,05744402,1109,15105,16214
100,592,07485408,337,7406,7743
100,592,27704008,228,7041,7269
105,592,011d7400,629,10886,11515
105,592,041c7600,316,8174,8490
105,592,05107484,543,11499,12042
105,592,05183288,749,13775,14524
105,592,0518b082,679,16274,16953
105,592,0518b084,679,16678,17357
105,592,0518b204,889,19272,20161
105,592,0518b210,1050,22594,23644
105,592,051c3140,959,23312,24271
105,592,051c3500,279,11669,11948
105,592,051c7040,235,7414,7649
105,592,051c7400,53,2227,2280
105,592,051cb040,594,16441,17035
105,592,051cb080,346,11285,11631
105,592,051cb400,130,7310,7440
105,592,053c6400,129,4553,4682
105,592,05983810,839,16856,17695
105,592,059c3040,316,9540,9856
105,592,059c3400,110,4199,4309
105,592,059cb000,207,5591,5798
105,592,06585088,436,9596,10032
105,592,065c3400,740,18509,19249
105,592,065c9080,2007,28305,30312
105,592,067c3000,1499,23455,24954
105,592,069c1600,2367,24298,26665
105,592,06d81088,819,13251,14070
105,592,07107088,186,4985,5171
105,592,07183081,140,8176,8316
105,592,07183088,108,6334,6442
105,592,071c3040,144,8962,9106
105,592,071c3080,88,6458,6546
105,592,071c3400,87,5109,5196
105,592,079c3000,74,2652,2726
105,592,07bc2000,224,5840,6064
105,592,0d18b004,708,18338,19046
105,592,0e187400,464,9210,9674
105,592,11197400,530,10590,11120
105,592,1199b000,1642,19788,21430
105,592,13993000,743,11850,12593
105,592,14187600,176,6820,6996
105,592,15183240,617,16333,16950
105,592,15183600,123,6832,6955
105,592,1518b080,214,9194,9408
105,592,15193040,772,19808,20580
105,592,15193400,205,9692,9897
105,592,15286c00,1559,19324,20883
105,592,16589080,1771,27413,29184
105,592,17183080,45,5293,5338
192,592,2d10b008,1781,21854,23635
210,592,031d5080,1765,17525,19290
210,592,041cd600,870,13461,14331
210,592,043c6401,917,12881,13798
210,592,04981684,1458,19891,21349
210,592,04983481,682,12558,13240
210,592,04983602,1762,22984,24746
210,592,04983608,623,11158,11781
210,592,049c1608,1512,18040,19552
210,592,049c1610,2739,31915,34654
210,592,049c1680,466,11435,11901
210,592,049c3401,677,13630,14307
210,592,049c3600,765,13765,14530
210,592,049c9600,1413,19287,20700
210,592,04dc1600,1626,19588,21214
210,592,05085688,1901,18515,20416
210,592,05183288,1428,16322,17750
210,592,05183608,666,10985,11651
210,592,05185288,390,7584,7974
210,592,05189482,1229,20454,21683
210,592,051cb400,417,10569,10986
210,592,05284688,1933,19270,21203
210,592,0528c608,1806,19872,21678
210,592,05981288,365,7864,8229
210,592,059c1600,896,13603,14499
210,592,05bca000,746,11126,11872
210,592,05e89008,1242,15141,16383
210,592,05ec9000,2100,21410,23510
210,592,06183248,715,13708,14423
210,592,06183640,908,17646,18554
210,592,061852c0,437,8449,8886
210,592,06185601,460,8527,8987
210,592,06185680,238,4483,4721
210,592,06185a80,452,8564,9016
210,592,06187480,262,4907,5169
210,592,06187600,280,5262,5542
210,592,06187a00,636,10357,10993
210,592,06187c00,470,8273,8743
210,592,0618d280,312,6265,6577
210,592,06195480,435,7961,8396
210,592,061c1640,1142,21114,22256
210,592,061c50c0,348,9108,9456
210,592,061c5480,128,4205,4333
210,592,061c5600,252,5834,6086
210,592,061c9600,934,17366,18300
210,592,06304682,1621,19533,21154
210,592,06383600,817,14375,15192
210,592,06384680,490,8216,8706
210,592,06385208,398,6896,7294
210,592,06385600,711,9744,10455
210,592,06386600,610,8892,9502
210,592,06394480,1091,14493,15584
210,592,063c1280,643,12314,12957
210,592,063c1600,995,16801,17796
210,592,063c5080,188,5337,5525
210,592,06581680,738,12946,13684
210,592,06583088,841,12288,13129
210,592,06583600,813,14884,15697
210,592,06585088,116,3456,3572
210,592,06585208,294,6006,6300
210,592,06585280,316,5872,6188
210,592,06585480,370,6099,6469
210,592,06585600,557,8504,9061
210,592,06589088,847,12691,13538
210,592,06589280,1007,15260,16267
210,592,06591600,1909,26383,28292
210,592,065c1480,565,12437,13002
210,592,065c1600,703,14423,15126
210,592,065c3400,589,13824,14413
210,592,065c5080,192,5563,5755
210,592,06784084,1266,15660,16926
210,592,06784088,463,7134,7597
210,592,06784280,480,7617,8097
210,592,06784480,908,11385,12293
210,592,06785080,385,6411,6796
210,592,06786080,721,10274,10995
210,592,06786200,810,11191,12001
210,592,067a6000,1286,15259,16545
210,592,0698108c,389,7966,8355
210,592,06981288,68,3184,3252
210,592,06981601,832,12956,13788
210,592,06981680,355,6609,6964
210,592,06983208,90,4145,4235
210,592,06983600,426,8003,8429
210,592,06991088,219,6159,6378
210,592,06991480,643,11004,11647
210,592,06993008,179,6537,6716
210,592,069c1600,530,10015,10545
210,592,069c5080,285,6729,7014
210,592,06b81208,610,9061,9671
210,592,06b81600,1136,14140,15276
210,592,06d81088,116,3671,3787
210,592,06d81208,369,7389,7758
210,592,06d81480,493,7821,8314
210,592,06d81600,841,12184,13025
210,592,0708508a,284,7837,8121
210,592,07085608,519,9785,10304
210,592,0710508a,258,5757,6015
210,592,07107081,93,4302,4395
210,592,07107088,42,2242,2284
210,592,071070c0,488,9609,10097
210,592,07107480,338,6455,6793
210,592,07107880,502,9888,10390
210,592,0710d082,799,12908,13707
210,592,0710f080,384,7369,7753
210,592,07145082,511,10066,10577
210,592,07147080,266,6203,6469
210,592,07181281,313,9758,10071
210,592,07181288,180,6085,6265
210,592,071812c0,346,10179,10525
210,592,07181680,288,8384,8672
210,592,07181a80,514,12884,13398
210,592,07183081,249,8001,8250
210,592,07183240,343,10239,10582
210,592,07183600,222,6931,7153
210,592,07185201,134,4209,4343
210,592,07185208,50,2205,2255
210,592,07185240,310,7748,8058
210,592,07185600,203,4979,5182
210,592,07185a00,244,6527,6771
210,592,07189082,684,15615,16299
210,592,07189280,301,9018,9319
210,592,0718b080,259,7755,8014
210,592,0718d200,248,5821,6069
210,592,07191600,942,17090,18032
210,592,07199080,465,12105,12570
210,592,071c1204,775,15752,16527
210,592,071c1210,862,18256,19118
210,592,071c1240,695,14188,14883
210,592,071c1280,135,6735,6870
210,592,071c1300,815,16266,17081
210,592,071c1600,434,10017,10451
210,592,071c5200,112,3535,3647
210,592,071d1080,327,10495,10822
210,592,07382600,577,11983,12560
210,592,07384600,472,7745,8217
210,592,07485408,468,8840,9308
210,592,07505081,323,7461,7784
210,592,07505082,653,10820,11473
210,592,07505280,303,6826,7129
210,592,07505480,623,9835,10458
210,592,07507080,417,7811,8228
210,592,07545200,577,10128,10705
210,592,07581280,294,8126,8420
210,592,07583080,288,8265,8553
210,592,07585080,71,2538,2609
210,592,07585200,149,4313,4462
210,592,07589080,322,8919,9241
210,592,075c1080,216,7719,7935
210,592,075c1200,468,10396,10864
210,592,07704081,449,8221,8670
210,592,07704082,858,12394,13252
210,592,07704204,1124,15873,16997
210,592,07704280,338,6834,7172
210,592,07782080,706,12427,13133
210,592,07784080,153,3718,3871
210,592,07784200,272,5751,6023
210,592,077c0080,792,13148,13940
210,592,077c0200,1133,15914,17047
210,592,0788108c,528,11033,11561
210,592,0798008c,1875,20304,22179
210,592,07981208,128,3601,3729
210,592,07981600,401,8075,8476
210,592,079c1200,211,5127,5338
210,592,07b80208,493,7289,7782
210,592,07bc0200,574,8876,9450
210,592,07c89008,667,10682,11349
210,592,07d05080,517,8541,9058
210,592,07d81080,106,2924,3030
210,592,13195080,1186,14898,16084
210,592,13991080,1934,19008,20942
210,592,14185481,461,10797,11258
210,592,14185680,238,7625,7863
210,592,14187600,305,7738,8043
210,592,14384680,404,9555,9959
210,592,14981680,350,10234,10584
210,592,14983600,489,10933,11422
210,592,14b80680,825,14633,15458
210,592,14b82600,943,14536,15479
210,592,14d81600,1462,18528,19990
210,592,14d89200,2577,23497,26074
210,592,15183600,437,10099,10536
210,592,15189480,481,11884,12365
210,592,15382600,607,12583,13190
210,592,15392400,818,15466,16284
210,592,15d09080,1620,18058,19678
210,592,15d09200,2884,26706,29590
210,592,1608d600,1169,16556,17725
210,592,161850c0,254,8000,8254
210,592,16185480,82,3598,3680
210,592,16185600,232,5919,6151
210,592,16185a00,427,10042,10469
210,592,161c1600,846,17074,17920
210,592,16305202,1396,18857,20253
210,592,16381180,1394,21640,23034
210,592,16381280,574,11835,12409
210,592,16384480,465,8587,9052
210,592,16385080,134,4602,4736
210,592,16385200,270,6587,6857
210,592,16385800,883,12783,13666
210,592,16581088,783,12273,13056
210,592,16581480,452,11422,11874
210,592,16585080,140,4891,5031
210,592,16585200,275,7193,7468
210,592,16981600,491,9771,10262
210,592,16985080,207,5850,6057
210,592,16b81200,454,8793,9247
210,592,17085600,606,10736,11342
210,592,17105082,371,8499,8870
210,592,17105202,665,12104,12769
210,592,17105210,901,15510,16411
210,592,17107080,175,4890,5065
210,592,17181280,89,6109,6198
210,592,17185200,103,3370,3473
210,592,17191080,227,9124,9351
210,592,17505200,544,9964,10508
210,592,17581080,131,6481,6612
210,592,17780080,553,10865,11418
210,592,17901202,1224,17326,18550
210,592,17901210,1497,20290,21787
210,592,17981200,195,4960,5155
210,592,17b80200,518,8080,8598
210,592,17d01080,441,8198,8639
210,592,17d01200,934,13137,14071
210,592,2410f401,683,13393,14076
210,592,25105288,576,9203,9779
210,592,2510f001,672,10637,11309
210,592,25181288,1002,14916,15918
210,592,251c1600,1014,16788,17802
210,592,25340680,862,16477,17339
210,592,25341600,1138,17184,18322
210,592,2590b001,685,11614,12299
210,592,26103640,1259,23081,24340
210,592,26105680,364,7011,7375
210,592,26107600,460,8592,9052
210,592,26115480,780,13234,14014
210,592,26145600,535,9980,10515
210,592,26304680,632,10267,10899
210,592,26305208,613,9679,10292
210,592,26305600,943,12523,13466
210,592,26345080,379,8419,8798
210,592,26505600,897,12845,13742
210,592,26585080,515,8616,9131
210,592,26704280,640,9784,10424
210,592,26706200,1114,14729,15843
210,592,26714080,1587,18653,20240
210,592,26744080,926,12943,13869
210,592,26784080,946,12091,13037
210,592,26903600,702,12312,13014
210,592,26b00288,609,9489,10098
210,592,26d01600,1307,16801,18108
210,592,26d03080,925,12987,13912
210,592,26d81008,794,10594,11388
210,592,26d81080,535,8448,8983
210,592,27103600,298,9209,9507
210,592,27105201,273,7203,7476
210,592,27105208,145,4502,4647
210,592,27105240,603,12293,12896
210,592,27105600,392,7988,8380
210,592,27105a00,511,10678,11189
210,592,27109082,799,17688,18487
210,592,2710b080,354,9559,9913
210,592,2710d200,480,9471,9951
210,592,27145200,263,6662,6925
210,592,27503080,400,10195,10595
210,592,27505080,138,4220,4358
210,592,27505200,333,7570,7903
210,592,27541200,670,13434,14104
210,592,27704080,184,4743,4927
210,592,27704200,421,8092,8513
210,592,27901208,279,5926,6205
210,592,27d01080,166,4198,4364
210,592,27d01200,457,8851,9308
210,592,35300680,662,14669,15331
210,592,36305080,326,7814,8140
210,592,36305200,492,9818,10310
210,592,36581080,709,13257,13966
210,592,36901280,291,7997,8288
210,592,36903200,484,10821,11305
210,592,36911080,750,14249,14999
210,592,36913000,987,16616,17603
210,592,36d01080,528,9912,10440
210,592,36d01200,884,14315,15199
210,592,36d03000,866,14161,15027
210,592,36d21000,1528,18221,19749
210,592,36f01000,1113,14101,15214
210,592,37105200,250,6684,6934
210,592,37901200,415,8480,8895
210,592,3ed01000,2125,24191,26316
256,592,00157409,1004,14636,15640
256,592,00547409,432,9047,9479
256,592,02157408,275,6788,7063
256,592,02356408,799,11376,12175
256,592,03147208,111,4390,4501
256,592,03346208,183,5576,5759
256,592,03943208,396,8206,8602
256,592,03953008,277,7042,7319
256,592,03b16008,1222,13163,14385
256,592,03b42208,761,11187,11948
256,592,0404f409,519,9267,9786
256,592,0404f40a,1158,14633,15791
256,592,0406f408,790,11173,11963
256,592,040c7409,1155,12103,13258
256,592,04147409,108,3698,3806
256,592,0414740c,199,6408,6607
256,592,04147428,200,7239,7439
256,592,04147508,188,6594,6782
256,592,04147608,191,5390,5581
256,592,0414b604,1393,21315,22708
256,592,0414b640,1288,21342,22630
256,592,0414f408,31,2929,2960
256,592,0414f480,498,9086,9584
256,592,0414f600,586,9822,10408
256,592,0416f400,198,6010,6208
256,592,04247409,685,9205,9890
256,592,0424740c,1688,17464,19152
256,592,04247428,1779,19628,21407
256,592,04247508,1741,18927,20668
256,592,0424f408,587,8853,9440
256,592,0434244a,910,19514,20424
256,592,04346409,113,3639,3752
256,592,0434640a,212,6050,6262
256,592,0434640c,221,6092,6313
256,592,04346428,237,7730,7967
256,592,04346481,181,4944,5125
256,592,04346508,231,7345,7576
256,592,04346601,281,6097,6378
256,592,04346608,212,5534,5746
256,592,0434e408,42,3194,3236
256,592,04366401,151,4206,4357
256,592,04366402,485,9540,10025
256,592,04366404,510,10086,10596
256,592,04366420,549,12459,13008
256,592,04366500,538,11827,12365
256,592,04366600,463,9231,9694
256,592,0436e400,195,5988,6183
256,592,0444f401,850,11248,12098
256,592,0444f408,457,8587,9044
256,592,0446f400,969,12688,13657
256,592,04543608,277,8796,9073
256,592,0454b402,938,14602,15540
256,592,0454b600,800,14034,14834
256,592,0454f400,459,7534,7993
256,592,045cb400,784,12089,12873
256,592,04647401,866,10095,10961
256,592,04647408,676,9262,9938
256,592,0470e401,822,9192,10014
256,592,0470e408,474,7041,7515
256,592,0474240a,358,10030,10388
256,592,04742608,365,9751,10116
256,592,04746401,92,3056,3148
256,592,04746408,47,2817,2864
