q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
94,592,3919,2bf9f408cfc63f4d,419,3500,25,af2f73d3360e96ab,8,78,0,cbf29ce484222325
96,592,2716,dc87e3fbb1cfc06,258,2458,53145,3c1543715a8168d0,1,226,13,5e1703cbcab61c54
100,592,2817,2552ede82933499e,278,2539,46236,8dede34b1427623b,1,235,3,93f92adb25319894
105,592,3104,ed497f26461e5712,285,2819,43759,394be845dbb54b6d,1,273,48,1d3fd2771b942116
141,592,3924,df249db7c0678dbe,420,3504,24,50d763002d8e3373,10,198,0,cbf29ce484222325
147,592,3871,99b5a849ec52111,414,3457,84,f338a398e6c40255,7,196,0,cbf29ce484222325
183,592,3803,9c03f2ef7dc9f1b4,400,3403,356,da7201738eb7bd32,4,194,0,cbf29ce484222325
186,592,3880,98e0742c1c9c54a1,403,3477,286,ab5dbb91c54fd6fa,4,233,0,cbf29ce484222325
192,592,3074,f81049fbff1cb3c2,291,2783,26577,eabbe5ae238dd7a8,1,284,1,4c5eb0a3dc7b826
206,592,3371,5cf70e296ef96550,359,3012,4064,f349cfca864f1a0e,1,228,0,cbf29ce484222325
210,592,2722,857d3d9a9177cbfe,243,2479,110100,a36db109a0fe8ab8,1,236,288,f89b5875deb43cdd
212,592,3911,dbdde4ef6504f10,416,3495,85,55673100bf8d77bf,8,198,0,cbf29ce484222325
220,592,3881,115c1700c2fd73e8,415,3466,90,f26b873e30ff16e8,8,166,0,cbf29ce484222325
233,592,3921,fc0458e329e98a25,418,3503,32,b592483f615bafd9,6,161,0,cbf29ce484222325
244,592,3912,7502bb1d1e948c89,418,3494,23,2e33cbb918701e31,17,136,0,cbf29ce484222325
256,592,2026,27a55abf9def1fff,173,1853,386630,20e8974f0b84c67c,1,257,2101,4c4e2299ff5193a1
260,592,3860,713016a79222e138,391,3469,527,a855de21f19371bb,3,254,0,cbf29ce484222325
265,592,3923,2b0e907e612819fd,419,3504,38,a4bd1db281e7a917,10,198,0,cbf29ce484222325
270,592,3915,ee22a6dc962e85d,416,3499,87,39262d7294ea122,5,197,0,cbf29ce484222325
282,592,3921,e7b4275985acfa5b,419,3502,45,eae40c3059e89b07,9,198,0,cbf29ce484222325
294,592,3753,62acfcd84fd933ad,383,3370,1256,9136950466a4ef30,1,255,0,cbf29ce484222325
306,592,3711,f5cc0f410dbe96ca,384,3327,1308,48edce8ce200812d,2,235,0,cbf29ce484222325
313,592,3921,94c16abf8b696d8a,419,3502,21,1081f27ef0c2c57a,10,80,0,cbf29ce484222325
316,592,3899,c7f858d446ae6751,415,3484,113,4cd4ba3de38a1589,6,196,0,cbf29ce484222325
320,592,3909,e09f9da0994811c7,414,3495,91,482009481c6385c3,6,196,0,cbf29ce484222325
338,592,3921,6c4f444663e470ba,417,3504,24,8b668b47778b2e45,9,87,0,cbf29ce484222325
366,592,3737,308f63088746c33,385,3352,770,969da4694e455392,3,231,0,cbf29ce484222325
372,592,3923,1c4f0c5bf55882f1,419,3504,19,174f968967609fa2,11,64,0,cbf29ce484222325
384,592,3593,f477842d25d5fb20,357,3236,3099,726cb284397b2586,2,205,0,cbf29ce484222325
416,592,3402,36d5ae6338cd3ac,295,3107,29086,c782e43e87b6bf1e,1,290,14,dedd6ee92b43f4ef
420,592,3921,83d12f5d1e780da8,418,3503,46,c45766e4067ec5d,10,198,0,cbf29ce484222325
422,592,3912,fc9083aef94a0383,412,3500,201,54b1358207977cac,8,198,0,cbf29ce484222325
466,592,3912,20a4a8085cd6befe,415,3497,55,8a0e3f23dd085b94,5,135,0,cbf29ce484222325
512,592,3652,1a6e596a6c602b3f,383,3269,988,5e8cd62c554ee491,3,183,0,cbf29ce484222325
520,592,3923,7206bf35f30b3b8c,419,3504,9,54256f06af207d3d,13,60,0,cbf29ce484222325
