q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
94,592,3920,5e2e344fe2929acd,419,3501,25,af2f73d3360e96ab,9,77,0,cbf29ce484222325
96,592,2754,12d0b8b2c6dde155,258,2496,53145,3c1543715a8168d0,1,226,0,cbf29ce484222325
96,593,3016,81cde4291dd8cb62,296,2720,19787,e1d40e269faad269,1,237,0,cbf29ce484222325
96,594,3085,8058964d225595b1,311,2774,11709,4f4bdf84ad1e25d5,1,245,0,cbf29ce484222325
96,595,2492,c01ea36d308e281c,228,2264,110889,c995d9284deb5c41,1,220,0,cbf29ce484222325
96,596,3551,2728fe7af33117a,373,3178,1521,84b8fe893623760f,3,243,0,cbf29ce484222325
96,597,3513,d7d53fb70a720eb0,365,3148,2676,468c9a1ecd837ad9,2,209,0,cbf29ce484222325
96,598,3705,8a77eaa90355dcac,398,3307,393,8957ead9d754b759,4,163,0,cbf29ce484222325
96,599,3209,57d5cde672f556a9,324,2885,9879,159c396e5fa91046,1,224,0,cbf29ce484222325
96,600,3713,95f5101ecdd1c7de,385,3328,671,c3fd103e71b62cf6,3,206,0,cbf29ce484222325
100,592,2848,61070cb331fdab3b,278,2570,46236,8dede34b1427623b,1,235,0,cbf29ce484222325
100,593,3492,a6a1ccee6903a72d,336,3156,8125,33d9876839860bcf,2,221,0,cbf29ce484222325
100,594,3540,3e068b72dc6ed696,333,3207,7251,7a815d1c7906374,2,237,0,cbf29ce484222325
100,595,2808,a30e94aaa7e8fe01,248,2560,109048,8efa8be4055e0940,1,283,0,cbf29ce484222325
100,596,3780,ce627f910f3b9c59,382,3398,1045,574cab0b45ac2159,3,232,0,cbf29ce484222325
100,597,3737,b59bb10da39e181e,365,3372,2551,a7848e96f1847112,3,231,0,cbf29ce484222325
100,598,3790,d78d423b4d0204b0,379,3411,1083,affe53d610cfb34,3,231,0,cbf29ce484222325
100,599,3599,3d5495d1c79d793b,343,3256,7010,7166d6cc816667d7,2,241,0,cbf29ce484222325
100,600,3902,4026df7af86a471d,405,3497,252,aaabdf4c69eaa7a4,4,149,0,cbf29ce484222325
100,601,3806,db69de004144c4b3,370,3436,1993,fa0caf786245397a,3,234,0,cbf29ce484222325
100,602,3115,babb54904e1d1246,283,2832,34693,a217e830117942ba,1,249,0,cbf29ce484222325
100,603,3772,403accf07fc9303d,364,3408,2696,b1ce7b390481be6a,3,247,0,cbf29ce484222325
100,604,3668,47ee4cb17a6faf7b,354,3314,3449,a2e38ef5cd27cdcf,2,221,0,cbf29ce484222325
100,605,3297,7fbc038c1e60b92,320,2977,13491,6805624f29b7478f,1,229,0,cbf29ce484222325
