mask_hex,rank,dual_numerator,in_retained_pool
0014b284,8,1274878543,0
001c3284,8,1274878543,0
001ca601,8,1030320121,0
001cb084,8,1274878543,0
001cb280,8,1274878543,0
003ca201,8,1115524267,0
010ca284,8,1224797060,0
0184b204,8,1694601058,0
018ca084,8,1207095981,0
01949088,8,1340806495,0
01949808,8,1340806495,0
019884c0,8,1064664302,0
01988c40,8,1064664302,0
019ca002,8,1360082689,0
019ca004,8,1360082689,0
019ca200,8,1360082689,0
01a44444,8,1297856121,0
01a44540,8,1297856121,0
0814b280,8,1274878543,0
082212c1,8,1033916736,0
08261248,8,1044315770,0
08261848,8,1044315770,0
082a1281,8,1033916736,0
0844a809,8,1147225542,0
0845a880,8,1159300645,0
08c4a880,8,1159300645,0
09149808,8,1340806495,0
09221828,8,1059964054,0
09221848,8,1059964054,0
09908c40,8,1064664302,0
09988440,8,1064664302,0
099ca000,8,1360082689,0
09a21048,8,1059964054,0
0a641048,8,1140065526,0
0c421881,8,1074091968,0
0c430881,8,1087199417,0
106c4440,8,1046453886,0
106e4001,8,1031270076,0
10b88480,8,1459432674,0
10c44046,8,1079063297,0
10c44124,8,1079063297,0
10c44142,8,1079063297,0
10c44144,8,1079063297,0
10c44150,8,1079063297,0
10c44160,8,1079063297,0
10c44340,8,1389632978,0
10c44540,8,1094925272,0
10c44640,8,1094925272,0
10c44940,8,1079063297,0
10c540c0,8,1167665536,0
10c54140,8,1743770001,0
10c54240,8,1383230677,0
10c54300,8,1383230677,0
10c54440,8,1088522971,0
10c54600,8,1088522971,0
10c64140,8,1079063297,0
10cc4042,8,1079063297,0
10cc4044,8,1344818945,0
10cc4140,8,1344818945,0
10cc4240,8,1089584981,0
10cd4200,8,1089584981,0
10e44042,8,1079063297,0
10e44044,8,1445004105,0
10e44050,8,1079063297,0
10e44060,8,1079063297,0
10e440c0,8,1086335721,0
10e44140,8,1445004105,0
10e44240,8,1095987282,0
10e44840,8,1079063297,0
10e54040,8,1438601804,0
10e64040,8,1079063297,0
10ec4040,8,1344818945,0
10ec4100,8,1344818945,0
11052205,8,1001778583,0
11052601,8,1001778583,0
11052604,8,1001778583,0
11072201,8,1001778583,0
11072204,8,1001778583,0
11072600,8,1001778583,0
11380281,8,1126973089,0
11388088,8,1071574697,0
11388808,8,1071574697,0
11508124,8,1291076525,0
11588880,8,1120852543,0
11708880,8,1098853993,0
11780880,8,1197696279,0
11b08088,8,1071574697,0
11b08108,8,1071574697,0
11b88008,8,1071574697,0
11b88080,8,1469693325,0
11d08880,8,1389930519,0
11d88080,8,1120852543,0
11d88800,8,1120852543,0
11f08080,8,1098853993,0
11f08800,8,1098853993,0
11f80040,8,1197696279,0
120c4406,8,1046453886,0
120c4c04,8,1046453886,0
120e4404,8,1046453886,0
120e4c00,8,1046453886,0
122a4404,8,1093663795,0
122c4003,8,1031270076,0
122c4402,8,1046453886,0
122c4404,8,1093663795,0
122c4600,8,1093663795,0
122c4c00,8,1093663795,0
122e0404,8,1046453886,0
122e0600,8,1046453886,0
122e0c00,8,1046453886,0
122e4001,8,1031270076,0
122e4400,8,1046453886,0
122f0400,8,1046453886,0
12444007,8,1031270076,0
12444406,8,1046453886,0
12444c04,8,1046453886,0
12454600,8,1046453886,0
12454c00,8,1046453886,0
12464404,8,1046453886,0
12464600,8,1046453886,0
12464c00,8,1046453886,0
12474400,8,1046453886,0
124c4402,8,1046453886,0
124c4404,8,1046453886,0
124c4600,8,1046453886,0
124c4c00,8,1046453886,0
124d4400,8,1046453886,0
124e0c00,8,1046453886,0
124e4400,8,1046453886,0
12644006,8,1077785754,0
12644042,8,1077785754,0
12644802,8,1077785754,0
12644804,8,1077785754,0
12644840,8,1077785754,0
12644c00,8,1046453886,0
12654200,8,1520396946,0
12654400,8,1046453886,0
12658800,8,1045499420,0
12664400,8,1046453886,0
12664800,8,1077785754,0
126c0c00,8,1046453886,0
126c4001,8,1031270076,0
126c4002,8,1520396946,0
126c4004,8,1567606855,0
126c4040,8,1520396946,0
126c4200,8,1520396946,0
126c4400,8,1093663795,0
126c4800,8,1520396946,0
126d0400,8,1046453886,0
126e0400,8,1046453886,0
126e4000,8,1520396946,0
18180889,8,1098535715,0
18664040,8,1304814329,0
186c4040,8,1304814329,0
18e84040,8,1239416038,0
19072200,8,1001778583,0
19508880,8,1062038234,0
19d08800,8,1062038234,0
1a244840,8,1077785754,0
1a264040,8,1077785754,0
1a264800,8,1077785754,0
1a2c4040,8,1077785754,0
1a2c4800,8,1077785754,0
1a2e4000,8,1077785754,0
1a444802,8,1077785754,0
1a444804,8,1077785754,0
1a444a00,8,1077785754,0
1a454800,8,1077785754,0
1a464200,8,1077785754,0
1a464800,8,1077785754,0
1a4c4800,8,1077785754,0
1a640840,8,1077785754,0
1a644002,8,1077785754,0
1a644004,8,1077785754,0
1a644040,8,1077785754,0
1a644800,8,1077785754,0
1a654000,8,1077785754,0
1a660800,8,1077785754,0
1a664000,8,1077785754,0
1a6c0040,8,1077785754,0
1a6c0800,8,1077785754,0
1a6c4000,8,1077785754,0
20086483,8,1098762389,0
20086485,8,1098762389,0
20086486,8,1098762389,0
200c2485,8,1105271085,0
200c3284,8,1484508337,0
200c6083,8,1035764125,0
200ca481,8,1105271085,0
200ca484,8,1105271085,0
20106681,8,1044280912,0
20146281,8,1092812234,0
2014b280,8,1274878543,0
20182486,8,1269298266,0
201824a4,8,1269298266,0
20182606,8,1269298266,0
20182682,8,1269298266,0
20182684,8,1269298266,0
