mask_hex,private_obligations,private_rows,origin
00108576,15,4,carrier
0010c574,4,1,carrier
0014b08c,1,1,addition
0018c456,1,1,carrier
00283059,3,2,carrier
003884c8,2,1,carrier
00418a89,2,2,carrier
0041c325,12,3,carrier
004c3216,5,4,carrier
0050c125,11,3,carrier
00543007,1,1,carrier
0054892c,19,3,addition
00619324,17,6,carrier
0062812d,4,2,carrier
00762480,1,1,carrier
007c0403,1,1,carrier
0080aec1,6,2,carrier
0088c724,14,1,addition
009886c0,1,1,carrier
00b0832c,10,4,carrier
00c045d4,21,8,carrier
00c49550,5,2,carrier
00c84489,2,2,carrier
00d85220,1,1,carrier
00e12642,8,3,carrier
0100813f,2,2,addition
0114a083,3,1,carrier
0124003f,11,2,addition
0124a12c,2,2,addition
01283203,2,2,carrier
013a2081,1,1,carrier
01415448,1,1,carrier
0142c809,3,1,carrier
0146100d,4,1,carrier
01609124,3,2,carrier
01611640,2,1,carrier
01690602,1,1,carrier
01790204,1,1,carrier
018ad240,5,1,addition
01d09204,3,2,carrier
0200813f,12,2,addition
02008751,10,6,carrier
02066406,1,1,carrier
020a440d,1,1,carrier
02183c04,3,2,carrier
021c1481,1,1,carrier
021ca880,1,1,carrier
02203226,2,1,carrier
0228832c,5,4,carrier
02408327,12,4,carrier
02492209,1,1,carrier
02507084,1,1,carrier
0250812c,12,7,carrier
02541409,3,3,carrier
02566080,1,1,carrier
02710e02,6,3,carrier
02741808,4,2,carrier
02882682,3,2,carrier
029c2404,2,2,carrier
02a05206,2,2,carrier
02a08325,20,7,carrier
02ac2081,3,2,carrier
02b20481,1,1,carrier
02c18c08,1,1,carrier
02c32282,1,1,carrier
02c8b008,1,1,carrier
030cb800,1,1,carrier
0340a098,1,1,carrier
03462880,1,1,carrier
03640281,1,1,carrier
03e81001,1,1,carrier
040ca4c0,1,1,carrier
04182681,1,1,carrier
04252409,1,1,carrier
04346082,1,1,carrier
0438a801,1,1,carrier
044512c0,1,1,carrier
04471081,1,1,carrier
04612216,9,2,carrier
046d1020,1,1,carrier
04744041,1,1,carrier
04818325,15,4,carrier
06414448,1,1,carrier
0648a801,1,1,carrier
06610049,1,1,carrier
06780011,1,1,carrier
0700c083,1,1,carrier
0802023f,8,3,carrier
0802209f,5,2,addition
0802ac49,3,2,carrier
0806c283,4,3,addition
080a5188,1,1,carrier
080a9a81,12,1,addition
080e8281,1,1,carrier
08123888,1,1,carrier
08182509,1,1,carrier
08222a88,1,1,carrier
082a7400,1,1,carrier
082aa280,1,1,carrier
082b8448,3,2,addition
083a2204,2,2,carrier
083f4000,1,1,carrier
08412a89,47,19,carrier
08432a80,10,2,carrier
084a3880,3,2,carrier
08523202,2,2,carrier
08542601,2,1,carrier
0860bc00,1,1,carrier
08806449,1,1,carrier
088262c4,6,3,carrier
08834149,18,3,addition
088b0648,1,1,carrier
088e4084,2,1,carrier
08982089,1,1,carrier
08a206c1,18,7,carrier
08a89440,5,2,carrier
08c31c08,6,2,carrier
08c82881,1,1,carrier
08c83280,2,1,carrier
08cb2080,1,1,carrier
09041489,2,1,carrier
09068488,1,1,carrier
093c0401,2,1,carrier
09425208,1,1,carrier
09844944,13,2,addition
09888409,1,1,carrier
09d41200,1,1,carrier
0a061680,1,1,carrier
0a0a1888,1,1,carrier
0a0a4216,2,2,carrier
0a1ac004,1,1,carrier
0a261081,2,2,carrier
0a263080,1,1,carrier
0a308c04,1,1,carrier
0a320809,1,1,carrier
0a42c081,1,1,carrier
0a430a88,15,3,addition
0a502888,1,1,carrier
0ac44842,13,1,addition
0b2a4002,1,1,carrier
0b421208,4,3,carrier
0c025209,1,1,carrier
0c03008b,1,1,carrier
0c038a88,14,4,carrier
0c422096,12,3,carrier
0c430a81,8,3,carrier
0ca04049,1,1,carrier
0dc48002,1,1,carrier
0e04e100,1,1,carrier
0e0a1c00,1,1,carrier
0e232400,2,1,carrier
0e281804,1,1,carrier
0eb80200,1,1,carrier
0f011204,1,1,carrier
10047205,1,1,carrier
1004c097,6,2,carrier
1008c4c8,1,1,carrier
1012400f,1,1,carrier
1014240d,9,4,carrier
101c401a,1,1,carrier
101ce200,4,3,carrier
1020a609,1,1,carrier
1024d044,6,1,carrier
102c10c8,5,4,carrier
10342620,1,1,carrier
10361180,1,1,carrier
10413209,2,2,carrier
10443016,1,1,carrier
10448c49,9,3,carrier
1044d084,3,3,carrier
10452216,8,4,carrier
10452680,1,1,carrier
10486203,4,1,carrier
10550a81,12,2,carrier
105d0408,1,1,carrier
106a600a,2,1,carrier
10808559,6,2,addition
10923282,13,6,carrier
1092a088,1,1,carrier
1094a801,1,1,carrier
10986c00,3,3,carrier
109c4044,4,3,carrier
