mask_hex,rank
0000708f,8
00007287,8
0000728b,8
0000e1ad,9
0000ea89,8
0000f489,8
00022e89,8
0002328b,8
0002429f,9
0002509f,9
0002521f,9
00025689,8
00025a8d,9
0002609f,9
0002628b,8
0002688d,8
00027087,8
0002708b,8
0002720d,8
0002728c,8
0002a28d,8
0002a4c9,8
0002a689,8
0002acc9,9
0002b889,8
0002ca8d,9
0002d289,8
0002e609,8
0002e681,8
0002e88d,9
0002e989,9
0002f209,8
0003688d,9
0003ac89,9
0003e889,9
0004348d,8
0004509f,9
0004601f,8
0004628d,8
0004a4c9,8
0004d01f,9
0004e681,8
0004f085,8
0006209f,9
00063889,8
0006409f,9
0006501f,9
0006508f,9
0006588d,9
00066283,8
0006a88d,9
0006b085,8
0006ca89,9
0006e085,8
0006e209,8
0006e281,8
0006f201,8
0007a889,9
00087087,8
0008b609,8
0008e289,8
0008e489,8
000a3289,8
000a4689,8
000a501f,9
000a508f,9
000a520f,9
000a528b,9
000a548c,8
000a588d,9
000a608d,8
000aa889,8
000ab285,9
000aba81,9
000aca89,9
000bb281,9
000c109f,9
000c409f,9
000c501f,9
000c508f,9
000c509b,9
000c528d,9
000c648c,8
000c6609,8
000c6681,8
000ca609,8
000cd08d,9
000cd289,9
000ce281,8
000e101f,9
000e208d,8
000e2285,8
000e3680,8
000e401f,9
000e408f,9
000e428b,9
000e428d,9
000e4489,8
000e488d,9
000e4a89,9
000e500f,9
000e508b,9
000e5099,9
000e520b,9
000e520d,9
000e580d,9
000e6085,8
000e8a89,9
000ea209,8
000ea481,8
000ec08b,9
000ec08d,9
000ec289,9
000ec889,9
0010328b,8
00105689,8
0010628b,8
0010928b,8
0010b08b,8
0010b283,8
0010d289,8
00124a89,8
0012500f,8
00125c0c,8
00126285,8
00128689,8
00128a89,8
0012a889,8
0012aa81,8
0012c289,8
0012c889,8
0012ca09,8
00132889,8
0014500f,8
00148689,8
0014a08b,8
0014a285,8
0014a4c1,8
0014a4c8,8
0014b08c,8
0014c289,8
0014d448,8
00163085,8
00164289,8
0016440b,8
00168289,8
0016a281,8
0016a601,8
0016d081,8
0016d088,8
00181689,8
00184689,8
00185087,8
0018608b,8
00188689,8
0018a4c8,8
001a2e08,8
001c0689,8
001e480c,8
001ea201,8
001ec480,8
00201e89,8
002020bf,9
002040bf,9
0020429f,9
0020544b,8
0020700f,8
0020720b,8
00207603,8
0020a1ad,9
0020a32d,9
0020c1ad,9
0020d4c8,8
0021832d,9
0022029f,9
002212c9,8
0022209f,9
0022409f,9
0022428f,9
0022429b,9
00224a8b,9
00224a8d,9
00224a99,9
00225289,8
00226489,8
00227206,8
00228a8b,9
0022a88b,9
0022a989,9
0023428b,9
0023a889,9
0024209f,9
002450c9,8
002454c8,8
002481ad,9
0024832d,9
00249289,8
0024c12d,9
0024d049,8
0024d089,8
0024d488,8
00261249,8
0026208f,9
00262489,8
0026288d,9
0026320c,8
00264489,8
00265209,8
0028401f,8
00286609,8
0028852d,9
00288649,8
0028a12d,9
0028c449,8
00294609,8
002a0689,8
002a1249,8
002a1681,8
002a248a,8
002a2609,8
002a4449,8
002a4889,8
002a6481,8
002a6608,8
002a812d,9
002a8449,8
002c003f,9
002c0689,8
002c10c9,8
002c1249,8
002c1289,8
002c6083,8
002c801f,9
002c812d,9
002ca083,8
002e001f,9
002e0449,8
00309125,8
0030a889,8
00328c48,8
0032c448,8
00348289,8
0034a083,8
0034c448,8
00360289,8
00368448,8
0038220b,8
00382283,8
00388c48,8
0038e440,8
003a0289,8
003a0889,8
003aa201,8
003c2288,8
003c400b,8
003c8488,8
00406a85,8
0040e889,8
00411a89,8
00414a89,8
0041a88d,9
0041b209,8
0042209f,9
0042288f,9
0042289d,9
004228ad,9
00422c89,8
00423a09,8
00424a8d,9
00426889,8
00427206,8
0042a889,8
0042a88b,9
0042a88d,9
0042a899,9
0042a8a9,9
0042a8c9,9
0042a989,9
0042c88d,9
0042e888,8
00432889,8
0043288b,9
0043288d,9
00432899,9
004328a9,9
004328c9,9
00432989,9
00434a0d,9
00434e09,9
0043a889,9
0043a88c,9
0043a898,9
0043c889,9
0044e209,8
00456608,8
0045ca81,9
00466205,8
00472885,9
00478889,9
00492609,8
00494a89,9
004a700c,8
004b7004,8
004d0a89,9
004d5204,8
00501897,9
00501a0b,8
00508927,9
005089a5,9
00508a89,8
00509127,9
005091a5,9
00509925,9
0050b805,8
0050d281,8
0050ea01,8
00510a89,8
0051832c,9
00518925,9
00519125,9
00519601,8
00519881,8
00519883,9
00519885,9
0051a601,8
00525281,8
0052d808,8
00541017,8
00548125,8
0054892c,9
00548a81,8
0054d088,8
0055812c,9
00558324,9
00558881,8
00558a01,8
00564881,8
00565808,8
00569808,8
0056c808,8
00578888,9
00589881,8
005c8924,9
005c9408,8
005d1208,8
005d8124,9
0060c12d,9
0061288b,9
00614619,9
00614e09,9
00616608,8
0062209e,9
006220ad,9
00622889,8
0062288b,9
0062288d,9
006228a9,9
006228ac,9
00622989,9
00622c88,8
00624a89,9
00624c89,9
00624e09,9
00628a89,9
0062a1a4,9
0062a883,9
0062a88c,9
0062a988,9
0062c889,9
00630a89,9
00630e09,9
0063208b,9
0063208d,9
00632096,9
00632189,9
00632889,9
0063288a,9
0063288c,9
00632898,9
006328c8,9
00634609,9
00634889,9
00634a09,9
00634e08,9
