q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,593,2981,e56914465f87ace4,296,2685,19787,e1d40e269faad269,1,237,1,22cd6ff93226979c
100,593,3482,45c0540c15672f5b,336,3146,8125,33d9876839860bcf,1,223,0,cbf29ce484222325
105,593,3758,bd127df357751df2,373,3385,2223,1b7c748e6f48a166,1,191,0,cbf29ce484222325
147,593,3921,d524ad0c3ff9cc60,420,3501,7,950af2abe3b62b5e,22,78,0,cbf29ce484222325
186,593,3918,31d95cd3db66cc69,418,3500,27,3bc80dcd1ea6c05,16,153,0,cbf29ce484222325
192,593,3630,8d61659a1884ac7a,373,3257,1726,49bf46583f45ca94,3,251,0,cbf29ce484222325
206,593,3858,69f951bab3cdfdf0,415,3443,52,f5482208ffc70007,12,122,0,cbf29ce484222325
210,593,3599,42824e8e95ed75b,328,3271,11635,dc6e9301a4ec5e2a,1,246,0,cbf29ce484222325
220,593,3911,5146ef7172b8304e,420,3491,13,8121d045a9caac1f,8,64,0,cbf29ce484222325
256,593,3688,b0cfe1805eb7df90,414,3274,69,e182b3691b9473c4,4,152,0,cbf29ce484222325
260,593,3787,6b40952b53ac09a1,385,3402,758,aad9cf0364457182,3,212,0,cbf29ce484222325
294,593,3821,d9e526754dfc0e57,400,3421,409,7de728c2ef51f65e,4,227,0,cbf29ce484222325
332,593,3923,c2d18767914cb7d6,419,3504,18,75d328a355b572af,8,130,0,cbf29ce484222325
366,593,3908,78af408d017a76d3,419,3489,14,d99f5f8dc51b0fc7,11,108,0,cbf29ce484222325
384,593,3916,4c1459f08059abf5,420,3496,8,7561c36f38c28b2,13,68,0,cbf29ce484222325
520,593,3919,5d7a10a51a8e048f,415,3504,77,1204599a9080e6c6,4,133,0,cbf29ce484222325
