q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,593,2981,6b908e0d7eadd6b4,296,2685,19787,e1d40e269faad269,1,237,0,cbf29ce484222325
96,594,3054,522f715284dd2f3c,311,2743,11709,4f4bdf84ad1e25d5,1,245,0,cbf29ce484222325
96,595,2457,716a436cd0b7f1cf,228,2229,110889,c995d9284deb5c41,1,220,0,cbf29ce484222325
96,596,3531,96a8548a5cc8ef87,373,3158,1521,84b8fe893623760f,3,243,0,cbf29ce484222325
96,597,3494,959bd5ea05181a5a,365,3129,2676,468c9a1ecd837ad9,1,210,0,cbf29ce484222325
96,598,3692,7045eb439f543a83,398,3294,393,8957ead9d754b759,4,167,0,cbf29ce484222325
96,599,3175,b461dc738022911a,324,2851,9879,159c396e5fa91046,1,224,0,cbf29ce484222325
96,600,3697,b0b85d5d4bb1e0ae,385,3312,671,c3fd103e71b62cf6,3,206,0,cbf29ce484222325
100,593,3481,75ba40ee7cbf0bb2,336,3145,8125,33d9876839860bcf,1,223,0,cbf29ce484222325
100,594,3524,ef79bfbb8237d81a,333,3191,7251,7a815d1c7906374,1,239,0,cbf29ce484222325
100,595,2791,68bb38e243a32ec7,248,2543,109048,8efa8be4055e0940,1,283,0,cbf29ce484222325
100,596,3777,e619365be65258a0,382,3395,1045,574cab0b45ac2159,2,233,0,cbf29ce484222325
100,597,3728,a4f0ab549f556f47,365,3363,2551,a7848e96f1847112,2,232,0,cbf29ce484222325
100,598,3786,335fbb59f7f8baf,379,3407,1083,affe53d610cfb34,3,232,0,cbf29ce484222325
100,599,3590,a0bb7a1d4da61400,343,3247,7010,7166d6cc816667d7,1,243,0,cbf29ce484222325
100,600,3902,ede8e0b39e36e13d,405,3497,252,aaabdf4c69eaa7a4,4,150,0,cbf29ce484222325
100,601,3801,fd47ca7111b59b81,370,3431,1993,fa0caf786245397a,2,236,0,cbf29ce484222325
100,602,3099,1efb1afcbb55b0c5,283,2816,34693,a217e830117942ba,1,249,0,cbf29ce484222325
100,603,3763,cb807478c42fe33f,364,3399,2696,b1ce7b390481be6a,1,249,0,cbf29ce484222325
100,604,3660,6d90d0c9e4d5b2fb,354,3306,3449,a2e38ef5cd27cdcf,2,223,0,cbf29ce484222325
100,605,3286,37a63b9499a0150b,320,2966,13491,6805624f29b7478f,1,230,0,cbf29ce484222325
100,606,3737,2025fd5b1e4a43ac,356,3381,3031,7c298114d19c77cd,2,240,0,cbf29ce484222325
100,607,3693,719245d4ddc644a7,353,3340,4869,4d36563e216963e6,2,232,0,cbf29ce484222325
100,608,3733,7be9d1f5af7cb41c,357,3376,3616,7774f7acf3a865ee,1,232,0,cbf29ce484222325
100,609,3784,9eef842abc82d229,375,3409,1823,501cabef4f49993d,2,230,0,cbf29ce484222325
100,610,3894,3eca65fba283ebf5,412,3482,98,673d38b67457c79b,4,236,0,cbf29ce484222325
100,611,3751,e3648e02d5cfc2d,365,3386,2755,7e1534b55e30a663,2,239,0,cbf29ce484222325
100,612,3663,7a9a63309eeedfe5,359,3304,3687,cb0703c84a9ece78,2,230,0,cbf29ce484222325
100,613,3812,e108647636f8c963,378,3434,1542,3a5f4b1610d9f1d9,2,236,0,cbf29ce484222325
100,614,3502,90fe8dff5e83d968,337,3165,8380,d6d211d398cc8f44,1,230,0,cbf29ce484222325
100,615,3805,e628d5144453b35d,373,3432,2031,cadaebf8efe599cb,2,234,0,cbf29ce484222325
100,616,3791,e6d50492322ab39d,369,3422,2035,831354b0fb95e758,2,231,0,cbf29ce484222325
100,617,3494,daed6bd6203567f0,335,3159,9135,e371573e080079c9,1,241,0,cbf29ce484222325
100,618,3762,8ad78ad6a162549b,377,3385,1566,a427ac6c6b52d707,3,233,0,cbf29ce484222325
100,619,2990,4f1565d2fe81f9f8,277,2713,36804,a2f9de18231153ea,1,247,0,cbf29ce484222325
100,620,3846,58c69b5ab993e629,395,3451,443,889b6b2b524a6015,4,238,0,cbf29ce484222325
100,621,3847,6181b562541258cf,382,3465,1157,834a9fe8c3f24789,3,236,0,cbf29ce484222325
100,622,3665,24e3ee0c65605160,345,3320,5370,29464cc1fd984946,2,233,0,cbf29ce484222325
100,623,3489,d717d318967bcdaf,328,3161,9002,4033a26172c0ab8c,2,226,0,cbf29ce484222325
100,624,3849,4b92ad7be205864e,377,3472,1555,77ff89c834e88668,2,236,0,cbf29ce484222325
100,625,3668,c13a5e65e8aa8634,349,3319,4643,ef70832216446524,2,246,0,cbf29ce484222325
100,626,2261,11d8028e3f837cb7,201,2060,266576,dfe7f712ffc1d35e,1,301,0,cbf29ce484222325
100,627,3892,cd16d554497531a,400,3492,363,572e8e85e65fa6ba,4,238,0,cbf29ce484222325
100,628,3452,2377ddca91df1402,328,3124,10936,b18d4e813d3a548f,1,250,0,cbf29ce484222325
100,629,3246,d0a5fb9e19576620,304,2942,25398,f9d1058def94508c,1,295,0,cbf29ce484222325
100,630,3596,f3681eb82b2c9cca,329,3267,10287,459aaab06f31b44b,1,236,0,cbf29ce484222325
100,631,3729,8fa08064ee8a8500,360,3369,3708,4fad0c4a00359a45,2,232,0,cbf29ce484222325
100,632,3600,86aa21208e28bb88,346,3254,6027,19b993e230df7f2,1,228,0,cbf29ce484222325
100,633,3857,3604542460e6db7a,381,3476,1343,5ae8ffba68b8f0a7,3,239,0,cbf29ce484222325
100,634,3903,5ff9c15c5fe8ff82,405,3498,204,b72d13f84b690b31,4,242,0,cbf29ce484222325
100,635,3736,5a599842aa7adb04,357,3379,4042,a79b1fed0b5f8924,2,232,0,cbf29ce484222325
100,636,3107,d33c55fcd0df3d09,289,2818,31675,7fcde0bb06b31d84,1,291,0,cbf29ce484222325
105,593,3758,ab37a42ec1d88fe,373,3385,2223,1b7c748e6f48a166,1,191,0,cbf29ce484222325
105,594,3637,2b593b0cc9e1ff05,352,3285,4664,7cf59c6b9068990c,1,248,0,cbf29ce484222325
147,593,3921,708700999e54a838,420,3501,7,950af2abe3b62b5e,22,78,0,cbf29ce484222325
147,594,3901,7cc7fcf52c51ba31,416,3485,68,2e34f62707879f35,12,161,0,cbf29ce484222325
147,595,3914,b31db49006a5cd82,418,3496,44,2da50d4031cc12,13,161,0,cbf29ce484222325
173,594,3924,76f5c7c8f4fa983e,420,3504,8,4ebad120ec162881,10,80,0,cbf29ce484222325
186,593,3917,37ea5267fcc7c28,418,3499,27,3bc80dcd1ea6c05,16,153,0,cbf29ce484222325
186,594,3913,7b88de5de88de83d,418,3495,19,257ad5cab19ffec2,15,112,0,cbf29ce484222325
186,595,3869,7d86462d0c660e6a,407,3462,271,233e4b04a6089e10,4,234,0,cbf29ce484222325
186,599,3918,732198bc8a3a6459,419,3499,14,5eefd5b80826d3e9,25,112,0,cbf29ce484222325
186,600,3924,3e054a510a7594e7,420,3504,7,d57721017811ab36,25,111,0,cbf29ce484222325
186,606,3923,ea2500e4403eff72,420,3503,7,d57721017811ab36,25,111,0,cbf29ce484222325
186,611,3924,cb07e491e99dcbba,420,3504,7,6a870fe395a1c46e,29,112,0,cbf29ce484222325
186,612,3515,7ac49c3c0224f721,359,3156,4723,6843b2c5f68344ef,1,307,0,cbf29ce484222325
186,614,3920,1401a2e03c837e31,419,3501,17,78687cfedb4c0351,16,153,0,cbf29ce484222325
186,615,3899,2fc152d5a3bdcf2b,411,3488,107,c237066f8047a67c,6,157,0,cbf29ce484222325
186,616,3877,18799309d3db45,403,3474,232,f0f549617ada6619,4,189,0,cbf29ce484222325
192,593,3630,8c36f9093c54a8f6,373,3257,1726,49bf46583f45ca94,3,251,0,cbf29ce484222325
192,594,3873,f42e657ccc0926d,411,3462,155,ce7d13515b56f7fe,6,218,0,cbf29ce484222325
192,595,3321,63a8e653aba77414,320,3001,13992,4f9b43efe6098e0d,1,228,0,cbf29ce484222325
192,596,3877,730019f0b5691183,414,3463,92,5eac2200a70bb80d,7,174,0,cbf29ce484222325
192,597,3876,3f09905fc0710449,412,3464,134,3265af490e1367b9,6,177,0,cbf29ce484222325
192,598,3921,76e834ce480555a9,420,3501,7,45a2aa4e74bae208,15,75,0,cbf29ce484222325
192,599,3804,7b7cca255342fec9,394,3410,696,2e54f4f9e656137b,4,214,0,cbf29ce484222325
192,600,3904,c51bad4312068f4,417,3487,36,63f64a24434d674a,12,101,0,cbf29ce484222325
192,602,3883,521671ef61ceb12f,411,3472,135,9cf9e5798c4752a,6,138,0,cbf29ce484222325
192,603,3860,99a3c6e5cf9ace1a,403,3457,283,9a125a1fcee40156,5,180,0,cbf29ce484222325
192,604,3894,a8eea62602dd31d3,415,3479,66,8a8a30ef05c65332,8,110,0,cbf29ce484222325
192,605,3866,79a8a4f63e1ac785,404,3462,277,3a698f00a4fad9d3,7,178,0,cbf29ce484222325
192,606,3412,de088b0743e9bc81,346,3066,3844,cbfe3951859343ac,2,216,0,cbf29ce484222325
192,607,3908,9a261d0d9c5a42ac,414,3494,102,2eb7da677c5f9bd6,8,128,0,cbf29ce484222325
192,608,3889,aefe07319e6ece6,410,3479,142,3c5ed69e13358a4b,7,159,0,cbf29ce484222325
192,609,3918,6de87daa6e84e9f,419,3499,15,5ab9db121af70dd5,15,84,0,cbf29ce484222325
192,610,3903,ff8319a87c3dc0f,419,3484,22,562541a249e9f98f,10,177,0,cbf29ce484222325
192,611,3895,5fe65e25280ca9b7,413,3482,86,7765381d6bac6db1,10,179,0,cbf29ce484222325
192,612,3675,f84fda71b31b1aac,382,3293,1041,82e9d4430492b775,3,212,0,cbf29ce484222325
206,593,3858,d98f3a22a0ecc328,415,3443,52,f5482208ffc70007,12,122,0,cbf29ce484222325
206,594,3648,2e28f5ff77919f9d,396,3252,551,70b16a8fcbbe5fc6,4,195,0,cbf29ce484222325
206,595,3634,fe2159c59b095896,394,3240,694,fedb90e9b086cde0,2,205,0,cbf29ce484222325
206,599,3757,49ef2342f833fa9e,406,3351,290,68adf6e044e5e9a6,6,219,0,cbf29ce484222325
210,593,3599,896171d92b877683,328,3271,11635,dc6e9301a4ec5e2a,1,246,0,cbf29ce484222325
210,594,3523,d220cac3f41a369a,316,3207,15919,3f574ae6e8baf2ba,1,302,0,cbf29ce484222325
210,595,3048,7b9ae8c6fc0d28e7,271,2777,63302,f520fbc2305991f7,1,272,0,cbf29ce484222325
210,596,3043,36b34f37679840fd,265,2778,66310,4fa93bde2645e129,1,250,0,cbf29ce484222325
210,597,3644,f029457b2e13ab3e,337,3307,8237,c65de9d1003483c9,2,243,0,cbf29ce484222325
210,598,3649,1df645ee5a5d4436,351,3298,4913,561c21eacb6d647a,2,244,0,cbf29ce484222325
210,599,3678,ff1103865a7c3330,345,3333,6138,f002e49b6e97b691,2,250,0,cbf29ce484222325
210,600,3571,17fcb21500e4ef25,348,3223,5804,101e2cae03c6afd1,2,243,0,cbf29ce484222325
210,601,3611,cf0111235ece47cf,338,3273,7652,68d56458842f4bf4,1,241,0,cbf29ce484222325
210,602,3213,1ffb133f413659c,286,2927,33852,ce516415d5cecf30,1,263,0,cbf29ce484222325
210,603,3706,cab1593a130cd6ec,350,3356,5361,68e071361edeae3e,1,246,0,cbf29ce484222325
210,604,3673,103fb6094dfbaed4,353,3320,4434,2ad2e6a20118e63d,2,244,0,cbf29ce484222325
210,605,3658,8a187f3d3a89f27d,352,3306,4476,f82e1dd0960c4d5c,3,243,0,cbf29ce484222325
210,606,3590,1b52d3793cb57240,329,3261,9547,5c05ebdf04a23e73,2,247,0,cbf29ce484222325
210,607,3688,8325fae7bb0d7738,350,3338,5421,e34e0a8d87cf4cde,2,249,0,cbf29ce484222325
210,608,3705,f6fdb2169caf15d6,349,3356,5491,695f239052f4cabe,1,245,0,cbf29ce484222325
210,609,3713,bdcaeced4bc640e6,361,3352,3978,50c0015c1994411e,2,247,0,cbf29ce484222325
210,610,3717,c0cef7bd2cb4d3f2,364,3353,2364,12d125a03ea83dbb,2,244,0,cbf29ce484222325
210,611,3723,4c93cea25bb74460,347,3376,6664,38dec67f38a41822,2,310,0,cbf29ce484222325
210,612,3445,60e859f8ad87c9ba,332,3113,11894,a3a2530a95779b32,1,283,0,cbf29ce484222325
210,613,3426,b4ee80dbbd68ed13,305,3121,31181,827428f7502d406,1,296,0,cbf29ce484222325
210,614,3301,8ef233c1556d93df,286,3015,33016,5ef039906dc218a4,1,281,0,cbf29ce484222325
210,615,3333,6a984727aa408d12,300,3033,26625,35da7a5f94765710,1,225,0,cbf29ce484222325
210,616,3399,425fc9de497c12dc,310,3089,19577,d69443d508813772,1,227,0,cbf29ce484222325
210,617,3453,20c6576934cfb29c,311,3142,20197,f9c5e422d9049632,1,232,0,cbf29ce484222325
210,618,3742,bc1c9afbd05a08c,365,3377,2743,d23ee17cb58ef38b,2,246,0,cbf29ce484222325
210,619,2844,9db7559daf8ca286,247,2597,90040,d6296de189379b75,1,254,0,cbf29ce484222325
210,620,3626,94385db1dc085141,338,3288,6894,b688e456047cdd1d,2,239,0,cbf29ce484222325
210,621,3711,f217fc198a7643aa,356,3355,4899,963a5566aed28dc1,2,249,0,cbf29ce484222325
210,622,3613,69cf256c27e7fdee,332,3281,9217,be4bd7c3b80361ed,2,282,0,cbf29ce484222325
210,623,3413,76df893df4ac66ad,305,3108,21211,35d84ea2e11d3e84,1,293,0,cbf29ce484222325
210,624,3746,5a204c2d19a819a4,356,3390,6042,bd0ef51e3e64d498,2,246,0,cbf29ce484222325
210,625,3667,d035af2ae6e65089,346,3321,5599,18c64760b263827c,1,242,0,cbf29ce484222325
220,593,3911,e0d1810d822c65b2,420,3491,13,8121d045a9caac1f,8,64,0,cbf29ce484222325
220,594,3766,c2cbfca8a2f103a5,407,3359,144,46a6c6d005cbf93c,4,293,0,cbf29ce484222325
220,595,3869,95eb56da50915e30,412,3457,192,c9334d5549099d97,7,187,0,cbf29ce484222325
220,602,3879,5bc2c7d9c79b7dd4,416,3463,99,e165e2d40e30c2a7,7,189,0,cbf29ce484222325
220,606,3894,2d47de9ce38aa43b,419,3475,10,89533f095a4ea7d7,15,185,0,cbf29ce484222325
220,608,3902,3192e4c76ab3f1dd,420,3482,4,2142615677c32211,17,185,0,cbf29ce484222325
220,612,3882,163faac4cdb7d2a3,419,3463,21,5aca88972f7ebe5a,9,183,0,cbf29ce484222325
220,616,3578,48da5c57a87de2cb,378,3200,1340,10b0e72b2f87473,2,283,0,cbf29ce484222325
220,617,3894,15fd4a20a100b446,415,3479,114,a103fcfcb5148b51,7,138,0,cbf29ce484222325
220,618,3872,2ce2ff7b99a5e4bf,416,3456,60,31e3d0e86ff6c817,7,182,0,cbf29ce484222325
220,619,3595,dbfb80059f5b7207,390,3205,746,5f6339b9a0342abb,1,194,0,cbf29ce484222325
220,620,3823,8356f41054ca9715,414,3409,84,6a30d9b3325011a7,7,183,0,cbf29ce484222325
220,621,3905,227caf5de1f4488c,419,3486,19,676ee0581e6ad90e,7,76,0,cbf29ce484222325
220,622,3900,2e3317d9ee6eef71,420,3480,4,2142615677c32211,17,187,0,cbf29ce484222325
220,625,3893,9db98f2349f0d4b7,418,3475,36,303b92670ed218a6,7,133,0,cbf29ce484222325
220,626,3838,e17791822f206df5,414,3424,73,a51718105e2bdd17,7,181,0,cbf29ce484222325
220,628,3823,d9fd7b0263c793ff,415,3408,78,28ee33ee99995456,3,134,0,cbf29ce484222325
220,630,3822,a9815e34d7e30e7d,408,3414,156,be30b987879f7171,7,180,0,cbf29ce484222325
244,594,3923,7bb47360fd8f8271,420,3503,7,950af2abe3b62b5e,22,78,0,cbf29ce484222325
244,595,3896,687c6fef939bce54,417,3479,50,23e7a1d8fcb8359,3,127,0,cbf29ce484222325
248,612,3921,4b9642d2624b7deb,418,3503,18,7e92b52d054a4f52,7,133,0,cbf29ce484222325
248,622,3922,1566fb5128f8f099,419,3503,11,15ac50c04903d072,10,111,0,cbf29ce484222325
250,626,3886,924cb50f7edd2f5,412,3474,95,5672e281219ef7fa,5,127,0,cbf29ce484222325
256,593,3688,26a830b84d095b48,414,3274,69,e182b3691b9473c4,4,152,0,cbf29ce484222325
