q,r,body_hex,witness_hex,witness_rank
96,593,040e7401,1b50000a,8
96,593,044c5481,33002206,8
96,593,045e4600,0120007f,9
96,593,05146488,02a08325,9
96,593,05166401,20681096,9
96,593,051e4600,22c0a124,9
96,593,054e5001,00108576,9
96,593,056e4400,3800120d,8
96,593,071e4200,38408409,8
96,593,09156401,20681096,9
96,593,0c0c7401,31d28000,8
96,593,0c5c4401,33002206,8
96,593,0d146401,20681096,9
96,593,0d1c4600,22c0a124,9
96,593,0d1c6400,02a08325,9
96,593,0d4c5001,00108576,9
96,593,140c7401,29528200,8
96,593,144c5401,08222a88,8
96,593,15485408,02a08325,9
96,593,19186401,044512c0,8
96,593,1d106401,20681096,9
96,593,25166400,02a08325,9
96,593,25664400,08982089,8
96,593,2d10b001,00c045d4,9
96,593,2d146400,02a08325,9
96,593,34027401,01790204,8
96,593,34087401,0036092c,9
96,593,35126400,02a08325,9
96,593,35922400,0041c325,9
96,593,3d106400,02a08325,9
96,594,05087409,1a560800,8
96,594,054e5001,00b0832c,9
96,594,071e4200,38408409,8
96,594,0c983401,31444108,8
96,594,0d4c5001,00b0832c,9
96,594,15485009,2a920402,8
96,594,2d10b001,00c045d4,9
96,595,0019f408,1d260020,8
96,595,01097409,1a560800,8
96,595,01187608,10c48125,9
96,595,011fd000,36200428,8
96,595,040e7401,00b0832c,9
96,595,04187409,29070a80,9
96,595,04187608,10c48125,9
96,595,041a7401,1284812c,9
96,595,044c5481,00b0832c,9
96,595,045e1401,29006206,8
96,595,047c2408,19805300,8
96,595,048a7401,1154800c,8
96,595,05047488,02a08325,9
96,595,05087409,1a560800,8
96,595,050a6409,1a541004,8
96,595,050e440c,18b03040,8
96,595,050e5101,00e12642,9
96,595,050ed001,00e12642,9
96,595,05186409,18261042,8
96,595,051a6401,1284812c,9
96,595,051c6401,3a421008,8
96,595,051e3400,02a08325,9
96,595,051e4600,22c0a124,9
96,595,05246488,28189201,8
96,595,05246608,284a0892,9
96,595,052e4401,22c0a124,9
96,595,052e4408,22c0a124,9
96,595,052e4600,22c0a124,9
96,595,052e6080,3800120d,8
96,595,052e6400,3800120d,8
96,595,05342488,32884202,8
96,595,05362408,32884202,8
96,595,05487009,2a920402,8
96,595,054e5001,00b0832c,9
96,595,055e1400,02a08325,9
96,595,056a4408,32140007,8
96,595,056e4400,3800120d,8
96,595,05843488,30584014,8
96,595,058e3400,12710009,8
96,595,058e4408,10301207,8
96,595,059e9000,08412a89,9
96,595,07087009,08c28e40,9
96,595,07087208,10c48125,9
96,595,071e1400,08412a89,9
96,595,071e4200,0860bc00,8
96,595,07485408,3882a082,9
96,595,07487008,08a206c1,9
96,595,078e1001,3010e208,8
96,595,078e3000,30110489,8
96,595,079e1000,08412a89,9
96,595,07c81408,28224096,9
96,595,091dd000,36200428,8
96,595,09b42408,34485200,8
96,595,0b1d5000,0080aec1,9
96,595,0c0c7401,00b0832c,9
96,595,0c187401,1284812c,9
96,595,0c5c1401,30036208,8
96,595,0c782408,31045021,8
96,595,0c983401,31444108,8
96,595,0d007409,229c0202,8
96,595,0d086409,10361180,8
96,595,0d08d401,10452216,9
96,595,0d0c5101,00e12642,9
96,595,0d0cd001,00e12642,9
96,595,0d106405,102c10c8,8
96,595,0d183401,1284812c,9
96,595,0d18440c,10e41041,8
96,595,0d186401,1284812c,9
96,595,0d1c3400,02a08325,9
96,595,0d1c4401,22c0a124,9
96,595,0d1c4404,10413209,8
96,595,0d1c4420,10413209,8
96,595,0d1c4500,10413209,8
96,595,0d1c4600,22c0a124,9
96,595,0d1c6400,02a08325,9
96,595,0d1cc400,10413209,8
96,595,0d1cd000,00e12642,9
96,595,0d246408,201813a4,9
96,595,0d2c6400,10530809,8
96,595,0d306401,1284812c,9
96,595,0d306408,10c48125,9
96,595,0d342408,32884202,8
96,595,0d4c5001,00b0832c,9
96,595,0d584408,02a08325,9
96,595,0d585001,1284812c,9
96,595,0d5c4400,02a08325,9
96,595,0d6c4400,10923282,9
96,595,0d883401,3032400a,8
96,595,0d942408,20681096,9
96,595,0d9c1400,30036208,8
96,595,0d9c4400,10413209,8
96,595,0dc85001,10342620,8
96,595,0f1c4400,10413209,8
96,595,0f585000,0080aec1,9
96,595,11186608,0a261081,8
96,595,113b4400,22c0a124,9
96,595,14782408,29070a80,9
96,595,15085601,22c0a124,9
96,595,150a4409,22c0a124,9
96,595,150ad400,08412a89,9
96,595,151a3400,02a08325,9
96,595,15206608,284a0892,9
96,595,152a4401,22c0a124,9
96,595,152a6400,02548809,8
96,595,152ae000,02541409,8
96,595,15485009,2a920402,8
96,595,15485408,02a08325,9
96,595,154a4408,02a08325,9
96,595,15581600,28224096,9
96,595,155a1400,02a08325,9
96,595,158a1401,22306082,8
96,595,158a3400,02548809,8
96,595,159a2400,20249049,8
96,595,170a7000,00b0832c,9
96,595,172a6000,00c49550,9
96,595,19186401,24609208,8
96,595,19903408,260c8201,8
96,595,19b02408,260c8201,8
96,595,1c286401,01d09204,8
96,595,1c581401,2184a202,8
96,595,1d08d400,22062209,8
96,595,1d08f000,22b00403,8
96,595,1d183400,02a08325,9
96,595,1d184401,22c0a124,9
96,595,1d18c400,22062209,8
96,595,1d284401,22c0a124,9
96,595,1d286400,02548809,8
96,595,1d2c4400,22c0a124,9
96,595,1d883400,02548809,8
96,595,1d981400,22062209,8
96,595,1f087000,00b0832c,9
96,595,1f181400,00c26288,8
96,595,1f184400,20249049,8
96,595,1f286000,00c49550,9
96,595,1f981000,20026429,8
96,595,21143601,1c82c080,8
96,595,21265401,14512300,8
96,595,21346401,0c038a88,9
96,595,25043409,1ab0c000,8
96,595,25065408,02a08325,9
96,595,25067100,12710009,8
96,595,2506f000,12710009,8
96,595,25106409,18261042,8
96,595,2510b088,18444816,9
96,595,2510f001,088b0648,9
96,595,25143041,0228832c,9
96,595,25143401,0228832c,9
96,595,25161600,1a40e001,8
96,595,25244488,08523202,8
96,595,25264401,08c83280,8
96,595,25264408,08c83280,8
96,595,25264480,10413209,8
96,595,25264600,08982089,8
96,595,25266080,08981608,8
96,595,25266400,00581289,8
96,595,25342401,080a5188,8
96,595,25405608,1a262080,8
96,595,25407009,123c0440,8
96,595,25407208,123c0440,8
96,595,25425408,02a08325,9
96,595,2552d000,1204003f,9
96,595,25605408,080e8281,8
96,595,25607008,080e8281,8
96,595,25644088,02183c04,8
96,595,25664400,08982089,8
96,595,25c21408,101ce200,8
96,595,25c81408,1a262080,8
96,595,27067000,00b0832c,9
96,595,28545401,0228832c,9
96,595,2d003409,109c4044,8
96,595,2d005409,10452216,9
96,595,2d005601,1284812c,9
96,595,2d00d401,10452216,9
96,595,2d043408,02a08325,9
96,595,2d045408,02a08325,9
96,595,2d04d001,00e12642,9
96,595,2d10b001,00c045d4,9
96,595,2d10b008,00c045d4,9
96,595,2d141600,106a600a,9
96,595,2d244088,02183c04,8
96,595,2d244401,10923282,9
96,595,2d344400,10413209,8
96,595,2d405408,02a08325,9
96,595,2d704001,1284812c,9
96,595,2d803401,0228832c,9
96,595,2d841088,10486203,8
96,595,2d841408,10486203,8
96,595,2d849001,106a600a,9
96,595,2da40401,02507084,8
96,595,2dc01408,101ce200,8
96,595,2f841001,106a600a,9
96,595,2f841008,10486203,8
96,595,2f861000,10486203,8
96,595,34087401,00b0832c,9
96,595,34107401,0228832c,9
96,595,35003409,083f4000,8
96,595,3502f000,007c0403,8
96,595,35103041,0228832c,9
96,595,35103401,0228832c,9
96,595,35124240,0860bc00,8
96,595,35124600,00283059,8
96,595,3512b000,00c045d4,9
96,595,3512c200,00283059,8
96,595,35203401,0812428c,8
96,595,35624400,08982089,8
96,595,35922400,0228832c,9
96,595,3c206401,01d09204,8
96,595,3d101600,00ac6006,8
96,595,3d104404,00283059,8
96,595,3d184040,02a08325,9
96,595,3d184400,02a08325,9
96,595,3d204401,004c3216,9
96,595,3d304400,004c3216,9
96,597,2d10b001,00c045d4,9
96,599,050e5408,22c0a124,9
96,599,155a1400,200062a9,8
96,599,25065408,08c82881,8
96,599,25664400,08982089,8
96,599,2d045408,02c32282,9
96,599,2d10b001,00c045d4,9
100,593,072e4400,08412a89,9
100,594,054cd001,2a920402,8
100,595,0308f208,34b00003,8
100,595,03147208,284a0892,9
100,595,03b16008,284a0892,9
100,595,052cc600,2092100b,8
100,595,052ec400,08412a89,9
100,595,05346401,284a0892,9
100,595,054cd001,2a920402,8
100,595,05706408,32850206,9
100,595,072e4400,08412a89,9
100,595,072e6000,38408409,8
100,595,07485408,3882a082,9
100,595,07706008,288216c0,9
100,595,078c1088,0050c125,8
100,595,07986008,00619324,9
100,595,07b06008,284a0892,9
100,595,07b42008,284a0892,9
100,595,07d84008,1822a4c0,9
100,595,0d989008,02066406,8
100,595,13085608,0c422096,9
100,595,13095408,0c422096,9
100,595,13b82008,0c430a81,9
100,595,1508d600,0a320809,8
100,595,150ad400,08412a89,9
100,595,15306401,284a0892,9
100,595,17085408,08432a80,8
100,595,17284401,08432a80,8
100,595,179a1000,08412a89,9
100,595,17b02008,284a0892,9
100,595,1b085600,0062812d,9
100,595,2100f403,0eb80200,8
100,595,2100f608,06780011,8
100,595,22545401,0c038a88,9
100,595,2300f401,14050236,9
100,595,23047600,0062812d,9
100,595,23206409,14050236,9
100,595,23364001,14881608,8
100,595,2340d401,14050236,9
100,595,25007049,0a308c04,8
100,595,2500f401,1224003e,9
100,595,2500f408,10550a81,9
100,595,2504b408,02b24003,8
100,595,2504d088,1a682400,8
100,595,2510b048,18444816,9
100,595,2510f008,08a206c1,9
100,595,2514b400,0802023f,9
100,595,2520e401,1a541004,8
100,595,2520f008,10550a81,9
100,595,25246401,0250812c,8
100,595,2524c600,084a3880,8
100,595,2526c400,08412a89,9
100,595,2550b008,08a206c1,9
100,595,2560c401,10923282,9
100,595,2560c408,10923282,9
100,595,25644401,10923282,9
100,595,2584b008,12324c00,8
100,595,2590b008,18444816,9
100,595,2700d401,08432a80,8
100,595,2700d600,1806001f,9
100,595,27141048,08432a80,8
100,595,2720e008,10550a81,9
100,595,27244600,084a3880,8
100,595,27264400,08412a89,9
100,595,2760c008,10923282,9
100,595,27704008,0080aec1,9
100,595,27849008,08432a80,8
100,595,27901088,18444816,9
100,595,27d04008,1822a4c0,9
100,595,2d10b008,00c045d4,9
100,595,2f00d400,10550a81,9
100,595,2f244400,10923282,9
100,595,2f24c000,10923282,9
100,595,2f901008,1004c097,9
100,595,33903008,0c430a81,9
100,595,3500d600,0a320809,8
100,595,3502d400,08412a89,9
100,595,3520e400,0802023f,9
100,595,3560c400,0802023f,9
100,595,37206400,0802023f,9
100,595,37604400,0802023f,9
100,595,37901001,08432a80,8
100,595,37901008,08432a80,8
100,595,37c01400,0802023f,9
100,599,072e4400,08412a89,9
100,602,05346401,284a0892,9
100,602,072e4400,08412a89,9
100,602,07489401,088262c4,9
100,602,07706008,288216c0,9
100,602,07c81408,1004c097,9
100,602,07c89008,28066480,8
100,602,07cc1008,1822a4c0,9
100,602,15306401,284a0892,9
100,602,15a8a400,0802023f,9
100,602,15b02401,284a0892,9
100,602,15f00401,280c6006,8
100,602,17803401,284a0892,9
100,602,1f881001,2014c40c,8
100,602,25246401,0250812c,8
100,602,2560c401,10923282,9
100,602,27264400,08412a89,9
100,602,27c09008,001c4017,8
100,602,27e40008,0018c456,9
100,602,36c01401,0934a040,8
100,602,37801081,0018c456,9
100,602,37a02001,0018c456,9
100,603,07c89008,28066480,8
100,605,043c6401,0b421208,8
100,605,072e4400,08412a89,9
100,605,25246401,0250812c,8
100,605,2560c401,10923282,9
100,608,25246401,0250812c,8
100,614,07c89008,28066480,8
100,617,07c89008,28066480,8
100,619,03147208,284a0892,9
100,619,03346208,284a0892,9
100,619,039e1008,04612216,9
100,619,03b06208,284a0892,9
100,619,03b42208,284a0892,9
100,619,03de1000,3c006208,8
100,619,05346401,284a0892,9
100,619,072e4400,08412a89,9
100,619,07706008,288216c0,9
100,619,078c1088,0050c125,8
100,619,07b06008,284a0892,9
100,619,07b42008,284a0892,9
100,619,13b82008,0c430a81,9
100,619,15306401,284a0892,9
100,619,17b02008,284a0892,9
100,619,23d41008,1822a4c0,9
100,619,25246401,0250812c,8
100,619,31306401,0c038a88,9
100,619,33901088,04612216,9
100,619,33903008,0c430a81,9
100,626,001c7608,3ae00840,9
100,626,0190340b,146d4000,8
100,626,01907409,284a0892,9
100,626,0190b403,146d4000,8
100,626,01943601,284a0892,9
100,626,01943608,284a0892,9
100,626,019c3208,26028450,8
100,626,0308f009,14850680,8
100,626,030c5601,0c422096,9
100,626,0310f401,284a0892,9
100,626,03147208,284a0892,9
100,626,03153401,284a0892,9
100,626,031cd200,0c422096,9
100,626,031e5001,04612216,9
100,626,031e5200,38408409,8
100,626,0330e208,284a0892,9
100,626,0332440c,144c2801,8
100,626,03384481,10443016,8
100,626,033c4088,04818325,9
100,626,033c4208,0c422096,9
100,626,03505481,348c8004,8
100,626,03545401,0c038a88,9
100,626,03545408,04818325,9
100,626,03585088,04818325,9
100,626,03585208,1822a4c0,9
100,626,03585408,04818325,9
100,626,03704481,348c8004,8
100,626,03744401,0c038a88,9
100,626,03744408,04818325,9
100,626,03784208,1405b400,8
100,626,03784408,04818325,9
100,626,0388b808,04744041,8
100,626,03943208,284a0892,9
100,626,03953008,284a0892,9
100,626,03987008,0c430a81,9
100,626,039e1200,38408409,8
100,626,03b16008,284a0892,9
100,626,03b86008,0c430a81,9
100,626,03bc0208,0c422096,9
100,626,03c8b008,14340841,8
100,626,03cc1208,1822a4c0,9
100,626,03cc9008,34036200,8
100,626,03d81088,34036200,8
100,626,03d83008,1004c097,9
100,626,03d85008,1822a4c0,9
100,626,03da1008,1004c097,9
100,626,03de1000,3c006208,8
100,626,03f84008,1405b400,8
100,626,043c6401,0b421208,8
100,626,0470640a,29070a80,9
100,626,049c3401,2b40c800,8
100,626,04dc1401,33002206,8
100,626,04dc1600,0120007f,9
100,626,0510b403,3ae00840,9
100,626,05246421,284a0892,9
100,626,0530a40a,32c05100,8
100,626,05346401,284a0892,9
100,626,05549402,088262c4,9
100,626,055c9040,0802023f,9
100,626,0570240a,0200c325,8
100,626,05706408,32850206,9
100,626,05744401,2280a126,9
100,626,05744402,22039009,8
100,626,05744408,2280a126,9
100,626,05748402,088262c4,9
100,626,0584b408,284a0892,9
100,626,0598b008,18444816,9
100,626,059c1401,08432a80,8
100,626,05dc9000,0802023f,9
100,626,05fc8000,0802023f,9
100,626,061a5401,19052208,8
100,626,06581601,1124e040,8
100,626,06585048,29070a80,9
100,626,06585408,29070a80,9
100,626,065c1401,088262c4,9
100,626,06784048,29070a80,9
100,626,06784208,318404c0,8
100,626,06784408,29070a80,9
100,626,067c0048,0180d124,8
100,626,06f84008,29070a80,9
100,626,070c5088,3090a401,8
100,626,070c5408,08432a80,8
100,626,070c6208,30701500,8
100,626,070c6408,00619324,9
100,626,070c7008,08a206c1,9
