q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,594,3054,17d82dfaf36aef24,311,2743,11709,4f4bdf84ad1e25d5,1,245,2,81a34b2335fb8d4b
100,594,3524,957c649eb1867996,333,3191,7251,7a815d1c7906374,1,239,0,cbf29ce484222325
105,594,3637,d9f05ef5a81f1ff5,352,3285,4664,7cf59c6b9068990c,1,248,0,cbf29ce484222325
147,594,3900,a498abb2ff86068c,416,3484,68,2e34f62707879f35,12,161,0,cbf29ce484222325
173,594,3923,4359db425f4bd813,420,3503,8,4ebad120ec162881,8,80,0,cbf29ce484222325
186,594,3913,697b7c20644fb455,418,3495,19,257ad5cab19ffec2,15,112,0,cbf29ce484222325
192,594,3872,5ca676308538eaf4,411,3461,155,ce7d13515b56f7fe,6,218,0,cbf29ce484222325
206,594,3648,8c4be3fed3e737f9,396,3252,551,70b16a8fcbbe5fc6,3,195,0,cbf29ce484222325
210,594,3523,d1d4f471ad72d9fa,316,3207,15919,3f574ae6e8baf2ba,1,302,0,cbf29ce484222325
220,594,3765,5b09b9578a88bda4,407,3358,144,46a6c6d005cbf93c,4,293,0,cbf29ce484222325
244,594,3922,d712107e753d861c,420,3502,7,950af2abe3b62b5e,22,78,0,cbf29ce484222325
256,594,3652,35811b1c157f8f3b,410,3242,80,36164dc5aef24f26,3,137,0,cbf29ce484222325
260,594,3680,6979812b08d553d0,356,3324,3060,ae33154ecae05986,1,240,0,cbf29ce484222325
282,594,3821,d60de6b350ddb282,392,3429,628,a2c1edd8fd714988,1,193,0,cbf29ce484222325
294,594,3904,85a262a4ad90ff2a,412,3492,119,3e94902a3f8b33ed,2,155,0,cbf29ce484222325
308,594,3905,739b3362b62bc7a7,418,3487,17,7885ab93608b7dd4,14,128,0,cbf29ce484222325
313,594,3914,303cc9578f4fb3fa,419,3495,16,4ce037ef161b6517,9,64,0,cbf29ce484222325
315,594,3922,36782b08b99a555b,420,3502,17,d9986350dafa7c7d,4,88,0,cbf29ce484222325
366,594,3841,c5c9aef528eef6a3,408,3433,187,c860cf7b6cb9f7e9,4,194,0,cbf29ce484222325
381,594,3921,91de205fa4c08240,420,3501,8,4ebad120ec162881,7,80,0,cbf29ce484222325
383,594,3923,4359db425f4bd813,420,3503,8,4ebad120ec162881,8,80,0,cbf29ce484222325
416,594,3839,f994aa6e18612759,387,3452,1096,b5a52c71c269d02c,1,229,0,cbf29ce484222325
440,594,3832,fd7d47fdfd127531,408,3424,191,34158834111c92ce,3,216,0,cbf29ce484222325
462,594,3836,346f81c31a67b895,407,3429,154,e2bf674c16483793,3,182,0,cbf29ce484222325
520,594,3917,1334b48e78bd6ab6,414,3503,102,7a50e37ee265803a,4,133,0,cbf29ce484222325
