q,r,body_hex,witness_hex,witness_rank,witness_class
96,594,05087409,1a560800,8,nonjoint
96,594,054e5001,00b0832c,9,nonjoint
96,594,071e4200,38408409,8,nonjoint
96,594,0c983401,31444108,8,nonjoint
96,594,0d4c5001,00b0832c,9,nonjoint
96,594,15485009,2a920402,8,nonjoint
96,594,2d10b001,00c045d4,9,nonjoint
100,594,054cd001,2a920402,8,nonjoint
100,594,27c09008,003c2403,8,joint
105,594,03187208,14248083,8,joint
105,594,07107088,00c18750,9,nonjoint
210,594,07485088,00108576,9,nonjoint
210,594,07584088,20a09640,8,joint
210,594,153ac000,08412a89,9,nonjoint
260,594,15087401,28070a88,9,nonjoint
282,594,07306088,10c48125,9,nonjoint
416,594,07087088,10c48125,9,nonjoint
