q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,594,3055,405f882f94a4c6d5,311,2744,11709,4f4bdf84ad1e25d5,1,245,0,cbf29ce484222325
100,594,3525,628f764815267eb,333,3192,7251,7a815d1c7906374,1,239,0,cbf29ce484222325
105,594,3638,a18ba5da65863180,352,3286,4664,7cf59c6b9068990c,1,248,0,cbf29ce484222325
147,594,3901,abe0a4bbe5dbe061,416,3485,68,2e34f62707879f35,12,161,0,cbf29ce484222325
173,594,3924,8952e9a6ed1fa382,420,3504,8,4ebad120ec162881,9,80,0,cbf29ce484222325
186,594,3914,8fb39be01dbb7860,418,3496,19,257ad5cab19ffec2,15,112,0,cbf29ce484222325
192,594,3873,e8e30d2becf34059,411,3462,155,ce7d13515b56f7fe,6,218,0,cbf29ce484222325
206,594,3649,74adbbb92731037c,396,3253,551,70b16a8fcbbe5fc6,4,195,0,cbf29ce484222325
210,594,3524,9e59af75b1cbea2b,316,3208,15919,3f574ae6e8baf2ba,1,302,0,cbf29ce484222325
220,594,3766,8d3d550f0911ff69,407,3359,144,46a6c6d005cbf93c,4,293,0,cbf29ce484222325
244,594,3923,3373011f16681e51,420,3503,7,950af2abe3b62b5e,22,78,0,cbf29ce484222325
256,594,3653,15b6f75a840cd1e6,410,3243,80,36164dc5aef24f26,4,137,0,cbf29ce484222325
260,594,3680,6979812b08d553d0,356,3324,3060,ae33154ecae05986,1,240,0,cbf29ce484222325
282,594,3822,f6b9435d3e56ae6f,392,3430,628,a2c1edd8fd714988,1,193,0,cbf29ce484222325
294,594,3905,a3eb8abc02037f2b,412,3493,119,3e94902a3f8b33ed,2,155,0,cbf29ce484222325
308,594,3906,1d62489380c3696e,418,3488,17,7885ab93608b7dd4,14,128,0,cbf29ce484222325
313,594,3915,b9e14c3d68ef611b,419,3496,16,4ce037ef161b6517,10,64,0,cbf29ce484222325
315,594,3923,bc569f841dbc005a,420,3503,17,d9986350dafa7c7d,4,88,0,cbf29ce484222325
366,594,3842,90b49fca31e779b2,408,3434,187,c860cf7b6cb9f7e9,4,194,0,cbf29ce484222325
381,594,3922,bc79ea5a73a81f4d,420,3502,8,4ebad120ec162881,8,80,0,cbf29ce484222325
383,594,3924,8952e9a6ed1fa382,420,3504,8,4ebad120ec162881,9,80,0,cbf29ce484222325
416,594,3840,34bd38f22ac0afdc,387,3453,1096,b5a52c71c269d02c,1,229,0,cbf29ce484222325
440,594,3832,fd7d47fdfd127531,408,3424,191,34158834111c92ce,3,216,0,cbf29ce484222325
462,594,3836,346f81c31a67b895,407,3429,154,e2bf674c16483793,3,182,0,cbf29ce484222325
520,594,3918,a3f705d5c996fcbf,414,3504,102,7a50e37ee265803a,4,133,0,cbf29ce484222325
