q96_lo,q96_hi,q100,q210,count8,count9,least8,least9,least8_tick96,least8_tick100,least8_tick210,least9_tick96,least9_tick100,least9_tick210
0000000000000000,0000000000000000,0000000000000000,0000000000000001,43,1799,00528a81,001283a5,-6707865930948,-21677627451060,475704133380,-6159052412100,-13046622747480,820273294386
0000000000000000,0000000000000000,0000000000000000,0000000000000002,420,5504,0030a283,0004a3a5,-4756329652788,-11847860843364,2810428734708,-723902626314,-10585220498622,962291390508
0000000000000000,0000000000000000,0000000000000000,0000000000000003,137,2040,00518a81,00108ba5,-3029424625080,-24160516144254,1857113288352,-7495533847368,-15317338093974,1107543794994
0000000000000000,0000000000000000,0000000000000000,0000000000000004,19,472,20a00689,20a002cb,-1371054741210,3440689609896,588720421926,-3768905714994,-9692730457704,557523288630
0000000000000000,0000000000000000,0000000000000000,0000000000000005,0,39,-,20a30283,-,-,-,-6672136897566,-20729479601880,368512729704
0000000000000000,0000000000000000,0000000000000000,0000000000000007,2,111,20f00083,20a50283,-3948095818926,-12231899801604,285762171618,-4155294478104,-17034003096642,428296028076
0000000000000000,0000000000000000,0000000000000000,0000000000000008,666,7693,00021e89,000010ff,-89234011566,-14147125594434,1539588382668,-4356028821060,-5966534748636,355340649132
0000000000000000,0000000000000000,0000000000000000,000000000000000c,13,310,30840489,20820ac9,10198981301418,26647899987618,1378021468824,-1634021449578,-19556403694380,167358107826
0000000000000000,0000000000000000,0000000000000000,000000000000000d,0,9,-,20d20a81,-,-,-,-644925443274,-18317840655240,1568870530794
0000000000000000,0000000000000000,0000000000000000,000000000000000f,1,43,30d40081,20d00a83,5066766936504,2077066286568,53690971698,-1260856334178,-17800816999644,792989327214
0000000000000000,0000000000000000,0000000000000000,0000000000000010,218,3683,20104689,2001468d,2933993520360,9750209577066,865415739636,1124197808076,1083966567516,60154468542
0000000000000000,0000000000000000,0000000000000000,0000000000000014,66,747,20210689,20200e8b,-1850545011924,-4875265193904,199205527374,-395504022564,-607074310584,548060755914
0000000000000000,0000000000000000,0000000000000000,0000000000000015,1,55,30760001,20320097,10478560923558,8201102347620,509171363064,-3833169557616,-13175940285522,246112423578
0000000000000000,0000000000000000,0000000000000000,0000000000000017,15,150,20700283,20300297,-2518585312320,-17883875475774,279148309398,-3891621481272,-18419074442874,133007287644
0000000000000000,0000000000000000,0000000000000000,000000000000001c,51,491,20110a89,201003ad,-433938016512,-22823094389634,366888234006,-597929875956,-14056238825244,794962184058
0000000000000000,0000000000000000,0000000000000000,000000000000001d,0,14,-,20520a91,-,-,-,-2140656876288,-26063367929550,19765075932
0000000000000000,0000000000000000,0000000000000000,000000000000001f,1,33,30550201,30150283,11899703856222,5916858341940,1086313416552,5842100121858,-8556897282570,426032193132
0000000000000000,0000000000000000,0000000000000000,0000000000000020,1577,12285,00b0812c,00308b2c,-6978653673138,98391644946,1418055691500,-7883183814660,-11116818640494,217852971588
0000000000000000,0000000000000000,0000000000000000,0000000000000021,0,79,-,00b28324,-,-,-,-9118456589466,-7943579226450,1015462042686
0000000000000000,0000000000000000,0000000000000000,0000000000000022,6,167,1055a200,0031a324,8021808635022,-665615820870,1360403814042,-7650602754732,-14927537858814,820546207614
0000000000000000,0000000000000000,0000000000000000,0000000000000023,2,65,10f48040,00718324,-4436673877818,12788689915638,8815658670,-5933947369644,-8126024679234,1748082705642
0000000000000000,0000000000000000,0000000000000000,0000000000000040,389,5270,00a88681,002887a1,-5320480233096,-7591810204944,1085921334540,-5177734631370,-10930216038714,36241861824
0000000000000000,0000000000000000,0000000000000000,0000000000000080,6,709,022882c1,002c82c3,-14580976298238,-14619349273032,1618182461322,-8603739330984,-10428063766092,18178722576
0000000000000000,0000000000000000,0000000000000000,0000000000000081,0,9,-,08228ac1,-,-,-,-2065606761960,-18013413323430,139455451044
0000000000000000,0000000000000000,0000000000000000,0000000000000083,0,2,-,10a482c1,-,-,-,-2825376290100,-8073286306722,791590001202
0000000000000000,0000000000000000,0000000000000000,00000000000000a0,1,66,12e48040,02e08342,-7038792858006,22642953294780,1202502971124,-14734219354218,4028604394248,299017336716
0000000000000000,0000000000000000,0000000000000000,00000000000000a3,0,1,-,10e58240,-,-,-,-1870723457694,3803965311510,598166949744
0000000000000000,0000000000000000,0000000000000000,00000000000000c0,233,4466,00a88283,00288297,-10960810757316,-15846289717734,719073553338,-9444062444166,-16498329881040,280057975722
0000000000000000,0000000000000000,0000000000000000,00000000000000c1,0,65,-,00638a81,-,-,-,-5610537324000,-31287861110520,1037781054072
0000000000000000,0000000000000000,0000000000000000,00000000000000c3,0,37,-,00618a83,-,-,-,-7319476146276,-34128028826514,274744124550
0000000000000000,0000000000000000,0000000000000000,00000000000000e0,3,179,12e48100,02218326,-4916653284816,18037005787710,1090034823150,-15357699912240,2578382375058,287205516738
0000000000000000,0000000000000000,0000000000000000,0000000000000100,110,2745,02282207,006d2601,-8096907538062,-2363579279838,517456114056,10195966244268,1720632906468,325148776722
0000000000000000,0000000000000000,0000000000000000,0000000000000120,2,278,02e12202,02212236,-7594197523038,-12747796748442,724858782354,-18191842375392,-6992461922922,1175343208452
0000000000000000,0000000000000000,0000000000000000,0000000000000140,24,655,02a80606,02290607,-12399510414564,1687212806832,305830582848,-7606417706118,5359545120762,897237029808
0000000000000000,0000000000000000,0000000000000000,0000000000000180,0,23,-,02a80247,-,-,-,-13673738931552,-1365103262628,79674042672
0000000000000000,0000000000000000,0000000000000000,00000000000001a0,0,1,-,0ae30240,-,-,-,-7482733345584,-9563436392328,292129659108
0000000000000000,0000000000000000,0000000000000000,00000000000001c0,0,121,-,02290236,-,-,-,-23445461508462,-14375197614078,139281569028
0000000000000000,0000000000000000,0000000000000000,00000000000001e0,0,2,-,12e50300,-,-,-,-3889491045804,-3388344729588,300675984336
0000000000000000,0000000000000000,0000000000000000,0000000000000200,934,10434,0028e209,000ae20b,564136971300,-261678251394,105377029128,10358015747814,25475112191340,487993453920
0000000000000000,0000000000000000,0000000000000000,0000000000000202,0,6,-,1045a301,-,-,-,10202150857626,-2055195045540,340325556480
0000000000000000,0000000000000000,0000000000000000,0000000000000220,56,848,0261a202,0221a30a,-10503707245668,-16210129996872,112262755500,-9883732299840,-6307790092002,995563031022
0000000000000000,0000000000000000,0000000000000000,0000000000000280,1,88,126c8040,02258341,-3248457414930,21158169546150,3190042674,-10316841216570,-3898284114060,55883897370
0000000000000000,0000000000000000,0000000000000000,00000000000002a0,0,8,-,12648842,-,-,-,-4924040394546,22244990801670,135419135670
0000000000000000,0000000000000000,0000000000000000,00000000000002c0,36,489,02288321,02218323,-8180177824602,6372217515888,1044692722080,-8679807407124,3807024677568,714068370666
0000000000000000,0000000000000000,0000000000000000,00000000000002e0,2,36,12658200,02618b20,-3579546623562,45088667442,987362663742,-12670938163044,-9796525075512,205829630118
0000000000000000,0000000000000000,0000000000000000,0000000000000300,18,346,02692201,02292213,-6353030256426,-17552676843072,149103054072,-7544266010946,-8517802858992,413654462172
0000000000000000,0000000000000000,0000000000000000,0000000000000320,6,98,0a632200,02632212,1511068939506,-16097029812990,1222658672130,-6167932013376,-12037631539878,1090177521174
0000000000000000,0000000000000000,0000000000000000,00000000000003c0,0,17,-,026d0203,-,-,-,-5326069725396,-2715611974740,172077414138
0000000000000000,0000000000000000,0000000000000000,0000000000000400,1565,15972,01152601,00372601,10238271513876,5279767454808,143911784016,7228090940490,-6235262969418,284404648374
0000000000000000,0000000000000000,0000000000000000,0000000000000401,0,21,-,08730203,-,-,-,9623015451378,-7193367402480,1603262739708
0000000000000000,0000000000000000,0000000000000000,0000000000000402,0,36,-,00712125,-,-,-,-853268468976,-12358460321424,98501019120
0000000000000000,0000000000000000,0000000000000000,0000000000000420,9,174,08732200,00722324,8493799953366,-27409783839102,879931742886,-1598917920768,-17351996030460,19822869360
0000000000000000,0000000000000000,0000000000000000,0000000000000421,0,6,-,08f30240,-,-,-,-113783272092,-19910642769360,142512259680
0000000000000000,0000000000000000,0000000000000000,0000000000000422,1,33,10752200,00712324,11872141246602,-7116635020950,1635818202018,-2480045263164,-24034416232554,222716028402
0000000000000000,0000000000000000,0000000000000000,0000000000000500,0,52,-,00e32640,-,-,-,-561958499970,-9987247672920,138157343226
0000000000000000,0000000000000000,0000000000000000,0000000000000502,0,2,-,10652205,-,-,-,12045432680190,-13651780647960,1033603595388
0000000000000000,0000000000000000,0000000000000000,0000000000000520,0,40,-,00e32242,-,-,-,-943394661090,-10940838075720,297885255444
0000000000000000,0000000000000000,0000000000000000,0000000000000522,0,5,-,00e12216,-,-,-,-1840626287766,-14221079687934,237771034704
0000000000000000,0000000000000000,0000000000000000,0000000000000700,0,14,-,08632203,-,-,-,12621100302594,-8496269599482,345921271920
0000000000000000,0000000000000000,0000000000000000,0000000000000702,0,4,-,10652203,-,-,-,14008165131870,-1578411451890,1148778166536
0000000000000000,0000000000000000,0000000000000000,0000000000000800,0,121,-,08b800c3,-,-,-,-671253540552,-4646587480794,882553605318
0000000000000000,0000000000000000,0000000000000000,0000000000000840,0,1,-,18ac0680,-,-,-,9351857060910,11419247959938,443512658862
0000000000000000,0000000000000000,0000000000000000,0000000000000c00,0,2,-,18f40401,-,-,-,15126098878800,17895343752468,2241571878
0000000000000000,0000000000000000,0000000000000000,0000000000001000,13,871,08384089,08104e89,5131033830468,-2659158262404,1058784115914,4688356199814,-1847356501284,149789296818
0000000000000000,0000000000000000,0000000000000000,0000000000001200,0,18,-,180d4209,-,-,-,22046199562296,22771095525360,612957875166
0000000000000000,0000000000000000,0000000000000000,0000000000001800,7,262,18340089,08380293,14013452520522,4935866277888,389857180986,-485088698934,-15020105376654,56373859962
0000000000000000,0000000000000000,0000000000000000,0000000000001803,0,2,-,18740281,-,-,-,14671700504370,-266741959302,1197078208326
0000000000000000,0000000000000000,0000000000000000,0000000000001840,0,2,-,182c0681,-,-,-,14191933146300,3855572223048,899882078004
0000000000000000,0000000000000000,0000000000000000,0000000000001a00,0,13,-,182c020b,-,-,-,18576412257312,24991827393078,344005963938
0000000000000000,0000000000000000,0000000000000000,0000000000001c00,0,1,-,18750401,-,-,-,16032010803354,7725669358680,80602296138
0000000000000000,0000000000000000,0000000000000000,0000000000002000,26,1989,002ac448,000ce44c,-3991634216766,18176944848678,311540269446,6760592633088,17507879394642,380758918680
0000000000000000,0000000000000000,0000000000000000,0000000000002020,1,49,1846200c,0842aa0c,21523276530756,12314350478430,171054729846,7519857923592,-11957480180100,1504444111758
0000000000000000,0000000000000000,0000000000000000,0000000000002022,0,1,-,1065a204,-,-,-,8052485931126,-8487470505150,1538261577216
0000000000000000,0000000000000000,0000000000000000,0000000000002100,1,98,184e2004,00692324,19383721120764,7933952372346,1001194584390,-3654925081290,-25520639617620,23055657282
0000000000000000,0000000000000000,0000000000000000,0000000000002140,0,1,-,182f0600,-,-,-,14292356146614,5047019028324,167500792368
0000000000000000,0000000000000000,0000000000000000,0000000000002200,27,807,082a6208,004ee208,9303444588690,-6195159416880,100573939746,7299932076108,13021869901572,35817783876
0000000000000000,0000000000000000,0000000000000000,0000000000002220,7,129,18432208,0843aa08,12806868035682,-19659289670622,182203639254,11959451339850,-9916935626052,3051528690798
0000000000000000,0000000000000000,0000000000000000,0000000000002222,0,7,-,1065a202,-,-,-,9451063379394,2175511182390,1592782046856
0000000000000000,0000000000000000,0000000000000000,0000000000002300,4,55,086b2200,006b2212,6894871654356,-20951050415022,441289752876,-523036562454,-13474778367330,329085263934
0000000000000000,0000000000000000,0000000000000000,0000000000002500,0,20,-,08632602,-,-,-,13216782934530,-4341958559442,1487520580266
0000000000000000,0000000000000000,0000000000000000,0000000000002520,0,16,-,08632206,-,-,-,7814395749636,-16560454574412,192409736904
0000000000000000,0000000000000000,0000000000000000,0000000000002522,0,2,-,10652206,-,-,-,10295860048110,-3291376692240,417343040478
